Detailed Statistics Departures  
Origin Airport: Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International (JAN)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5102","N585NN","CLT","10:55","10:54","113","111","-1","11:09","15","0","0","0","0","0"
"OH","12/01/2021","5218","N535EA","CLT","14:28","14:23","112","111","-5","14:42","19","0","0","0","0","0"
"OH","12/01/2021","5322","N594NN","CLT","05:22","05:18","123","97","-4","05:29","11","0","0","0","0","0"
"OH","12/01/2021","5333","N607NN","CLT","18:30","18:40","115","108","10","18:52","12","0","0","0","0","0"
"OH","12/01/2021","5359","N533AE","DCA","06:02","06:01","140","135","-1","06:15","14","0","0","0","0","0"
"OH","12/01/2022","5102","N568NN","CLT","11:01","11:00","111","110","-1","11:12","12","0","0","0","0","0"
"OH","12/01/2022","5322","N536EA","CLT","07:10","06:58","114","106","-12","07:10","12","0","0","0","0","0"
"OH","12/01/2022","5333","N559NN","CLT","16:25","16:44","111","103","19","16:57","13","0","0","0","0","0"
"OH","12/01/2022","5359","N720PS","DCA","06:00","05:53","142","143","-7","06:08","15","0","0","0","0","0"
"OH","12/01/2023","5322","N616NN","CLT","06:16","06:14","114","96","-2","06:26","12","0","0","0","0","0"
"OH","12/01/2023","5359","N534AE","DCA","05:55","05:51","145","129","-4","06:15","24","0","0","0","0","0"
"OH","12/01/2023","5485","N602NN","CLT","14:38","14:43","112","113","5","15:03","20","0","0","0","0","0"
"OH","12/02/2021","5102","N562NN","CLT","10:55","10:50","113","114","-5","11:01","11","0","0","0","0","0"
"OH","12/02/2021","5218","N516AE","CLT","14:28","14:23","112","125","-5","14:36","13","0","0","0","0","0"
"OH","12/02/2021","5322","N582NN","CLT","05:22","05:15","123","124","-7","05:40","25","0","0","0","0","0"
"OH","12/02/2021","5333","N549NN","CLT","18:30","18:29","115","117","-1","18:50","21","0","0","0","0","0"
"OH","12/02/2021","5359","N525AE","DCA","06:39","06:41","140","151","2","06:51","10","0","0","0","0","0"
"OH","12/02/2022","5102","N548NN","CLT","11:06","11:02","111","108","-4","11:15","13","0","0","0","0","0"
"OH","12/02/2022","5322","N613NN","CLT","07:10","07:00","114","114","-10","07:13","13","0","0","0","0","0"
"OH","12/02/2022","5333","N548NN","CLT","16:25","16:21","111","107","-4","16:34","13","0","0","0","0","0"
"OH","12/02/2022","5359","N532EA","DCA","06:00","05:53","142","156","-7","06:12","19","0","0","0","0","0"
"OH","12/02/2023","5322","N570NN","CLT","06:16","06:06","114","120","-10","06:20","14","0","0","0","0","0"
"OH","12/02/2023","5359","N531EG","DCA","05:55","05:35","145","183","-20","06:14","39","0","0","18","0","0"
