Detailed Statistics Departures  
Origin Airport: Jacksonville/Camp Lejeune, NC: Albert J Ellis (OAJ)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5133","N539EA","CLT","06:24","06:19","91","64","-5","06:31","12","0","0","0","0","0"
"OH","12/01/2021","5357","N718PS","CLT","10:56","10:58","79","61","2","11:07","9","0","0","0","0","0"
"OH","12/01/2021","5373","N549NN","CLT","18:12","18:17","82","75","5","18:34","17","0","0","0","0","0"
"OH","12/01/2021","5563","N599NN","CLT","14:32","14:38","79","70","6","14:51","13","0","0","0","0","0"
"OH","12/01/2021","5618","N505AE","CLT","20:00","19:49","81","86","-11","20:08","19","0","0","0","0","0"
"OH","12/01/2022","5373","N590NN","CLT","18:05","18:02","77","76","-3","18:22","20","0","0","0","0","0"
"OH","12/02/2021","5133","N706PS","CLT","06:24","06:21","91","70","-3","06:34","13","0","0","0","0","0"
"OH","12/02/2021","5357","N519AE","CLT","10:56","11:07","79","62","11","11:17","10","0","0","0","0","0"
"OH","12/02/2021","5373","N544EA","CLT","18:12","18:15","82","70","3","18:24","9","0","0","0","0","0"
"OH","12/02/2021","5391","N510AE","CLT","05:10","05:20","85","79","10","05:46","26","0","0","0","0","0"
"OH","12/02/2021","5563","N549NN","CLT","14:32","14:29","79","76","-3","14:44","15","0","0","0","0","0"
"OH","12/02/2022","5373","N615NN","CLT","18:05","17:56","77","84","-9","18:20","24","0","0","0","0","0"
"OH","12/03/2021","5133","N708PS","CLT","06:24","06:17","91","61","-7","06:30","13","0","0","0","0","0"
"OH","12/03/2021","5357","N522AE","CLT","10:56","10:45","79","72","-11","10:57","12","0","0","0","0","0"
"OH","12/03/2021","5373","N600NN","CLT","18:12","18:08","82","78","-4","18:33","25","0","0","0","0","0"
"OH","12/03/2021","5391","N509AE","CLT","05:30","05:22","85","70","-8","05:40","18","0","0","0","0","0"
"OH","12/03/2021","5563","N562NN","CLT","14:32","14:24","79","74","-8","14:34","10","0","0","0","0","0"
"OH","12/03/2022","5373","N555NN","CLT","18:14","18:06","77","77","-8","18:24","18","0","0","0","0","0"
"OH","12/03/2023","5397","N594NN","CLT","20:07","19:58","78","72","-9","20:12","14","0","0","0","0","0"
"OH","12/04/2021","5133","N543EA","CLT","06:24","06:25","91","65","1","06:44","19","0","0","0","0","0"
"OH","12/04/2021","5357","N513AE","CLT","10:56","11:19","79","60","23","11:33","14","0","0","0","0","0"
"OH","12/04/2021","5373","N552NN","CLT","18:12","18:09","82","61","-3","18:19","10","0","0","0","0","0"
"OH","12/04/2021","5391","N503AE","CLT","05:30","05:30","85","70","0","05:47","17","0","0","0","0","0"
"OH","12/04/2021","5563","N591NN","CLT","14:32","14:36","79","64","4","14:51","15","0","0","0","0","0"
"OH","12/04/2022","5373","N608NN","CLT","18:05","18:01","77","60","-4","18:14","13","0","0","0","0","0"
"OH","12/04/2023","5397","N593NN","CLT","20:07","20:37","78","72","30","20:58","21","0","0","0","0","24"
"OH","12/05/2021","5357","N505AE","CLT","10:56","11:00","79","62","4","11:11","11","0","0","0","0","0"
"OH","12/05/2021","5373","N598NN","CLT","18:12","18:09","82","75","-3","18:18","9","0","0","0","0","0"
"OH","12/05/2021","5563","N587NN","CLT","14:32","14:33","79","65","1","14:47","14","0","0","0","0","0"
"OH","12/05/2022","5373","N598NN","CLT","18:05","17:58","77","79","-7","18:25","27","0","0","0","0","0"
"OH","12/05/2023","5373","N595NN","CLT","18:09","18:01","76","79","-8","18:15","14","0","0","0","0","0"
"OH","12/06/2021","5133","N723PS","CLT","06:24","06:21","91","71","-3","06:34","13","0","0","0","0","0"
"OH","12/06/2021","5357","N507AE","CLT","10:56","10:47","79","76","-9","10:59","12","0","0","0","0","0"
"OH","12/06/2021","5391","N543EA","CLT","05:30","05:28","85","76","-2","05:50","22","0","0","0","0","0"
"OH","12/06/2021","5563","N564NN","CLT","14:32","14:22","79","81","-10","14:42","20","0","0","0","0","0"
"OH","12/06/2022","5373","N579NN","CLT","18:05","18:28","77","67","23","18:40","12","0","0","0","0","0"
"OH","12/06/2023","5373","N573NN","CLT","18:09","18:25","76","75","16","18:44","19","7","0","0","0","8"
"OH","12/07/2021","5133","N545PB","CLT","06:24","06:19","91","69","-5","06:32","13","0","0","0","0","0"
"OH","12/07/2021","5357","N719PS","CLT","10:56","10:59","79","76","3","11:24","25","0","0","0","0","0"
"OH","12/07/2021","5373","N613NN","CLT","18:12","18:05","82","64","-7","18:17","12","0","0","0","0","0"
"OH","12/07/2021","5426","N543EA","CLT","08:45","08:43","87","76","-2","09:04","21","0","0","0","0","0"
"OH","12/07/2021","5563","N571NN","CLT","14:32","14:24","79","71","-8","14:37","13","0","0","0","0","0"
"OH","12/07/2022","5373","N609NN","CLT","18:05","17:58","77","76","-7","18:24","26","0","0","0","0","0"
"OH","12/08/2021","5357","N522AE","CLT","10:56","10:51","79","74","-5","11:10","19","0","0","0","0","0"
"OH","12/08/2021","5373","N597NN","CLT","18:12","18:29","82","60","17","18:39","10","0","0","0","0","0"
"OH","12/08/2021","5563","N595NN","CLT","14:32","14:50","79","58","18","14:58","8","0","0","0","0","0"
"OH","12/08/2022","5373","N567NN","CLT","18:05","17:58","77","82","-7","18:23","25","0","0","0","0","0"
"OH","12/09/2021","5133","N507AE","CLT","06:24","06:33","91","91","9","07:19","46","0","0","0","0","0"
"OH","12/09/2021","5357","N501BG","CLT","10:56","10:46","79","70","-10","10:56","10","0","0","0","0","0"
"OH","12/09/2021","5373","N585NN","CLT","18:12","18:32","82","68","20","18:41","9","0","0","0","0","0"
"OH","12/09/2021","5391","N530EA","CLT","05:30","05:30","85","93","0","06:12","42","0","0","0","0","0"
"OH","12/09/2021","5563","N563NN","CLT","14:32","14:38","79","70","6","14:52","14","0","0","0","0","0"
"OH","12/09/2022","5373","N572NN","CLT","18:05","18:01","77","67","-4","18:15","14","0","0","0","0","0"
"OH","12/10/2021","5133","N708PS","CLT","06:24","06:18","91","87","-6","06:37","19","0","0","0","0","0"
"OH","12/10/2021","5357","N546FF","CLT","10:56","10:56","79","75","0","11:12","16","0","0","0","0","0"
"OH","12/10/2021","5373","N553NN","CLT","18:12","18:10","82","83","-2","18:38","28","0","0","0","0","0"
"OH","12/10/2021","5391","N502AE","CLT","05:30","05:26","85","83","-4","05:46","20","0","0","0","0","0"
"OH","12/10/2021","5563","N597NN","CLT","14:32","14:32","79","80","0","14:41","9","0","0","0","0","0"
"OH","12/10/2022","5373","N587NN","CLT","18:14","18:11","77","65","-3","18:24","13","0","0","0","0","0"
"OH","12/11/2021","5133","N541EA","CLT","06:24","06:17","91","147","-7","07:32","75","0","0","49","0","0"
"OH","12/11/2021","5357","N536EA","CLT","10:56","10:54","79","66","-2","11:06","12","0","0","0","0","0"
"OH","12/11/2021","5373","N550NN","CLT","18:12","19:14","82","66","62","19:24","10","0","0","46","0","0"
"OH","12/11/2021","5391","N543EA","CLT","05:30","05:23","85","86","-7","05:55","32","0","0","0","0","0"
"OH","12/11/2021","5563","N563NN","CLT","14:32","14:31","79","68","-1","14:42","11","0","0","0","0","0"
"OH","12/11/2022","5373","N576NN","CLT","18:05","18:01","77","70","-4","18:20","19","0","0","0","0","0"
"OH","12/12/2021","5357","N502AE","CLT","10:56","11:01","79","66","5","11:20","19","0","0","0","0","0"
"OH","12/12/2021","5373","N604NN","CLT","18:12","21:13","82","64","181","21:25","12","163","0","0","0","0"
"OH","12/12/2021","5563","N565NN","CLT","14:32","14:37","79","58","5","14:46","9","0","0","0","0","0"
"OH","12/12/2022","5373","N547NN","CLT","18:05","17:56","77","65","-9","18:09","13","0","0","0","0","0"
"OH","12/12/2023","5373","N575NN","CLT","18:09","18:11","76","69","2","18:20","9","0","0","0","0","0"
"OH","12/13/2021","5133","N510AE","CLT","06:24","07:34","91","63","70","07:40","6","0","42","0","0","0"
"OH","12/13/2021","5357","N501BG","CLT","10:56","10:50","79","68","-6","11:02","12","0","0","0","0","0"
"OH","12/13/2021","5391","N546FF","CLT","05:30","05:38","85","83","8","06:10","32","0","0","0","0","0"
"OH","12/13/2021","5563","N571NN","CLT","14:32","14:35","79","62","3","14:51","16","0","0","0","0","0"
"OH","12/13/2022","5373","N612NN","CLT","18:05","18:03","77","64","-2","18:16","13","0","0","0","0","0"
"OH","12/13/2023","5373","N554NN","CLT","18:09","18:07","76","83","-2","18:32","25","0","0","0","0","0"
"OH","12/14/2021","5133","N563NN","CLT","06:24","06:21","91","97","-3","07:06","45","0","0","0","0","0"
"OH","12/14/2021","5357","N503AE","CLT","10:56","10:52","79","61","-4","11:01","9","0","0","0","0","0"
"OH","12/14/2021","5373","N571NN","CLT","18:12","18:23","82","74","11","18:36","13","0","0","0","0","0"
"OH","12/14/2021","5426","N521AE","CLT","08:45","08:41","87","95","-4","09:15","34","0","0","0","0","0"
"OH","12/14/2021","5563","N554NN","CLT","14:32","14:34","79","55","2","14:45","11","0","0","0","0","0"
"OH","12/14/2022","5373","N554NN","CLT","18:05","18:09","77","65","4","18:25","16","0","0","0","0","0"
"OH","12/15/2021","5357","N532EA","CLT","10:56","10:57","79","61","1","11:07","10","0","0","0","0","0"
"OH","12/15/2021","5373","N605NN","CLT","18:12","18:25","82","66","13","18:38","13","0","0","0","0","0"
"OH","12/15/2021","5563","N577NN","CLT","14:32","14:27","79","65","-5","14:40","13","0","0","0","0","0"
"OH","12/16/2021","5357","N515AE","CLT","10:50","10:45","84","69","-5","10:57","12","0","0","0","0","0"
"OH","12/16/2021","5373","N547NN","CLT","16:13","16:21","80","62","8","16:30","9","0","0","0","0","0"
"OH","12/16/2021","5391","N538EG","CLT","06:58","09:55","86","58","177","10:04","9","149","0","0","0","0"
"OH","12/16/2021","5397","N555NN","CLT","20:08","20:14","80","66","6","20:21","7","0","0","0","0","0"
"OH","12/16/2021","5563","N568NN","CLT","12:32","12:27","77","67","-5","12:39","12","0","0","0","0","0"
"OH","12/17/2021","5075","N609NN","CLT","20:08","19:58","80","80","-10","20:20","22","0","0","0","0","0"
"OH","12/17/2021","5357","N585NN","CLT","10:50","10:47","84","76","-3","11:06","19","0","0","0","0","0"
"OH","12/17/2021","5373","N599NN","CLT","16:13","16:06","80","73","-7","16:25","19","0","0","0","0","0"
"OH","12/17/2021","5391","N505AE","CLT","06:58","06:55","86","112","-3","07:57","62","0","0","23","0","0"
"OH","12/17/2021","5563","N569NN","CLT","12:32","12:25","77","61","-7","12:34","9","0","0","0","0","0"
"OH","12/18/2021","5357","N515AE","CLT","10:50","10:43","84","73","-7","10:53","10","0","0","0","0","0"
"OH","12/18/2021","5373","N577NN","CLT","16:13","18:06","80","71","113","18:19","13","12","0","0","0","92"
"OH","12/18/2021","5391","N514AE","CLT","06:58","09:16","86","94","138","09:38","22","0","138","8","0","0"
"OH","12/18/2021","5397","N570NN","CLT","20:08","20:13","80","70","5","20:26","13","0","0","0","0","0"
"OH","12/18/2021","5563","N602NN","CLT","12:32","12:42","77","72","10","12:55","13","0","0","0","0","0"
"OH","12/19/2021","5357","N706PS","CLT","10:50","13:25","84","65","155","13:40","15","136","0","0","0","0"
"OH","12/19/2021","5373","N593NN","CLT","16:13","16:16","80","89","3","16:39","23","0","0","0","0","0"
"OH","12/19/2021","5391","N551NN","CLT","06:58","06:52","86","81","-6","07:17","25","0","0","0","0","0"
"OH","12/19/2021","5397","N565NN","CLT","20:08","20:18","80","91","10","20:56","38","10","0","11","0","0"
"OH","12/19/2021","5563","N592NN","CLT","12:32","12:57","77","71","25","13:13","16","9","0","0","0","10"
"OH","12/19/2023","5373","N610NN","CLT","18:09","18:04","76","93","-5","18:45","41","0","0","0","0","0"
"OH","12/20/2021","5357","N709PS","CLT","10:50","10:47","84","65","-3","10:58","11","0","0","0","0","0"
"OH","12/20/2021","5373","N590NN","CLT","16:13","16:13","80","73","0","16:37","24","0","0","0","0","0"
"OH","12/20/2021","5391","N521AE","CLT","06:58","06:54","86","83","-4","07:30","36","0","0","0","0","0"
"OH","12/20/2021","5397","N547NN","CLT","20:08","20:02","80","77","-6","20:23","21","0","0","0","0","0"
"OH","12/20/2021","5563","N557NN","CLT","12:32","12:32","77","68","0","12:55","23","0","0","0","0","0"
"OH","12/20/2023","5397","N559NN","CLT","19:53","19:49","80","62","-4","20:02","13","0","0","0","0","0"
"OH","12/21/2021","5357","N542EA","CLT","10:50","10:45","84","65","-5","10:58","13","0","0","0","0","0"
"OH","12/21/2021","5373","N609NN","CLT","16:13","16:08","80","71","-5","16:27","19","0","0","0","0","0"
"OH","12/21/2021","5391","N706PS","CLT","06:58","06:53","86","95","-5","07:41","48","0","0","0","0","0"
"OH","12/21/2021","5397","N561NN","CLT","20:08","20:24","80","70","16","20:43","19","0","0","0","0","0"
"OH","12/21/2021","5563","N586NN","CLT","12:32","12:29","77","62","-3","12:40","11","0","0","0","0","0"
"OH","12/21/2023","5397","N560NN","CLT","19:53","20:01","80","65","8","20:14","13","0","0","0","0","0"
"OH","12/22/2021","5357","N703PS","CLT","10:50","10:48","84","72","-2","11:00","12","0","0","0","0","0"
"OH","12/22/2021","5373","N565NN","CLT","16:13","16:12","80","67","-1","16:29","17","0","0","0","0","0"
"OH","12/22/2021","5391","N702PS","CLT","06:58","06:56","86","78","-2","07:22","26","0","0","0","0","0"
"OH","12/22/2021","5397","N614NN","CLT","20:08","20:15","80","78","7","20:35","20","0","0","0","0","0"
"OH","12/22/2021","5563","N557NN","CLT","12:32","12:30","77","52","-2","12:39","9","0","0","0","0","0"
"OH","12/22/2023","5397","N582NN","CLT","19:53","19:49","80","64","-4","19:59","10","0","0","0","0","0"
"OH","12/23/2021","5357","N525AE","CLT","10:50","12:03","84","62","73","12:20","17","51","0","0","0","0"
"OH","12/23/2021","5373","N585NN","CLT","16:13","16:20","80","67","7","16:32","12","0","0","0","0","0"
"OH","12/23/2021","5391","N706PS","CLT","06:58","06:59","86","80","1","07:33","34","0","0","0","0","0"
"OH","12/23/2021","5397","N573NN","CLT","20:08","20:01","80","77","-7","20:20","19","0","0","0","0","0"
"OH","12/23/2021","5563","N562NN","CLT","12:32","12:42","77","68","10","13:00","18","0","0","0","0","0"
"OH","12/23/2023","5397","N609NN","CLT","19:53","19:46","80","86","-7","20:08","22","0","0","0","0","0"
"OH","12/24/2021","5357","N539EA","CLT","10:50","10:44","84","72","-6","10:55","11","0","0","0","0","0"
"OH","12/24/2021","5391","N723PS","CLT","06:58","06:52","86","95","-6","07:35","43","0","0","0","0","0"
"OH","12/24/2021","5563","N578NN","CLT","12:32","17:42","77","62","310","17:53","11","295","0","0","0","0"
"OH","12/25/2021","5357","N503AE","CLT","10:50","10:51","84","76","1","11:09","18","0","0","0","0","0"
"OH","12/25/2021","5373","N560NN","CLT","16:13","16:06","80","69","-7","16:18","12","0","0","0","0","0"
"OH","12/25/2021","5391","N553NN","CLT","06:49","06:48","86","70","-1","07:02","14","0","0","0","0","0"
"OH","12/25/2021","5563","N574NN","CLT","12:32","12:25","77","65","-7","12:40","15","0","0","0","0","0"
"OH","12/25/2023","5397","N529EA","CLT","19:53","20:34","80","70","41","20:43","9","8","0","0","0","23"
"OH","12/26/2021","5357","N532EA","CLT","10:50","13:39","84","57","169","13:49","10","142","0","0","0","0"
"OH","12/26/2021","5373","N608NN","CLT","16:13","16:04","80","72","-9","16:18","14","0","0","0","0","0"
"OH","12/26/2021","5391","N545PB","CLT","06:58","09:09","86","65","131","09:20","11","110","0","0","0","0"
"OH","12/26/2021","5397","N703PS","CLT","20:08","19:59","80","79","-9","20:16","17","0","0","0","0","0"
"OH","12/26/2021","5563","N560NN","CLT","12:32","12:41","77","64","9","12:52","11","0","0","0","0","0"
"OH","12/26/2023","5397","N568NN","CLT","19:53","22:07","80","72","134","22:17","10","0","0","0","0","126"
"OH","12/27/2021","5357","N544EA","CLT","10:50","10:46","84","80","-4","11:00","14","0","0","0","0","0"
"OH","12/27/2021","5373","N590NN","CLT","16:13","16:14","80","62","1","16:21","7","0","0","0","0","0"
"OH","12/27/2021","5391","N534AE","CLT","06:58","06:49","86","97","-9","07:27","38","0","0","0","0","0"
"OH","12/27/2021","5397","N552NN","CLT","20:08","19:59","80","70","-9","20:10","11","0","0","0","0","0"
"OH","12/27/2021","5563","N582NN","CLT","12:32","12:34","77","74","2","12:50","16","0","0","0","0","0"
"OH","12/27/2023","5397","N616NN","CLT","19:53","20:59","80","63","66","21:09","10","2","0","0","0","47"
"OH","12/28/2021","5357","N716PS","CLT","10:50","13:29","84","68","159","13:43","14","143","0","0","0","0"
"OH","12/28/2021","5373","N579NN","CLT","16:13","16:16","80","60","3","16:23","7","0","0","0","0","0"
"OH","12/28/2021","5391","N525AE","CLT","06:58","06:54","86","86","-4","07:17","23","0","0","0","0","0"
"OH","12/28/2021","5397","N576NN","CLT","20:08","20:02","80","79","-6","20:15","13","0","0","0","0","0"
"OH","12/28/2021","5563","N548NN","CLT","12:32","12:52","77","67","20","13:03","11","0","0","0","0","0"
"OH","12/28/2023","5397","N578NN","CLT","19:53","20:02","80","72","9","20:19","17","0","0","0","0","0"
"OH","12/29/2021","5357","N528EG","CLT","10:50","10:43","84","79","-7","10:58","15","0","0","0","0","0"
"OH","12/29/2021","5373","N597NN","CLT","16:13","16:14","80","71","1","16:28","14","0","0","0","0","0"
"OH","12/29/2021","5391","N544EA","CLT","06:58","06:53","86","108","-5","07:38","45","0","0","17","0","0"
"OH","12/29/2021","5397","N592NN","CLT","20:08","19:58","80","69","-10","20:08","10","0","0","0","0","0"
"OH","12/29/2021","5563","N593NN","CLT","12:32","12:28","77","76","-4","12:39","11","0","0","0","0","0"
"OH","12/29/2023","5397","N574NN","CLT","19:53","20:11","80","98","18","20:36","25","18","0","18","0","0"
"OH","12/30/2021","5357","N703PS","CLT","10:50","10:42","84","90","-8","11:03","21","0","0","0","0","0"
"OH","12/30/2021","5373","N568NN","CLT","16:13","16:17","80","72","4","16:31","14","0","0","0","0","0"
"OH","12/30/2021","5391","N540EG","CLT","06:58","06:53","86","81","-5","07:10","17","0","0","0","0","0"
"OH","12/30/2021","5397","N580NN","CLT","20:08","20:57","80","73","49","21:12","15","0","0","0","0","42"
"OH","12/30/2021","5563","N614NN","CLT","12:32","12:38","77","68","6","12:48","10","0","0","0","0","0"
"OH","12/30/2023","5397","N611NN","CLT","19:53","19:52","80","70","-1","20:04","12","0","0","0","0","0"
"OH","12/31/2021","5357","N725PS","CLT","10:50","10:40","84","77","-10","10:54","14","0","0","0","0","0"
"OH","12/31/2021","5391","N702PS","CLT","06:58","06:50","86","92","-8","07:33","43","0","0","0","0","0"
"OH","12/31/2021","5563","N559NN","CLT","12:32","12:33","77","66","1","12:42","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
