Detailed Statistics Departures  
Origin Airport: Jacksonville/Camp Lejeune, NC: Albert J Ellis (OAJ)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4522","N826SK","ATL","13:11","13:12","98","88","1","13:21","9","0","0","0","0","0"
"OO","12/02/2022","4522","N806SK","ATL","13:11","13:06","98","84","-5","13:18","12","0","0","0","0","0"
"OO","12/03/2022","4522","N187PQ","ATL","13:11","13:07","98","91","-4","13:19","12","0","0","0","0","0"
"OO","12/04/2022","4522","N802SK","ATL","13:11","13:05","98","95","-6","13:20","15","0","0","0","0","0"
"OO","12/05/2022","4522","N824SK","ATL","13:11","13:05","98","97","-6","13:21","16","0","0","0","0","0"
"OO","12/06/2022","4522","N187PQ","ATL","13:11","13:06","98","94","-5","13:20","14","0","0","0","0","0"
"OO","12/07/2022","4522","N170PQ","ATL","13:11","13:05","98","84","-6","13:16","11","0","0","0","0","0"
"OO","12/08/2022","4522","N554CA","ATL","13:11","13:05","98","90","-6","13:17","12","0","0","0","0","0"
"OO","12/09/2022","4522","N692CA","ATL","13:11","13:42","98","96","31","13:54","12","29","0","0","0","0"
"OO","12/10/2022","4522","N806SK","ATL","13:11","13:05","98","93","-6","13:16","11","0","0","0","0","0"
"OO","12/11/2022","4522","N809SK","ATL","13:11","13:08","98","114","-3","13:37","29","0","0","0","0","0"
"OO","12/12/2022","4522","N806SK","ATL","13:11","13:18","98","88","7","13:28","10","0","0","0","0","0"
"OO","12/13/2022","4522","N826SK","ATL","13:11","13:08","98","93","-3","13:22","14","0","0","0","0","0"
"OO","12/14/2022","4522","N836SK","ATL","13:11","13:04","98","96","-7","13:19","15","0","0","0","0","0"
"OO","12/15/2022","4522","N806SK","ATL","13:11","14:26","98","97","75","14:41","15","74","0","0","0","0"
"OO","12/16/2022","4522","N837SK","ATL","13:11","15:34","98","112","143","16:03","29","157","0","0","0","0"
"OO","12/17/2022","3589","N803SK","ATL","12:16","12:15","103","92","-1","12:26","11","0","0","0","0","0"
"OO","12/18/2022","3589","N804SK","ATL","12:16","12:27","103","85","11","12:36","9","0","0","0","0","0"
"OO","12/19/2022","3589","N824SK","ATL","12:16","12:16","103","90","0","12:31","15","0","0","0","0","0"
"OO","12/20/2022","3589","N804SK","ATL","12:16","12:22","103","99","6","12:33","11","0","0","0","0","0"
"OO","12/21/2022","3589","N806SK","ATL","12:07","12:06","103","94","-1","12:20","14","0","0","0","0","0"
"OO","12/22/2022","3589","N693CA","ATL","12:16","16:36","103","98","260","16:55","19","0","255","0","0","0"
"OO","12/23/2022","3589","N549CA","ATL","12:16","12:34","103","91","18","12:46","12","0","0","0","0","0"
"OO","12/24/2022","3589","N692CA","ATL","12:16","16:00","103","91","224","16:12","12","0","212","0","0","0"
"OO","12/25/2022","3589","N187PQ","ATL","12:16","13:57","103","90","101","14:07","10","0","88","0","0","0"
"OO","12/26/2022","3589","N693CA","ATL","12:16","12:12","103","90","-4","12:25","13","0","0","0","0","0"
"OO","12/27/2022","3589","N899SK","ATL","12:16","13:54","103","84","98","14:05","11","79","0","0","0","0"
"OO","12/28/2022","3589","N822SK","ATL","12:07","12:22","103","81","15","12:34","12","0","0","0","0","0"
"OO","12/29/2022","3589","N549CA","ATL","12:16","12:16","103","81","0","12:28","12","0","0","0","0","0"
"OO","12/30/2022","3589","N806SK","ATL","12:16","12:14","103","88","-2","12:25","11","0","0","0","0","0"
"OO","12/31/2022","3589","N548CA","ATL","12:16","12:27","103","93","11","12:39","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
