Detailed Statistics Departures  
Origin Airport: Jamestown, ND: Jamestown Regional (JMS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5045","N986SW","DEN","07:30","07:23","120","107","-7","07:42","19","0","0","0","0","0"
"OO","12/01/2021","5102","N905EV","DVL","15:30","15:20","48","31","-10","15:26","6","0","0","0","0","0"
"OO","12/01/2021","5104","N431SW","DVL","23:00","22:54","48","31","-6","22:59","5","0","0","0","0","0"
"OO","12/01/2022","5019","N954SW","DEN","12:52","12:46","121","120","-6","12:55","9","0","0","0","0","0"
"OO","12/01/2022","5053","N909SW","DVL","17:06","16:56","45","34","-10","17:05","9","0","0","0","0","0"
"OO","12/01/2023","5034","N487CA","DEN","13:30","13:20","121","123","-10","13:43","23","0","0","0","0","0"
"OO","12/01/2023","5053","N932EV","DVL","17:00","16:50","48","35","-10","16:59","9","0","0","0","0","0"
"OO","12/02/2021","5045","N431SW","DEN","07:30","07:21","120","108","-9","07:33","12","0","0","0","0","0"
"OO","12/02/2021","5102","N472CA","DVL","15:30","15:25","48","48","-5","15:39","14","0","0","0","0","0"
"OO","12/02/2021","5104","N472CA","DVL","23:00","22:47","48","38","-13","22:58","11","0","0","0","0","0"
"OO","12/02/2022","5019","N223JS","DEN","12:52","12:51","121","136","-1","13:20","29","0","0","0","0","0"
"OO","12/02/2022","5053","N430SW","DVL","17:06","16:57","45","49","-9","17:18","21","0","0","0","0","0"
"OO","12/02/2023","5034","N909SW","DEN","13:30","13:16","121","112","-14","13:28","12","0","0","0","0","0"
"OO","12/02/2023","5053","N693BR","DVL","17:00","16:43","48","44","-17","17:02","19","0","0","0","0","0"
"OO","12/03/2021","5045","N472CA","DEN","07:30","07:57","120","105","27","08:05","8","0","0","0","0","0"
"OO","12/03/2021","5102","N443SW","DVL","15:30","15:20","48","40","-10","15:34","14","0","0","0","0","0"
"OO","12/03/2021","5104","N932EV","DVL","23:00","22:47","48","47","-13","23:05","18","0","0","0","0","0"
"OO","12/03/2022","5019","N913EV","DEN","12:48","12:40","118","115","-8","12:51","11","0","0","0","0","0"
"OO","12/03/2022","5053","N920EV","DVL","17:06","16:32","45","71","-34","17:18","46","0","0","0","0","0"
"OO","12/03/2023","5034","N466SW","DEN","13:30","13:20","121","98","-10","13:27","7","0","0","0","0","0"
"OO","12/03/2023","5053","N909SW","DVL","17:00","17:08","48","38","8","17:20","12","0","0","0","0","0"
"OO","12/04/2021","5045","N932EV","DEN","07:30","07:20","120","105","-10","07:31","11","0","0","0","0","0"
"OO","12/04/2021","5102","N431SW","DVL","15:30","15:15","48","37","-15","15:26","11","0","0","0","0","0"
"OO","12/04/2021","5104","N699BR","DVL","23:00","00:00","48","0","0","00:00","0","0","0","0","0","0"
"OO","12/04/2022","5019","N983SW","DEN","12:52","12:42","121","107","-10","12:53","11","0","0","0","0","0"
