Detailed Statistics Departures  
Origin Airport: Kahului, HI: Kahului Airport (OGG)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0429","N535US","SEA","21:23","21:21","335","342","-2","21:39","18","0","0","0","0","0"
"DL","12/01/2021","0448","N548US","LAX","21:58","21:55","297","313","-3","22:05","10","0","0","0","0","0"
"DL","12/01/2022","0362","N184DN","LAX","13:39","13:38","319","320","-1","13:48","10","0","0","0","0","0"
"DL","12/01/2022","0388","N511DE","SEA","21:35","21:32","341","345","-3","21:44","12","0","0","0","0","0"
"DL","12/01/2022","0422","N505DZ","LAX","22:55","22:53","316","303","-2","23:04","11","0","0","0","0","0"
"DL","12/01/2022","0726","N823NW","ATL","17:28","17:43","507","479","15","17:55","12","0","0","0","0","0"
"DL","12/01/2023","0328","N512DE","SEA","21:59","21:50","346","339","-9","22:09","19","0","0","0","0","0"
"DL","12/01/2023","0448","N532DN","LAX","22:59","22:54","320","306","-5","23:03","9","0","0","0","0","0"
"DL","12/02/2021","0355","N548US","LAX","13:31","13:21","303","327","-10","13:45","24","0","0","0","0","0"
"DL","12/02/2021","0429","N542US","SEA","21:23","22:10","335","309","47","22:19","9","0","0","0","0","21"
"DL","12/02/2021","0448","N535US","LAX","21:58","21:57","297","300","-1","22:09","12","0","0","0","0","0"
"DL","12/02/2022","0362","N184DN","LAX","13:39","13:39","319","312","0","13:54","15","0","0","0","0","0"
"DL","12/02/2022","0388","N510DE","SEA","21:35","21:33","341","330","-2","21:45","12","0","0","0","0","0"
"DL","12/02/2022","0422","N504DZ","LAX","22:55","22:51","316","291","-4","23:02","11","0","0","0","0","0"
"DL","12/02/2022","0726","N823NW","ATL","17:28","17:42","507","472","14","17:53","11","0","0","0","0","0"
"DL","12/02/2023","0328","N515DE","SEA","21:59","21:53","346","319","-6","22:07","14","0","0","0","0","0"
