Detailed Statistics Departures  
Origin Airport: Kalamazoo, MI: Kalamazoo/Battle Creek International (AZO)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2023","3697","N806SK","DTW","06:30","06:25","60","56","-5","06:42","17","0","0","0","0","0"
"OO","12/01/2023","4028","N836SK","DTW","17:37","17:29","55","45","-8","17:39","10","0","0","0","0","0"
"OO","12/01/2023","4030","N826SK","DTW","11:56","11:49","59","58","-7","12:07","18","0","0","0","0","0"
"OO","12/02/2023","3697","N802SK","DTW","06:30","06:29","60","52","-1","06:45","16","0","0","0","0","0"
"OO","12/02/2023","4028","N831SK","DTW","17:37","17:43","55","52","6","17:59","16","0","0","0","0","0"
"OO","12/02/2023","4030","N837SK","DTW","11:59","11:54","59","39","-5","12:01","7","0","0","0","0","0"
"OO","12/03/2023","3697","N825SK","DTW","06:30","06:30","60","44","0","06:42","12","0","0","0","0","0"
"OO","12/03/2023","4028","N837SK","DTW","17:37","18:03","55","52","26","18:17","14","23","0","0","0","0"
"OO","12/03/2023","4030","N838SK","DTW","11:59","14:56","59","105","177","16:01","65","177","0","46","0","0"
"OO","12/04/2023","3697","N840SK","DTW","06:30","06:42","60","61","12","07:11","29","0","0","0","0","0"
"OO","12/04/2023","4028","N838SK","DTW","17:37","17:33","55","44","-4","17:43","10","0","0","0","0","0"
"OO","12/04/2023","4030","N840SK","DTW","11:59","11:58","59","50","-1","12:11","13","0","0","0","0","0"
"OO","12/05/2023","3697","N187PQ","DTW","06:30","06:26","60","77","-4","07:07","41","0","0","0","0","0"
"OO","12/05/2023","4028","N833SK","DTW","17:37","17:29","55","53","-8","17:45","16","0","0","0","0","0"
"OO","12/05/2023","4030","N827SK","DTW","11:59","11:55","59","49","-4","12:07","12","0","0","0","0","0"
"OO","12/06/2023","3697","N837SK","DTW","06:30","06:26","60","42","-4","06:36","10","0","0","0","0","0"
"OO","12/06/2023","4028","N827SK","DTW","17:37","17:35","55","50","-2","17:48","13","0","0","0","0","0"
"OO","12/06/2023","4030","N829SK","DTW","11:59","11:56","59","52","-3","12:10","14","0","0","0","0","0"
"OO","12/07/2023","3697","N840SK","DTW","06:25","06:18","69","66","-7","06:36","18","0","0","0","0","0"
"OO","12/07/2023","4028","N831SK","DTW","17:35","17:31","70","50","-4","17:43","12","0","0","0","0","0"
"OO","12/07/2023","4030","N826SK","DTW","11:57","12:56","68","44","59","13:07","11","35","0","0","0","0"
"OO","12/08/2023","3697","N827SK","DTW","06:25","06:20","69","54","-5","06:32","12","0","0","0","0","0"
"OO","12/08/2023","4028","N829SK","DTW","17:35","17:32","70","45","-3","17:41","9","0","0","0","0","0"
"OO","12/08/2023","4030","N827SK","DTW","11:57","11:49","68","45","-8","12:00","11","0","0","0","0","0"
"OO","12/09/2023","3697","N829SK","DTW","06:25","06:19","69","43","-6","06:29","10","0","0","0","0","0"
"OO","12/09/2023","4028","N827SK","DTW","17:35","17:28","70","52","-7","17:47","19","0","0","0","0","0"
"OO","12/09/2023","4030","N833SK","DTW","11:57","11:49","68","38","-8","11:55","6","0","0","0","0","0"
"OO","12/10/2023","3697","N832SK","DTW","06:25","06:20","69","45","-5","06:30","10","0","0","0","0","0"
"OO","12/10/2023","4028","N831SK","DTW","17:35","17:51","70","65","16","18:15","24","0","0","0","0","0"
"OO","12/10/2023","4030","N839SK","DTW","11:57","11:51","68","49","-6","12:03","12","0","0","0","0","0"
"OO","12/11/2023","3697","N836SK","DTW","06:25","06:27","69","65","2","06:59","32","0","0","0","0","0"
"OO","12/11/2023","4028","N806SK","DTW","17:35","17:31","70","37","-4","17:37","6","0","0","0","0","0"
"OO","12/11/2023","4030","N836SK","DTW","11:57","11:48","68","47","-9","12:02","14","0","0","0","0","0"
"OO","12/12/2023","3697","N831SK","DTW","06:25","06:22","69","63","-3","06:50","28","0","0","0","0","0"
"OO","12/12/2023","4028","N831SK","DTW","17:35","17:27","70","57","-8","17:46","19","0","0","0","0","0"
"OO","12/12/2023","4030","N833SK","DTW","11:57","11:58","68","54","1","12:16","18","0","0","0","0","0"
"OO","12/13/2023","3697","N838SK","DTW","06:25","06:23","69","60","-2","06:51","28","0","0","0","0","0"
