Detailed Statistics Departures  
Origin Airport: Kalispell, MT: Glacier Park International (FCA)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2289","N405QX","SEA","12:55","13:07","109","117","12","13:25","18","12","0","8","0","0"
"QX","12/01/2021","2331","N443QX","SEA","06:20","06:17","111","101","-3","06:26","9","0","0","0","0","0"
"QX","12/01/2022","2270","N646QX","SEA","13:05","13:24","96","110","19","13:57","33","0","0","14","0","19"
"QX","12/01/2022","2331","N637QX","SEA","06:00","05:59","102","121","-1","06:48","49","0","0","18","0","0"
"QX","12/01/2023","2119","N658QX","SEA","15:43","15:42","96","96","-1","16:07","25","0","0","0","0","0"
"QX","12/01/2023","2284","N624QX","SEA","08:10","08:03","99","117","-7","08:42","39","0","0","0","0","0"
"QX","12/02/2021","2289","N405QX","SEA","12:55","12:57","109","114","2","13:05","8","0","0","0","0","0"
"QX","12/02/2021","2331","N405QX","SEA","06:20","06:19","111","115","-1","06:28","9","0","0","0","0","0"
"QX","12/02/2022","2270","N637QX","SEA","13:05","13:09","96","97","4","13:31","22","0","0","0","0","0"
"QX","12/02/2022","2331","N627QX","SEA","06:00","06:05","102","107","5","06:35","30","0","0","0","0","0"
"QX","12/02/2023","2119","N628QX","SEA","15:43","15:43","96","101","0","16:04","21","0","0","0","0","0"
"QX","12/02/2023","2284","N659QX","SEA","08:10","08:01","99","101","-9","08:28","27","0","0","0","0","0"
"QX","12/03/2021","2289","N443QX","SEA","12:55","12:53","109","110","-2","13:01","8","0","0","0","0","0"
"QX","12/03/2021","2331","N436QX","SEA","06:20","06:17","111","125","-3","06:39","22","0","0","0","0","0"
"QX","12/03/2022","2270","N645QX","SEA","13:05","14:07","96","95","62","14:23","16","61","0","0","0","0"
"QX","12/03/2022","2331","N627QX","SEA","06:00","05:58","102","107","-2","06:33","35","0","0","0","0","0"
"QX","12/03/2023","2119","N646QX","SEA","15:43","15:43","96","112","0","16:12","29","0","0","16","0","0"
"QX","12/03/2023","2284","N654QX","SEA","08:10","08:02","99","102","-8","08:27","25","0","0","0","0","0"
"QX","12/04/2021","2289","N446QX","SEA","12:55","12:53","109","132","-2","13:23","30","0","0","21","0","0"
"QX","12/04/2021","2331","N451QX","SEA","06:20","06:57","111","147","37","07:38","41","0","37","36","0","0"
"QX","12/04/2022","2270","N620QX","SEA","13:05","13:24","96","87","19","13:38","14","0","0","0","0","0"
"QX","12/04/2022","2331","N430QX","SEA","06:00","10:27","102","122","267","10:57","30","0","0","20","0","267"
"QX","12/04/2023","2119","N625QX","SEA","15:43","16:16","96","106","33","16:35","19","0","0","43","0","0"
"QX","12/04/2023","2284","N656QX","SEA","08:10","08:09","99","112","-1","08:44","35","0","0","0","0","0"
"QX","12/05/2021","2289","N432QX","SEA","12:55","12:52","109","92","-3","12:59","7","0","0","0","0","0"
"QX","12/05/2021","2331","N437QX","SEA","06:20","06:15","111","123","-5","06:38","23","0","0","0","0","0"
"QX","12/05/2022","2270","N641QX","SEA","13:05","12:57","96","95","-8","13:25","28","0","0","0","0","0"
"QX","12/05/2022","2331","N622QX","SEA","06:00","05:58","102","105","-2","06:38","40","0","0","0","0","0"
"QX","12/05/2023","2119","N662QX","SEA","15:43","15:32","96","92","-11","15:46","14","0","0","0","0","0"
"QX","12/05/2023","2284","N659QX","SEA","08:10","08:14","99","98","4","08:23","9","0","0","0","0","0"
"QX","12/06/2021","2289","N446QX","SEA","12:55","12:55","109","117","0","13:26","31","0","0","0","0","0"
"QX","12/06/2021","2331","N446QX","SEA","06:20","06:17","111","116","-3","06:40","23","0","0","0","0","0"
"QX","12/06/2022","2270","N623QX","SEA","13:05","13:06","96","104","1","13:42","36","0","0","0","0","0"
"QX","12/06/2022","2331","N630QX","SEA","06:00","00:00","102","0","0","00:00","0","0","0","0","0","0"
"QX","12/06/2023","2119","N661QX","SEA","15:43","15:56","96","81","13","16:07","11","0","0","0","0","0"
"QX","12/06/2023","2284","N651QX","SEA","08:10","08:08","99","90","-2","08:20","12","0","0","0","0","0"
"QX","12/07/2021","2289","N453QX","SEA","12:55","13:02","109","86","7","13:10","8","0","0","0","0","0"
"QX","12/07/2021","2331","N434MK","SEA","06:20","06:20","111","113","0","06:49","29","0","0","0","0","0"
"QX","12/07/2022","2270","N641QX","SEA","13:05","13:06","96","87","1","13:25","19","0","0","0","0","0"
"QX","12/07/2022","2331","N642QX","SEA","06:00","05:48","102","88","-12","06:03","15","0","0","0","0","0"
"QX","12/07/2023","2119","N659QX","SEA","15:43","15:35","96","87","-8","15:43","8","0","0","0","0","0"
"QX","12/07/2023","2284","N642QX","SEA","08:10","08:07","99","86","-3","08:19","12","0","0","0","0","0"
"QX","12/08/2021","2289","N451QX","SEA","12:55","12:50","109","113","-5","12:59","9","0","0","0","0","0"
"QX","12/08/2021","2331","N432QX","SEA","06:20","06:17","111","118","-3","06:47","30","0","0","0","0","0"
"QX","12/08/2022","2270","N650QX","SEA","13:05","13:01","96","101","-4","13:32","31","0","0","0","0","0"
"QX","12/08/2022","2331","N641QX","SEA","06:00","06:01","102","102","1","06:33","32","0","0","0","0","0"
"QX","12/08/2023","2119","N628QX","SEA","15:43","15:39","96","92","-4","15:54","15","0","0","0","0","0"
"QX","12/08/2023","2284","N647QX","SEA","08:10","08:01","99","101","-9","08:31","30","0","0","0","0","0"
"QX","12/09/2021","2289","N438QX","SEA","12:55","12:47","109","100","-8","13:04","17","0","0","0","0","0"
"QX","12/09/2021","2331","N448QX","SEA","06:20","06:15","111","115","-5","06:38","23","0","0","0","0","0"
"QX","12/09/2022","2270","N634QX","SEA","13:05","13:06","96","93","1","13:15","9","0","0","0","0","0"
"QX","12/09/2022","2331","N638QX","SEA","06:00","05:55","102","99","-5","06:20","25","0","0","0","0","0"
"QX","12/09/2023","2119","N633QX","SEA","15:43","15:38","96","98","-5","15:51","13","0","0","0","0","0"
"QX","12/09/2023","2284","N633QX","SEA","08:10","08:04","99","91","-6","08:25","21","0","0","0","0","0"
"QX","12/10/2021","2289","N440QX","SEA","12:55","12:50","109","104","-5","13:07","17","0","0","0","0","0"
"QX","12/10/2021","2331","N435QX","SEA","06:20","06:16","111","111","-4","06:44","28","0","0","0","0","0"
