Detailed Statistics Departures  
Origin Airport: Key West, FL: Key West International (EYW)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","3722","329NV","IND","09:55","09:35","165","154","-20","09:47","12","0","0","0","0","0"
"G4","12/01/2021","3724","329NV","SFB","16:50","16:39","75","65","-11","16:49","10","0","0","0","0","0"
"G4","12/01/2022","0238","316NV","AVL","10:35","10:29","127","124","-6","10:41","12","0","0","0","0","0"
"G4","12/01/2022","2728","326NV","PIT","17:28","17:18","162","164","-10","17:28","10","0","0","0","0","0"
"G4","12/01/2023","1131","330NV","PIT","17:23","17:21","163","165","-2","17:31","10","0","0","0","0","0"
"G4","12/01/2023","2011","326NV","CVG","11:08","10:53","161","163","-15","11:05","12","0","0","0","0","0"
"G4","12/02/2021","0431","320NV","AVL","10:50","10:57","122","124","7","11:08","11","0","0","0","0","0"
"G4","12/02/2021","2454","329NV","SFB","15:40","15:46","64","63","6","15:55","9","0","0","0","0","0"
"G4","12/02/2022","0402","330NV","CVG","17:44","18:25","162","168","41","18:31","6","32","0","6","0","9"
"G4","12/02/2022","2643","314NV","PIE","09:50","09:53","63","54","3","09:58","5","0","0","0","0","0"
"G4","12/03/2021","0647","322NV","BNA","16:37","16:35","134","136","-2","16:43","8","0","0","0","0","0"
"G4","12/03/2021","0692","315NV","CVG","09:28","09:29","153","150","1","09:35","6","0","0","0","0","0"
"G4","12/03/2021","1966","307NV","PIE","14:54","14:44","75","59","-10","14:50","6","0","0","0","0","0"
"G4","12/03/2022","1226","317NV","IND","10:05","09:50","172","176","-15","09:57","7","0","0","0","0","0"
"G4","12/03/2022","1236","317NV","SFB","17:19","16:56","70","64","-23","17:01","5","0","0","0","0","0"
"G4","12/03/2023","0978","316NV","AVL","09:42","09:23","125","103","-19","09:29","6","0","0","0","0","0"
"G4","12/03/2023","1087","316NV","PIE","15:39","15:26","61","56","-13","15:35","9","0","0","0","0","0"
"G4","12/04/2021","3722","329NV","IND","09:55","10:02","165","154","7","10:07","5","0","0","0","0","0"
"G4","12/04/2021","3724","329NV","SFB","16:50","16:48","75","60","-2","16:54","6","0","0","0","0","0"
"G4","12/04/2022","0238","311NV","AVL","10:35","10:40","127","125","5","10:48","8","0","0","0","0","0"
"G4","12/04/2022","2742","332NV","PIT","17:28","17:18","162","191","-10","17:24","6","0","0","19","0","0"
"G4","12/04/2023","1131","330NV","PIT","17:23","17:22","163","158","-1","17:32","10","0","0","0","0","0"
"G4","12/04/2023","2011","310NV","CVG","11:08","11:18","161","148","10","11:27","9","0","0","0","0","0"
"G4","12/05/2021","0431","320NV","AVL","10:50","11:02","122","122","12","11:12","10","0","0","0","0","0"
"G4","12/05/2021","2211","329NV","SFB","15:40","16:21","64","63","41","16:31","10","40","0","0","0","0"
"G4","12/05/2022","0402","330NV","CVG","17:44","18:32","162","174","48","18:51","19","48","0","12","0","0"
"G4","12/05/2022","2643","314NV","PIE","09:50","09:45","63","53","-5","09:53","8","0","0","0","0","0"
"G4","12/06/2021","0647","322NV","BNA","16:37","16:25","134","137","-12","16:32","7","0","0","0","0","0"
"G4","12/06/2021","0692","314NV","CVG","09:28","09:18","153","160","-10","09:33","15","0","0","0","0","0"
"G4","12/06/2021","1966","321NV","PIE","14:54","15:19","75","60","25","15:29","10","0","0","0","0","0"
"G4","12/07/2022","1226","317NV","IND","09:58","10:52","165","173","54","11:09","17","30","0","8","0","24"
"G4","12/07/2022","1236","317NV","SFB","16:59","17:30","67","62","31","17:35","5","0","0","0","0","26"
"G4","12/07/2023","0978","337NV","AVL","09:19","09:14","125","136","-5","09:39","25","0","0","0","0","0"
"G4","12/07/2023","2607","337NV","PIE","15:13","15:02","61","61","-11","15:13","11","0","0","0","0","0"
"G4","12/08/2021","3722","329NV","IND","09:55","09:42","165","174","-13","09:48","6","0","0","0","0","0"
"G4","12/08/2021","3724","329NV","SFB","16:50","16:34","75","61","-16","16:41","7","0","0","0","0","0"
"G4","12/08/2022","1127","326NV","PIT","17:53","17:38","162","162","-15","17:45","7","0","0","0","0","0"
"G4","12/08/2022","1872","325NV","AVL","10:37","10:56","126","120","19","11:08","12","0","0","0","0","0"
"G4","12/08/2023","0361","328NV","CVG","10:07","09:56","167","157","-11","10:08","12","0","0","0","0","0"
"G4","12/08/2023","2731","330NV","PIT","17:21","17:25","169","156","4","17:36","11","0","0","0","0","0"
