Detailed Statistics Departures  
Origin Airport: Key West, FL: Key West International (EYW)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0388","N8027D","ORD","13:56","14:18","210","199","22","14:29","11","0","0","0","0","0"
"AA","12/01/2021","0766","N9013A","DFW","17:37","18:25","193","171","48","18:36","11","1","0","0","0","25"
"AA","12/01/2021","1223","N9017P","CLT","13:17","13:15","137","131","-2","13:26","11","0","0","0","0","0"
"AA","12/01/2021","1248","N9023N","CLT","17:17","17:34","138","126","17","17:49","15","0","0","0","0","0"
"AA","12/01/2021","1375","N9013A","CLT","11:45","12:07","135","130","22","12:30","23","17","0","0","0","0"
"AA","12/01/2021","1898","N9015D","PHL","16:03","15:53","180","183","-10","16:07","14","0","0","0","0","0"
"AA","12/01/2022","0680","N9016","CLT","17:21","17:05","136","150","-16","17:20","15","0","0","0","0","0"
"AA","12/01/2022","0753","N9013A","DFW","14:13","14:16","190","183","3","14:30","14","0","0","0","0","0"
"AA","12/01/2022","1351","N9025B","CLT","08:00","07:49","136","137","-11","08:00","11","0","0","0","0","0"
"AA","12/01/2022","2118","N93003","CLT","15:00","15:08","136","117","8","15:17","9","0","0","0","0","0"
"AA","12/01/2022","2609","N90024","PHL","17:03","16:45","180","179","1422","16:58","13","40","0","0","0","1381"
