Detailed Statistics Departures  
Origin Airport: Key West, FL: Key West International (EYW)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3450","N635RW","EWR","07:00","06:50","192","193","-10","07:06","16","0","0","0","0","0"
"YX","12/01/2021","3616","N979RP","EWR","12:00","11:56","192","196","-4","12:17","21","0","0","0","0","0"
"YX","12/01/2021","3664","N859RW","EWR","14:30","15:44","192","188","74","16:01","17","0","0","0","0","70"
"YX","12/01/2021","3678","N643RW","IAD","13:30","13:27","168","159","-3","13:38","11","0","0","0","0","0"
"YX","12/01/2021","4921","N413YX","DCA","15:49","16:00","166","168","11","16:21","21","0","0","0","0","0"
"YX","12/01/2022","3426","N639RW","EWR","12:50","13:30","190","197","40","13:47","17","0","40","7","0","0"
"YX","12/01/2022","3475","N636RW","EWR","17:23","18:10","190","204","47","18:31","21","0","0","61","0","0"
"YX","12/01/2022","4384","N431YX","DCA","12:15","12:25","164","173","10","12:51","26","0","0","9","0","10"
"YX","12/01/2022","4555","N439YX","LGA","14:13","14:44","190","179","31","14:56","12","0","0","0","0","20"
"YX","12/01/2023","3475","N641RW","EWR","17:23","17:13","199","193","-10","17:30","17","0","0","0","0","0"
"YX","12/01/2023","4417","N421YX","DCA","11:36","11:26","168","164","-10","11:38","12","0","0","0","0","0"
"YX","12/01/2023","4555","N105HQ","LGA","14:41","14:32","188","181","-9","14:45","13","0","0","0","0","0"
"YX","12/01/2023","5790","N879RW","LGA","15:21","15:10","188","182","-11","15:27","17","0","0","0","0","0"
"YX","12/02/2021","3450","N645RW","EWR","07:00","06:54","192","209","-6","07:09","15","0","0","0","0","0"
"YX","12/02/2021","3616","N857RW","EWR","12:00","11:52","192","230","-8","12:12","20","0","0","30","0","0"
"YX","12/02/2021","3664","N646RW","EWR","14:30","14:34","192","205","4","14:51","17","0","0","13","0","4"
"YX","12/02/2021","3678","N644RW","IAD","13:30","13:24","168","183","-6","13:45","21","0","0","0","0","0"
"YX","12/02/2021","3680","N640RW","ORD","15:45","15:39","211","200","-6","15:52","13","0","0","0","0","0"
"YX","12/02/2021","4921","N413YX","DCA","15:49","15:36","166","170","-13","15:57","21","0","0","0","0","0"
"YX","12/02/2022","3426","N636RW","EWR","12:50","12:59","190","223","9","13:30","31","9","0","33","0","0"
"YX","12/02/2022","3475","N645RW","EWR","17:23","17:11","186","200","-12","17:26","15","0","0","0","0","0"
"YX","12/02/2022","4384","N134HQ","DCA","12:15","13:13","164","184","58","13:37","24","53","0","20","0","5"
"YX","12/02/2022","4555","N414YX","LGA","14:13","14:07","190","218","-6","14:44","37","0","0","22","0","0"
"YX","12/02/2023","3475","N642RW","EWR","17:23","17:14","199","185","-9","17:32","18","0","0","0","0","0"
"YX","12/02/2023","4508","N419YX","MIA","11:57","11:53","61","48","-4","12:08","15","0","0","0","0","0"
"YX","12/02/2023","4513","N438YX","MIA","13:46","14:06","58","52","20","14:27","21","0","0","0","0","0"
"YX","12/02/2023","4524","N421YX","DCA","11:54","11:43","168","158","-11","11:57","14","0","0","0","0","0"
"YX","12/02/2023","4536","N445YX","MIA","19:11","19:05","61","46","-6","19:19","14","0","0","0","0","0"
"YX","12/02/2023","4555","N426YX","LGA","13:48","13:44","191","177","-4","13:58","14","0","0","0","0","0"
"YX","12/02/2023","5790","N860RW","LGA","15:21","15:12","188","176","-9","15:29","17","0","0","0","0","0"
"YX","12/03/2021","3450","N859RW","EWR","07:00","06:47","192","197","-13","07:05","18","0","0","0","0","0"
"YX","12/03/2021","3616","N655RW","EWR","12:00","12:08","192","259","8","12:27","19","0","0","75","0","0"
"YX","12/03/2021","3664","N654RW","EWR","14:30","14:26","192","203","-4","14:43","17","0","0","0","0","0"
"YX","12/03/2021","3678","N857RW","IAD","13:30","13:21","168","161","-9","13:41","20","0","0","0","0","0"
"YX","12/03/2021","3680","N647RW","ORD","15:45","15:39","211","217","-6","16:01","22","0","0","0","0","0"
"YX","12/03/2021","4921","N426YX","DCA","15:49","15:39","166","190","-10","15:52","13","0","0","0","0","0"
"YX","12/03/2022","3426","N638RW","EWR","12:18","12:03","190","191","-15","12:16","13","0","0","0","0","0"
"YX","12/03/2022","3475","N864RW","EWR","17:23","17:13","190","190","-10","17:24","11","0","0","0","0","0"
"YX","12/03/2022","3490","N861RW","IAD","13:30","13:18","168","172","-12","13:32","14","0","0","0","0","0"
"YX","12/03/2022","4384","N422YX","DCA","12:25","12:20","164","186","-5","12:34","14","0","0","17","0","0"
"YX","12/03/2022","4388","N113HQ","MIA","13:48","13:39","50","57","-9","13:56","17","0","0","0","0","0"
"YX","12/03/2022","4555","N115HQ","LGA","14:13","14:06","190","187","-7","14:16","10","0","0","0","0","0"
"YX","12/03/2022","4715","N428YX","DCA","17:16","17:02","164","172","-14","17:16","14","0","0","0","0","0"
"YX","12/03/2023","3475","N647RW","EWR","17:23","17:21","198","167","-2","17:32","11","0","0","0","0","0"
"YX","12/03/2023","4524","N421YX","DCA","11:59","12:38","168","0","39","12:57","19","0","0","0","0","0"
"YX","12/03/2023","4555","N138HQ","LGA","14:41","14:32","188","166","-9","14:42","10","0","0","0","0","0"
"YX","12/03/2023","5790","N878RW","LGA","15:21","16:06","188","173","45","16:24","18","30","0","0","0","0"
"YX","12/04/2021","3403","N651RW","ORD","10:35","12:32","211","217","117","12:48","16","117","0","6","0","0"
"YX","12/04/2021","3570","N642RW","EWR","12:00","12:00","192","196","0","12:25","25","0","0","0","0","0"
"YX","12/04/2021","3664","N865RW","EWR","14:50","15:03","188","200","13","15:28","25","13","0","12","0","0"
"YX","12/04/2021","3678","N654RW","IAD","13:30","13:52","168","0","22","14:12","20","0","0","0","0","0"
"YX","12/04/2021","3680","N648RW","ORD","15:45","15:54","211","209","9","16:13","19","0","0","0","0","0"
"YX","12/04/2021","4799","N451YX","LGA","12:30","12:51","188","191","21","13:05","14","17","0","3","0","4"
"YX","12/04/2022","3426","N864RW","EWR","12:50","12:40","190","226","-10","13:01","21","0","0","26","0","0"
"YX","12/04/2022","3475","N639RW","EWR","17:23","17:19","190","201","-4","17:33","14","0","0","0","0","0"
