Detailed Statistics Departures  
Origin Airport: Knoxville, TN: McGhee Tyson (TYS)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2022","0549","N3014R","CLT","17:49","17:41","73","62","-8","17:56","15","0","0","0","0","0"
"AA","12/01/2022","0789","N750UW","CLT","09:05","08:57","73","84","-8","09:26","29","0","0","0","0","0"
"AA","12/01/2022","2102","N649AW","DFW","16:33","16:25","159","160","-8","16:43","18","0","0","0","0","0"
"AA","12/01/2022","2196","N117UW","DFW","07:45","07:41","159","176","-4","07:53","12","0","0","0","0","0"
"AA","12/01/2023","0994","N872NN","DFW","05:40","05:39","160","175","-1","06:01","22","0","0","0","0","0"
"AA","12/01/2023","1582","N954AN","DFW","15:02","14:52","160","171","-10","15:12","20","0","0","0","0","0"
"AA","12/01/2023","2550","N827NN","DFW","18:16","18:19","160","157","3","18:36","17","0","0","0","0","0"
"AA","12/02/2022","0549","N700UW","CLT","17:55","17:50","73","76","-5","18:14","24","0","0","0","0","0"
"AA","12/02/2022","0789","N724UW","CLT","09:05","08:56","73","76","-9","09:21","25","0","0","0","0","0"
"AA","12/02/2022","2102","N604AW","DFW","16:33","16:28","159","142","-5","16:37","9","0","0","0","0","0"
"AA","12/02/2022","2196","N803AW","DFW","07:45","07:53","159","167","8","08:22","29","8","0","8","0","0"
"AA","12/02/2023","0994","N981AN","DFW","05:40","12:00","160","165","380","12:14","14","5","0","5","0","375"
"AA","12/02/2023","2550","N892NN","DFW","18:16","18:31","160","156","15","18:43","12","0","0","0","0","0"
"AA","12/03/2022","1270","N804AW","CLT","07:00","06:53","73","75","-7","07:25","32","0","0","0","0","0"
"AA","12/03/2022","2102","N832AW","DFW","16:33","19:39","159","140","186","19:51","12","0","0","0","0","167"
"AA","12/03/2022","2196","N70020","DFW","07:45","07:40","159","155","-5","07:58","18","0","0","0","0","0"
"AA","12/03/2023","0994","N976NN","DFW","05:40","05:40","160","156","0","05:54","14","0","0","0","0","0"
"AA","12/03/2023","1582","N954NN","DFW","15:02","14:58","160","157","-4","15:10","12","0","0","0","0","0"
"AA","12/03/2023","2550","N970AN","DFW","18:16","18:08","160","164","-8","18:30","22","0","0","0","0","0"
"AA","12/04/2022","0549","N9016","CLT","17:55","17:52","73","63","-3","18:08","16","0","0","0","0","0"
"AA","12/04/2022","0789","N758US","CLT","09:05","09:28","73","51","23","09:39","11","0","0","0","0","0"
"AA","12/04/2022","2102","N104UW","DFW","16:33","16:30","159","160","-3","16:47","17","0","0","0","0","0"
"AA","12/04/2022","2196","N673AW","DFW","07:45","07:44","159","157","-1","07:57","13","0","0","0","0","0"
"AA","12/04/2023","0994","N851NN","DFW","05:40","05:33","160","167","-7","05:54","21","0","0","0","0","0"
"AA","12/04/2023","1582","N969NN","DFW","15:02","14:51","160","152","-11","15:05","14","0","0","0","0","0"
"AA","12/04/2023","2550","N942NN","DFW","18:16","18:10","160","168","-6","18:20","10","0","0","0","0","0"
"AA","12/05/2022","0549","N9016","CLT","17:55","17:52","73","95","-3","18:37","45","0","0","19","0","0"
"AA","12/05/2022","0789","N824AW","CLT","09:05","08:59","73","85","-6","09:35","36","0","0","0","0","0"
"AA","12/05/2022","2102","N673AW","DFW","16:33","16:45","159","149","12","17:04","19","0","0","0","0","0"
"AA","12/05/2022","2196","N109UW","DFW","07:45","07:43","159","188","-2","08:28","45","0","0","27","0","0"
"AA","12/05/2023","0994","N804NN","DFW","05:52","05:46","163","158","-6","05:58","12","0","0","0","0","0"
"AA","12/05/2023","2545","N902AN","DFW","15:02","00:00","163","0","0","00:00","0","0","0","0","0","0"
"AA","12/05/2023","2550","N874NN","DFW","18:16","18:14","163","186","-2","19:09","55","0","0","21","0","0"
"AA","12/06/2022","0549","N9018E","CLT","17:55","17:57","73","64","2","18:06","9","0","0","0","0","0"
"AA","12/06/2022","0789","N752US","CLT","09:05","00:00","73","0","0","00:00","0","0","0","0","0","0"
"AA","12/06/2022","2102","N108UW","DFW","16:33","16:39","159","150","6","16:52","13","0","0","0","0","0"
"AA","12/06/2022","2196","N118US","DFW","07:45","07:50","159","154","5","08:02","12","0","0","0","0","0"
"AA","12/06/2023","0994","N848NN","DFW","05:52","05:49","163","150","-3","06:04","15","0","0","0","0","0"
"AA","12/06/2023","2545","N933NN","DFW","15:02","15:10","163","134","8","15:24","14","0","0","0","0","0"
"AA","12/06/2023","2550","N966AN","DFW","18:16","18:20","163","153","4","18:35","15","0","0","0","0","0"
"AA","12/07/2022","0549","N9018E","CLT","17:55","17:48","73","62","-7","17:59","11","0","0","0","0","0"
"AA","12/07/2022","0789","N700UW","CLT","09:05","09:01","73","101","-4","09:45","44","0","0","24","0","0"
"AA","12/07/2022","2102","N679AW","DFW","16:33","16:45","159","144","12","17:00","15","0","0","0","0","0"
"AA","12/07/2022","2196","N656AW","DFW","07:45","07:58","159","178","13","08:13","15","13","0","19","0","0"
"AA","12/07/2023","0994","N922AN","DFW","05:52","05:47","163","165","-5","06:29","42","0","0","0","0","0"
"AA","12/07/2023","2545","N940AN","DFW","15:02","15:00","163","0","-2","15:16","16","0","0","0","0","0"
"AA","12/07/2023","2550","N884NN","DFW","18:16","18:07","163","147","-9","18:21","14","0","0","0","0","0"
"AA","12/08/2022","0549","N9025B","CLT","17:55","17:49","73","60","-6","17:59","10","0","0","0","0","0"
"AA","12/08/2022","0789","N709UW","CLT","09:05","00:57","73","53","952","01:09","12","932","0","0","0","0"
"AA","12/08/2022","2102","N680AW","DFW","16:33","16:35","159","159","2","17:00","25","0","0","0","0","0"
"AA","12/08/2022","2196","N104UW","DFW","07:45","07:42","159","158","-3","07:55","13","0","0","0","0","0"
"AA","12/08/2023","0994","N874NN","DFW","05:52","05:48","163","159","-4","06:23","35","0","0","0","0","0"
"AA","12/08/2023","2545","N936AN","DFW","15:02","14:56","163","139","-6","15:12","16","0","0","0","0","0"
"AA","12/08/2023","2550","N902AN","DFW","18:16","18:10","163","163","-6","18:39","29","0","0","0","0","0"
"AA","12/09/2022","0549","N8009T","CLT","17:55","20:01","73","64","126","20:10","9","3","0","0","0","114"
"AA","12/09/2022","0789","N745VJ","CLT","09:05","08:58","73","93","-7","09:37","39","0","0","0","0","0"
"AA","12/09/2022","2102","N649AW","DFW","16:33","17:43","159","148","70","17:57","14","19","0","0","0","40"
"AA","12/09/2022","2196","N104UW","DFW","07:45","07:47","159","165","2","08:13","26","0","0","0","0","0"
"AA","12/09/2023","0994","N902AN","DFW","05:52","05:43","163","159","-9","05:56","13","0","0","0","0","0"
"AA","12/09/2023","2545","N982AN","DFW","15:02","15:06","163","150","4","15:19","13","0","0","0","0","0"
"AA","12/09/2023","2550","N925NN","DFW","18:16","18:19","163","177","3","18:33","14","0","0","14","0","3"
"AA","12/10/2022","1270","N151AN","CLT","07:00","13:03","73","58","363","13:18","15","0","0","0","0","348"
"AA","12/10/2022","2102","N102UW","DFW","16:33","17:53","159","163","80","18:12","19","0","0","4","0","80"
"AA","12/10/2022","2196","N104UW","DFW","07:45","15:22","159","188","457","15:34","12","0","0","29","0","457"
"AA","12/10/2023","0994","N830NN","DFW","05:52","05:52","163","163","0","06:06","14","0","0","0","0","0"
"AA","12/10/2023","2545","N889NN","DFW","15:02","14:59","163","143","-3","15:17","18","0","0","0","0","0"
"AA","12/10/2023","2550","N950NN","DFW","18:16","18:13","163","146","-3","18:27","14","0","0","0","0","0"
"AA","12/11/2022","0549","N9006","CLT","17:55","17:50","73","62","-5","18:05","15","0","0","0","0","0"
"AA","12/11/2022","0789","N833AW","CLT","09:05","08:59","73","77","-6","09:28","29","0","0","0","0","0"
"AA","12/11/2022","2102","N108UW","DFW","16:33","17:02","159","130","29","17:13","11","0","0","0","0","0"
"AA","12/11/2022","2196","N604AW","DFW","07:45","07:40","159","148","-5","07:53","13","0","0","0","0","0"
"AA","12/11/2023","0994","N934AN","DFW","05:52","05:48","163","166","-4","06:14","26","0","0","0","0","0"
"AA","12/11/2023","2545","N907AN","DFW","15:02","14:58","163","147","-4","15:08","10","0","0","0","0","0"
"AA","12/11/2023","2550","N804NN","DFW","18:16","18:11","163","165","-5","18:23","12","0","0","0","0","0"
"AA","12/12/2022","0549","N3014R","CLT","17:55","17:51","73","60","-4","18:01","10","0","0","0","0","0"
"AA","12/12/2022","0789","N813AW","CLT","09:05","08:55","73","94","-10","09:33","38","0","0","0","0","0"
"AA","12/12/2022","2102","N109UW","DFW","16:33","16:41","159","149","8","16:51","10","0","0","0","0","0"
"AA","12/12/2022","2196","N102UW","DFW","07:45","07:40","159","147","-5","07:55","15","0","0","0","0","0"
"AA","12/12/2023","0994","N813NN","DFW","05:52","05:49","163","169","-3","06:28","39","0","0","0","0","0"
"AA","12/12/2023","2545","N354PT","DFW","15:02","14:54","163","143","-8","15:09","15","0","0","0","0","0"
"AA","12/12/2023","2550","N976AN","DFW","18:16","00:00","163","0","0","00:00","0","0","0","0","0","0"
"AA","12/13/2022","0549","N816AW","CLT","17:55","17:57","73","62","2","18:10","13","0","0","0","0","0"
"AA","12/13/2022","0789","N821AW","CLT","09:05","08:58","73","83","-7","09:21","23","0","0","0","0","0"
"AA","12/13/2022","2102","N604AW","DFW","16:33","00:00","159","0","0","00:00","0","0","0","0","0","0"
"AA","12/13/2022","2196","N663AW","DFW","07:45","09:23","159","270","98","09:51","28","0","0","209","0","0"
"AA","12/13/2023","0994","N981AN","DFW","05:52","05:48","163","160","-4","06:21","33","0","0","0","0","0"
"AA","12/13/2023","2545","N948AN","DFW","15:02","14:59","163","149","-3","15:16","17","0","0","0","0","0"
"AA","12/13/2023","2550","N984NN","DFW","18:16","18:32","163","164","16","18:51","19","16","0","1","0","0"
"AA","12/14/2022","0549","N171US","CLT","17:55","17:55","73","61","0","18:05","10","0","0","0","0","0"
"AA","12/14/2022","0789","N724UW","CLT","09:05","09:01","73","68","-4","09:18","17","0","0","0","0","0"
"AA","12/14/2022","2102","N143AN","DFW","16:33","16:48","159","158","15","17:01","13","0","0","0","0","0"
"AA","12/14/2022","2196","N826AW","DFW","07:45","15:18","159","151","453","15:35","17","0","0","0","0","445"
"AA","12/14/2023","0994","N898NN","DFW","05:52","06:30","163","150","38","06:56","26","0","0","25","0","0"
"AA","12/14/2023","2545","N990NN","DFW","15:02","14:56","163","139","-6","15:11","15","0","0","0","0","0"
"AA","12/14/2023","2550","N973AN","DFW","18:16","18:26","163","163","10","18:57","31","0","0","0","0","0"
"AA","12/15/2022","0549","N556UW","CLT","16:13","16:43","72","65","30","16:58","15","0","0","0","0","23"
"AA","12/15/2022","0789","N828AW","CLT","09:05","09:04","71","83","-1","09:27","23","0","0","0","0","0"
"AA","12/15/2022","2102","N826AW","DFW","13:57","14:12","160","156","15","14:30","18","0","0","0","0","0"
"AA","12/15/2022","2196","N663AW","DFW","07:43","07:36","158","159","-7","07:49","13","0","0","0","0","0"
"AA","12/15/2022","2881","N826AW","DFW","20:02","20:01","160","157","-1","20:10","9","0","0","0","0","0"
"AA","12/15/2023","0994","N847NN","DFW","05:52","05:45","163","184","-7","06:21","36","0","0","0","0","0"
"AA","12/15/2023","2545","N317PG","DFW","15:02","15:06","163","148","4","15:21","15","0","0","0","0","0"
"AA","12/15/2023","2550","N315PE","DFW","18:16","18:35","163","154","19","18:53","18","0","0","0","0","0"
"AA","12/16/2022","0549","N814AW","CLT","16:13","20:23","72","54","250","20:35","12","0","0","0","0","232"
"AA","12/16/2022","0789","N838AW","CLT","09:05","18:45","71","65","580","19:03","18","0","0","0","0","574"
"AA","12/16/2022","2102","N813AW","DFW","13:57","14:45","160","148","48","14:56","11","0","0","0","0","36"
"AA","12/16/2022","2196","N153UW","DFW","07:45","07:52","160","177","7","08:30","38","0","7","17","0","0"
"AA","12/16/2022","2881","N813AW","DFW","20:02","20:24","160","151","22","20:36","12","0","0","0","0","0"
"AA","12/16/2023","0994","N988NN","DFW","05:52","05:50","163","159","-2","06:17","27","0","0","0","0","0"
"AA","12/16/2023","2545","N865NN","DFW","15:02","15:00","163","140","-2","15:11","11","0","0","0","0","0"
"AA","12/16/2023","2550","N988NN","DFW","18:16","18:12","163","159","-4","18:27","15","0","0","0","0","0"
"AA","12/17/2022","0789","N703UW","CLT","09:05","09:05","71","72","0","09:28","23","0","0","0","0","0"
"AA","12/17/2022","2102","N826AW","DFW","13:57","13:54","160","151","-3","14:05","11","0","0","0","0","0"
"AA","12/17/2022","2196","N124US","DFW","07:45","07:56","158","178","11","08:08","12","11","0","20","0","0"
"AA","12/17/2022","2881","N826AW","DFW","20:02","19:54","160","139","-8","20:04","10","0","0","0","0","0"
"AA","12/17/2023","0994","N804NN","DFW","05:52","05:47","163","159","-5","06:05","18","0","0","0","0","0"
