Detailed Statistics Departures  
Origin Airport: Knoxville, TN: McGhee Tyson (TYS)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3625","N214NN","DFW","06:00","05:55","162","138","-5","06:07","12","0","0","0","0","0"
"MQ","12/01/2021","3769","N204NN","DFW","10:43","10:59","158","136","16","11:08","9","0","0","0","0","0"
"MQ","12/01/2021","4014","N217NN","DFW","16:13","16:12","158","133","-1","16:24","12","0","0","0","0","0"
"MQ","12/01/2021","4198","N223NN","MIA","06:20","06:16","125","116","-4","06:30","14","0","0","0","0","0"
"MQ","12/01/2022","3825","N925AE","ORD","16:17","16:06","111","103","-11","16:20","14","0","0","0","0","0"
"MQ","12/01/2022","3870","N228NN","MIA","06:10","05:59","140","134","-11","06:22","23","0","0","0","0","0"
"MQ","12/01/2022","3878","N689EC","ORD","11:19","11:12","111","101","-7","11:28","16","0","0","0","0","0"
"MQ","12/01/2023","3347","N286NN","MIA","07:03","06:56","137","121","-7","07:10","14","0","0","0","0","0"
"MQ","12/01/2023","3868","N202NN","DCA","17:14","17:10","91","77","-4","17:24","14","0","0","0","0","0"
"MQ","12/02/2021","4014","N282NN","DFW","16:13","16:12","158","132","-1","16:21","9","0","0","0","0","0"
"MQ","12/02/2021","4198","N262NN","MIA","06:20","06:21","125","107","1","06:30","9","0","0","0","0","0"
"MQ","12/02/2022","3825","N670AE","ORD","16:17","16:10","111","110","-7","16:30","20","0","0","0","0","0"
"MQ","12/02/2022","3870","N217NN","MIA","06:10","06:05","140","120","-5","06:20","15","0","0","0","0","0"
"MQ","12/02/2022","3878","N922AE","ORD","11:19","11:12","111","109","-7","11:35","23","0","0","0","0","0"
