Detailed Statistics Departures  
Origin Airport: Knoxville, TN: McGhee Tyson (TYS)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1284","N939AT","ATL","18:09","18:04","64","49","-5","18:19","15","0","0","0","0","0"
"DL","12/01/2021","2079","N309US","ATL","06:40","06:34","62","68","-6","07:06","32","0","0","0","0","0"
"DL","12/01/2021","2648","N366DX","ATL","15:45","15:42","59","49","-3","15:56","14","0","0","0","0","0"
"DL","12/01/2021","2674","N940AT","ATL","13:05","12:52","60","52","-13","13:10","18","0","0","0","0","0"
"DL","12/01/2022","0462","N372DA","ATL","05:35","05:21","64","48","-14","05:36","15","0","0","0","0","0"
"DL","12/01/2022","1248","N320US","ATL","12:10","12:40","66","48","30","12:49","9","0","0","0","0","0"
"DL","12/01/2022","2427","N925AT","ATL","15:00","14:51","64","53","-9","15:01","10","0","0","0","0","0"
"DL","12/01/2022","2512","N925AT","ATL","18:49","18:37","70","57","-12","18:50","13","0","0","0","0","0"
"DL","12/01/2022","2530","N3758Y","ATL","10:16","10:09","62","56","-7","10:26","17","0","0","0","0","0"
"DL","12/01/2023","1265","N942DZ","ATL","16:00","15:49","60","57","-11","16:00","11","0","0","0","0","0"
"DL","12/01/2023","2388","N949DZ","ATL","10:20","10:09","59","53","-11","10:21","12","0","0","0","0","0"
"DL","12/01/2023","2700","N850DN","ATL","12:15","12:08","67","52","-7","12:18","10","0","0","0","0","0"
"DL","12/01/2023","2704","N956DZ","ATL","05:25","05:17","57","52","-8","05:28","11","0","0","0","0","0"
"DL","12/02/2021","1284","N978AT","ATL","18:09","18:01","64","59","-8","18:25","24","0","0","0","0","0"
"DL","12/02/2021","2079","N375NC","ATL","06:40","06:34","62","45","-6","06:46","12","0","0","0","0","0"
"DL","12/02/2021","2648","N350DN","ATL","15:45","15:41","59","54","-4","15:55","14","0","0","0","0","0"
"DL","12/02/2021","2674","N979AT","ATL","13:05","12:59","60","50","-6","13:14","15","0","0","0","0","0"
"DL","12/02/2022","0462","N384DA","ATL","05:35","05:38","64","54","3","05:49","11","0","0","0","0","0"
"DL","12/02/2022","1248","N355NW","ATL","12:10","11:58","66","51","-12","12:10","12","0","0","0","0","0"
"DL","12/02/2022","2427","N925AT","ATL","15:00","14:54","64","56","-6","15:09","15","0","0","0","0","0"
"DL","12/02/2022","2512","N923AT","ATL","18:49","18:51","70","51","2","19:00","9","0","0","0","0","0"
"DL","12/02/2022","2530","N379DA","ATL","10:16","10:13","62","58","-3","10:27","14","0","0","0","0","0"
"DL","12/02/2023","1265","N953DZ","ATL","16:00","15:55","60","61","-5","16:11","16","0","0","0","0","0"
"DL","12/02/2023","2388","N947DZ","ATL","10:20","11:09","59","54","49","11:21","12","0","0","0","0","44"
"DL","12/02/2023","2700","N960DZ","ATL","12:15","12:12","67","56","-3","12:26","14","0","0","0","0","0"
"DL","12/02/2023","2704","N948DZ","ATL","05:25","10:42","57","52","317","10:52","10","0","0","0","0","312"
"DL","12/03/2021","1284","N986AT","ATL","18:09","18:06","64","47","-3","18:19","13","0","0","0","0","0"
"DL","12/03/2021","2648","N116DN","ATL","15:45","15:39","59","51","-6","15:52","13","0","0","0","0","0"
"DL","12/03/2021","2674","N971AT","ATL","13:05","13:00","60","52","-5","13:17","17","0","0","0","0","0"
"DL","12/03/2022","0462","N377DE","ATL","05:35","05:25","64","55","-10","05:39","14","0","0","0","0","0"
"DL","12/03/2022","2427","N923AT","ATL","15:00","14:52","64","52","-8","15:05","13","0","0","0","0","0"
"DL","12/03/2022","2512","N923AT","ATL","18:49","18:38","70","52","-11","18:50","12","0","0","0","0","0"
"DL","12/03/2022","2530","N391DA","ATL","10:50","10:43","60","54","-7","10:56","13","0","0","0","0","0"
"DL","12/03/2023","1265","N962DZ","ATL","16:00","16:00","60","56","0","16:17","17","0","0","0","0","0"
"DL","12/03/2023","2388","N949DZ","ATL","10:20","10:13","59","54","-7","10:25","12","0","0","0","0","0"
"DL","12/03/2023","2700","N853DN","ATL","12:15","12:11","67","57","-4","12:29","18","0","0","0","0","0"
"DL","12/03/2023","2704","N947DZ","ATL","05:25","05:17","57","56","-8","05:29","12","0","0","0","0","0"
"DL","12/04/2021","2648","N355DN","ATL","15:45","16:08","59","48","23","16:21","13","0","0","0","0","0"
"DL","12/04/2021","2674","N947AT","ATL","13:05","13:00","60","41","-5","13:08","8","0","0","0","0","0"
"DL","12/04/2022","0462","N378DA","ATL","05:35","05:33","64","47","-2","05:43","10","0","0","0","0","0"
"DL","12/04/2022","1248","N320US","ATL","12:10","12:06","66","51","-4","12:23","17","0","0","0","0","0"
"DL","12/04/2022","2427","N717JL","ATL","15:00","14:51","64","44","-9","14:58","7","0","0","0","0","0"
"DL","12/04/2022","2512","N927AT","ATL","18:49","18:46","70","45","-3","18:55","9","0","0","0","0","0"
"DL","12/04/2022","2530","N775DE","ATL","10:16","10:51","62","49","35","11:06","15","0","0","0","0","22"
"DL","12/04/2023","1265","N955DZ","ATL","16:00","15:54","60","54","-6","16:14","20","0","0","0","0","0"
"DL","12/04/2023","2388","N945DZ","ATL","10:20","10:17","59","50","-3","10:30","13","0","0","0","0","0"
"DL","12/04/2023","2700","N820DN","ATL","12:15","12:10","67","45","-5","12:20","10","0","0","0","0","0"
"DL","12/04/2023","2704","N947DZ","ATL","05:25","08:49","57","48","204","08:59","10","195","0","0","0","0"
"DL","12/05/2021","1284","N319US","ATL","18:38","19:39","66","48","61","19:45","6","14","0","0","0","29"
"DL","12/05/2021","2208","N374NW","ATL","05:35","05:29","62","49","-6","05:38","9","0","0","0","0","0"
"DL","12/05/2021","2648","N929AT","ATL","15:38","15:38","61","56","0","15:51","13","0","0","0","0","0"
"DL","12/05/2021","2674","N312US","ATL","12:55","12:54","62","52","-1","13:03","9","0","0","0","0","0"
"DL","12/05/2022","0462","N383DN","ATL","05:35","05:28","64","67","-7","05:55","27","0","0","0","0","0"
"DL","12/05/2022","1248","N366NW","ATL","12:10","12:09","66","65","-1","12:32","23","0","0","0","0","0"
"DL","12/05/2022","2427","N935AT","ATL","15:00","14:52","64","60","-8","15:05","13","0","0","0","0","0"
"DL","12/05/2022","2512","N935AT","ATL","18:49","18:43","70","62","-6","18:56","13","0","0","0","0","0"
"DL","12/05/2022","2530","N383DN","ATL","10:16","10:12","62","48","-4","10:22","10","0","0","0","0","0"
"DL","12/05/2023","1265","N959DZ","ATL","16:00","15:56","60","67","-4","16:11","15","0","0","0","0","0"
"DL","12/05/2023","2388","N955DZ","ATL","10:20","10:34","59","65","14","10:58","24","14","0","6","0","0"
"DL","12/05/2023","2700","N874DN","ATL","12:15","12:04","67","51","-11","12:18","14","0","0","0","0","0"
"DL","12/05/2023","2704","N955DZ","ATL","05:25","05:18","57","44","-7","05:27","9","0","0","0","0","0"
"DL","12/06/2021","1284","N312US","ATL","18:38","19:25","66","56","47","19:41","16","0","0","0","0","37"
"DL","12/06/2021","2208","N326US","ATL","05:35","05:33","62","46","-2","05:43","10","0","0","0","0","0"
"DL","12/06/2021","2648","N982AT","ATL","15:38","15:34","61","52","-4","15:47","13","0","0","0","0","0"
"DL","12/06/2021","2674","N352NW","ATL","12:55","12:55","62","109","0","13:58","63","0","0","47","0","0"
"DL","12/06/2022","0462","N374DA","ATL","05:35","05:32","64","51","-3","05:41","9","0","0","0","0","0"
"DL","12/06/2022","1248","N996AT","ATL","10:50","10:34","60","67","-16","10:55","21","0","0","0","0","0"
"DL","12/06/2022","2427","N952AT","ATL","15:00","14:50","64","66","-10","15:07","17","0","0","0","0","0"
