Detailed Statistics Departures  
Origin Airport: Kona, HI: Ellison Onizuka Kona International at Keahole (KOA)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0196","N586AS","SAN","15:10","15:09","327","335","-1","15:18","9","0","0","0","0","0"
"AS","12/01/2021","0802","N469AS","PDX","16:35","16:22","324","348","-13","16:46","24","0","0","0","0","0"
"AS","12/01/2021","0856","N478AS","SJC","12:10","12:15","311","308","5","12:30","15","0","0","0","0","0"
"AS","12/01/2021","0880","N457AS","SEA","22:29","22:39","364","342","10","22:52","13","0","0","0","0","0"
"AS","12/01/2021","0988","N924AK","SEA","13:40","13:40","361","341","0","14:02","22","0","0","0","0","0"
"AS","12/01/2022","0785","N975AK","SEA","13:30","00:00","348","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0880","N931AK","SEA","23:25","23:32","345","358","7","23:52","20","7","0","13","0","0"
"AS","12/01/2022","0894","N972AK","SAN","12:05","12:48","324","306","43","13:03","15","0","0","0","0","25"
"AS","12/01/2022","1370","N565AS","PDX","16:30","16:22","329","357","-8","16:43","21","0","0","20","0","0"
"AS","12/01/2023","0808","N409AS","SEA","11:30","11:31","359","353","1","11:49","18","0","0","0","0","0"
"AS","12/01/2023","0822","N903AK","SEA","17:30","17:29","359","338","-1","17:47","18","0","0","0","0","0"
"AS","12/01/2023","0856","N952AK","SJC","14:30","14:21","309","296","-9","14:36","15","0","0","0","0","0"
