Detailed Statistics Departures  
Origin Airport: Kona, HI: Ellison Onizuka Kona International at Keahole (KOA)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0407","N8719Q","HNL","14:05","14:02","45","43","-3","14:13","11","0","0","0","0","0"
"WN","12/01/2021","1052","N8329B","HNL","10:35","10:56","45","44","21","11:05","9","20","0","0","0","0"
"WN","12/01/2021","1206","N8711Q","PHX","08:00","07:58","355","360","-2","08:11","13","0","0","0","0","0"
"WN","12/01/2021","1286","N8318F","HNL","07:15","07:11","45","41","-4","07:19","8","0","0","0","0","0"
"WN","12/01/2021","1324","N8738K","OGG","17:05","16:57","35","36","-8","17:07","10","0","0","0","0","0"
"WN","12/01/2021","1362","N8741L","HNL","18:35","18:30","45","48","-5","18:41","11","0","0","0","0","0"
"WN","12/01/2021","1386","N8751R","LAX","16:05","15:57","330","323","-8","16:11","14","0","0","0","0","0"
"WN","12/01/2021","1537","N8318F","OAK","11:40","11:43","305","307","3","11:56","13","0","0","0","0","0"
"WN","12/01/2021","1849","N8321D","SJC","14:10","14:28","305","0","18","14:38","10","0","0","0","0","0"
"WN","12/01/2022","1077","N8729H","HNL","18:00","17:55","50","50","-5","18:08","13","0","0","0","0","0"
"WN","12/01/2022","1378","N8730Q","HNL","11:50","11:41","50","64","-9","12:08","27","0","0","0","0","0"
"WN","12/01/2022","1386","N8770Q","HNL","06:15","06:08","50","51","-7","06:21","13","0","0","0","0","0"
"WN","12/01/2022","1486","N1809U","HNL","13:35","13:33","50","48","-2","13:47","14","0","0","0","0","0"
"WN","12/01/2022","1754","N8758L","HNL","08:25","08:25","50","57","0","08:37","12","0","0","0","0","0"
"WN","12/01/2022","1982","N8723Q","OGG","15:15","15:11","35","33","-4","15:21","10","0","0","0","0","0"
"WN","12/01/2022","2147","N8725L","OAK","10:35","10:29","310","305","-6","10:37","8","0","0","0","0","0"
"WN","12/01/2022","2363","N8730Q","HNL","15:30","15:32","50","61","2","15:56","24","0","0","0","0","0"
"WN","12/01/2022","2449","N8740A","SJC","14:00","14:01","310","306","1","14:12","11","0","0","0","0","0"
"WN","12/01/2022","3065","N8716B","LAS","08:10","08:06","340","337","-4","08:19","13","0","0","0","0","0"
"WN","12/01/2023","0568","N8742M","HNL","06:15","06:07","50","55","-8","06:20","13","0","0","0","0","0"
"WN","12/01/2023","1002","N8729H","HNL","11:55","11:57","55","63","2","12:06","9","0","0","0","0","0"
"WN","12/01/2023","1079","N1804U","LAS","08:00","07:56","340","323","-4","08:06","10","0","0","0","0","0"
"WN","12/01/2023","1190","N1805U","HNL","08:35","08:30","50","49","-5","08:45","15","0","0","0","0","0"
"WN","12/01/2023","1936","N8315C","OGG","14:45","14:43","40","33","-2","14:53","10","0","0","0","0","0"
"WN","12/01/2023","2015","N8760L","HNL","15:25","15:28","55","47","3","15:40","12","0","0","0","0","0"
"WN","12/01/2023","2287","N8766T","HNL","18:00","17:56","55","50","-4","18:07","11","0","0","0","0","0"
"WN","12/01/2023","3059","N8715Q","HNL","13:40","13:39","55","53","-1","13:58","19","0","0","0","0","0"
"WN","12/01/2023","3128","N8718Q","OAK","10:35","10:36","310","297","1","10:49","13","0","0","0","0","0"
"WN","12/02/2021","0407","N8717M","HNL","14:05","13:59","45","48","-6","14:08","9","0","0","0","0","0"
"WN","12/02/2021","0442","N8711Q","LAS","08:00","08:02","340","337","2","08:13","11","0","0","0","0","0"
"WN","12/02/2021","1052","N8736J","HNL","10:35","10:41","45","43","6","10:51","10","0","0","0","0","0"
"WN","12/02/2021","1286","N8738K","HNL","07:15","07:23","45","41","8","07:31","8","0","0","0","0","0"
"WN","12/02/2021","1324","N8324A","OGG","17:05","19:05","35","30","120","19:11","6","0","0","0","0","115"
"WN","12/02/2021","1362","N8319F","HNL","18:35","18:26","45","37","-9","18:33","7","0","0","0","0","0"
"WN","12/02/2021","1386","N8329B","LAX","16:05","16:01","330","317","-4","16:09","8","0","0","0","0","0"
"WN","12/02/2021","1537","N8716B","OAK","11:40","11:38","305","305","-2","11:48","10","0","0","0","0","0"
"WN","12/02/2021","1849","N8315C","SJC","14:10","14:14","305","308","4","14:30","16","0","0","0","0","0"
"WN","12/02/2022","1077","N8755L","HNL","18:00","18:03","50","44","3","18:12","9","0","0","0","0","0"
"WN","12/02/2022","1378","N8740A","HNL","11:50","14:50","50","54","180","15:08","18","8","0","4","0","172"
"WN","12/02/2022","1386","N8765Q","HNL","06:15","06:52","50","42","37","07:00","8","0","0","0","29","0"
"WN","12/02/2022","1486","N8748Q","HNL","13:35","13:45","50","47","10","13:53","8","0","0","0","0","0"
"WN","12/02/2022","1754","N8781Q","HNL","08:25","08:17","50","55","-8","08:28","11","0","0","0","0","0"
"WN","12/02/2022","1982","N8720L","OGG","15:15","15:47","35","35","32","15:56","9","0","0","0","0","32"
"WN","12/02/2022","2147","N8729H","OAK","10:35","10:51","310","294","16","11:01","10","0","0","0","0","0"
"WN","12/02/2022","2363","N8786Q","HNL","15:30","15:28","50","52","-2","15:44","16","0","0","0","0","0"
"WN","12/02/2022","2449","N8731J","SJC","14:00","14:04","310","301","4","14:14","10","0","0","0","0","0"
"WN","12/02/2022","3065","N8756S","LAS","08:10","08:10","340","330","0","08:20","10","0","0","0","0","0"
"WN","12/02/2023","0568","N8786Q","HNL","06:15","06:16","50","43","1","06:24","8","0","0","0","0","0"
"WN","12/02/2023","1002","N8767M","HNL","11:55","11:56","55","63","1","12:11","15","0","0","0","0","0"
