Detailed Statistics Departures  
Origin Airport: Kona, HI: Ellison Onizuka Kona International at Keahole (KOA)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0435","N75851","SFO","10:00","10:00","307","296","0","10:09","9","0","0","0","0","0"
"UA","12/01/2021","0643","N57863","SFO","14:10","14:09","307","309","-1","14:19","10","0","0","0","0","0"
"UA","12/01/2021","1205","N37522","LAX","14:32","14:34","327","333","2","14:47","13","0","0","0","0","0"
"UA","12/01/2021","1724","N75851","SFO","23:59","23:53","307","298","-6","00:07","14","0","0","0","0","0"
"UA","12/01/2021","1731","","DEN","21:10","00:00","409","0","0","00:00","0","0","0","0","0","0"
"UA","12/01/2022","0643","N27205","SFO","14:05","14:26","312","305","21","14:42","16","0","0","0","0","0"
"UA","12/01/2022","1205","N37466","LAX","14:09","14:08","326","328","-1","14:21","13","0","0","0","0","0"
"UA","12/01/2022","1724","N68880","SFO","23:38","00:21","307","301","43","00:33","12","0","0","0","0","37"
"UA","12/01/2022","1731","N17139","DEN","20:35","20:27","408","406","-8","20:45","18","0","0","0","0","0"
"UA","12/01/2023","1205","N77543","LAX","14:16","14:14","326","318","-2","14:29","15","0","0","0","0","0"
"UA","12/01/2023","1711","N780UA","SFO","14:05","14:03","298","282","-2","14:19","16","0","0","0","0","0"
"UA","12/01/2023","1724","N37563","SFO","23:59","23:50","310","298","-9","00:05","15","0","0","0","0","0"
"UA","12/01/2023","2437","N17122","DEN","20:35","20:31","408","401","-4","20:43","12","0","0","0","0","0"
"UA","12/02/2021","0435","N75858","SFO","10:00","09:56","307","305","-4","10:08","12","0","0","0","0","0"
"UA","12/02/2021","0643","N37437","SFO","14:21","14:10","311","321","-11","14:28","18","0","0","0","0","0"
"UA","12/02/2021","1205","N37507","LAX","14:32","14:23","327","331","-9","14:38","15","0","0","0","0","0"
"UA","12/02/2021","1724","N57852","SFO","23:59","23:54","307","303","-5","00:06","12","0","0","0","0","0"
"UA","12/02/2021","1731","N641UA","DEN","21:10","21:07","409","400","-3","21:21","14","0","0","0","0","0"
"UA","12/02/2022","0643","N27205","SFO","14:05","13:57","312","291","-8","14:09","12","0","0","0","0","0"
"UA","12/02/2022","1205","N27421","LAX","14:09","14:07","326","315","-2","14:18","11","0","0","0","0","0"
"UA","12/02/2022","1724","N68891","SFO","23:38","23:34","307","276","-4","23:42","8","0","0","0","0","0"
"UA","12/02/2022","1731","N29124","DEN","20:35","20:20","408","388","-15","20:35","15","0","0","0","0","0"
"UA","12/02/2023","0067","N26909","ORD","18:10","17:56","490","481","-14","18:11","15","0","0","0","0","0"
"UA","12/02/2023","1205","N77558","LAX","14:16","14:07","326","310","-9","14:24","17","0","0","0","0","0"
"UA","12/02/2023","1711","N769UA","SFO","14:05","14:01","298","282","-4","14:16","15","0","0","0","0","0"
"UA","12/02/2023","1724","N37540","SFO","23:59","23:59","310","290","0","00:14","15","0","0","0","0","0"
"UA","12/02/2023","2437","N29129","DEN","20:35","20:23","408","407","-12","20:35","12","0","0","0","0","0"
"UA","12/03/2021","0435","N75858","SFO","10:00","09:56","307","315","-4","10:13","17","0","0","0","0","0"
"UA","12/03/2021","0643","N62884","SFO","14:21","14:18","311","305","-3","14:35","17","0","0","0","0","0"
"UA","12/03/2021","1205","N37506","LAX","14:32","14:34","327","339","2","15:17","43","0","0","0","0","0"
"UA","12/03/2021","1724","N77867","SFO","23:59","00:09","307","301","10","00:20","11","0","0","0","0","0"
"UA","12/03/2021","1731","N14102","DEN","21:10","21:05","409","405","-5","21:17","12","0","0","0","0","0"
"UA","12/03/2022","0067","N16008","ORD","17:55","17:47","486","434","-8","17:58","11","0","0","0","0","0"
"UA","12/03/2022","0400","N27509","LAX","22:00","21:51","324","291","-9","22:04","13","0","0","0","0","0"
"UA","12/03/2022","0435","N37527","SFO","16:20","16:03","312","289","-17","16:17","14","0","0","0","0","0"
"UA","12/03/2022","0643","N77537","SFO","14:05","13:58","312","284","-7","14:09","11","0","0","0","0","0"
"UA","12/03/2022","1205","N68811","LAX","14:09","14:14","326","312","5","14:28","14","0","0","0","0","0"
