Detailed Statistics Departures  
Origin Airport: La Crosse, WI: La Crosse Regional (LSE)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3623","N918AE","ORD","18:00","17:56","85","77","-4","18:07","11","0","0","0","0","0"
"MQ","12/01/2021","3624","N694AE","ORD","12:52","12:43","78","76","-9","13:01","18","0","0","0","0","0"
"MQ","12/01/2021","3929","N675AE","ORD","08:00","07:54","92","73","-6","08:04","10","0","0","0","0","0"
"MQ","12/01/2022","3624","N679AE","ORD","14:40","14:39","72","67","-1","14:49","10","0","0","0","0","0"
"MQ","12/01/2022","3929","N689EC","ORD","06:00","05:52","81","87","-8","06:22","30","0","0","0","0","0"
"MQ","12/02/2021","3623","N941LT","ORD","18:00","17:56","85","83","-4","18:03","7","0","0","0","0","0"
"MQ","12/02/2021","3624","N680AE","ORD","12:52","13:41","78","69","49","13:50","9","20","0","0","0","20"
"MQ","12/02/2021","3929","N677AE","ORD","05:50","06:17","94","67","27","06:33","16","0","0","0","0","0"
"MQ","12/02/2022","3624","N941LT","ORD","14:40","14:37","72","66","-3","14:45","8","0","0","0","0","0"
"MQ","12/02/2022","3929","N922AE","ORD","06:00","05:52","81","70","-8","06:06","14","0","0","0","0","0"
"MQ","12/03/2021","3623","N918AE","ORD","18:00","17:52","85","69","-8","18:00","8","0","0","0","0","0"
"MQ","12/03/2021","3624","N677AE","ORD","12:52","12:43","78","57","-9","12:51","8","0","0","0","0","0"
"MQ","12/03/2021","3929","N908AE","ORD","05:50","05:46","94","84","-4","06:10","24","0","0","0","0","0"
"MQ","12/03/2022","3624","N613AE","ORD","14:40","14:39","72","66","-1","14:47","8","0","0","0","0","0"
"MQ","12/03/2022","3929","N935AE","ORD","06:00","05:50","81","78","-10","06:14","24","0","0","0","0","0"
"MQ","12/04/2021","3624","N678AE","ORD","12:52","12:41","78","58","-11","12:51","10","0","0","0","0","0"
"MQ","12/04/2021","3929","N902BC","ORD","05:50","05:45","94","77","-5","06:01","16","0","0","0","0","0"
"MQ","12/04/2022","3624","N668HH","ORD","14:40","14:38","72","66","-2","14:50","12","0","0","0","0","0"
"MQ","12/04/2022","3929","N689EC","ORD","06:00","05:53","81","75","-7","06:16","23","0","0","0","0","0"
"MQ","12/05/2021","3623","N662EH","ORD","18:00","17:57","85","75","-3","18:03","6","0","0","0","0","0"
"MQ","12/05/2021","3624","N615AE","ORD","12:52","12:45","78","89","-7","13:17","32","0","0","0","0","0"
"MQ","12/05/2021","3732","N678AE","ORD","05:50","05:46","94","71","-4","06:03","17","0","0","0","0","0"
"MQ","12/05/2022","3624","N668HH","ORD","14:40","14:32","72","58","-8","14:37","5","0","0","0","0","0"
"MQ","12/05/2022","3929","N928AE","ORD","06:00","05:53","81","74","-7","06:02","9","0","0","0","0","0"
"MQ","12/06/2021","3623","N670AE","ORD","18:00","17:59","85","74","-1","18:13","14","0","0","0","0","0"
"MQ","12/06/2021","3624","N935AE","ORD","12:52","12:47","78","64","-5","12:54","7","0","0","0","0","0"
"MQ","12/06/2021","3929","N615AE","ORD","05:50","05:47","94","80","-3","06:05","18","0","0","0","0","0"
"MQ","12/06/2022","3624","N928AE","ORD","14:40","14:30","72","68","-10","14:40","10","0","0","0","0","0"
"MQ","12/06/2022","3929","N928AE","ORD","06:00","05:56","81","76","-4","06:20","24","0","0","0","0","0"
"MQ","12/07/2021","3624","N615AE","ORD","12:52","12:49","78","66","-3","12:58","9","0","0","0","0","0"
"MQ","12/07/2021","3929","N935AE","ORD","05:50","05:47","94","65","-3","05:55","8","0","0","0","0","0"
"MQ","12/07/2022","3624","N622AE","ORD","14:40","15:11","72","65","31","15:19","8","7","0","0","0","17"
"MQ","12/07/2022","3929","N935AE","ORD","06:00","05:58","81","92","-2","06:29","31","0","0","0","0","0"
"MQ","12/08/2021","3623","N918AE","ORD","18:00","17:54","85","77","-6","18:06","12","0","0","0","0","0"
