Detailed Statistics Departures  
Origin Airport: Lansing, MI: Capital Region International (LAN)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4082","N939AE","ORD","14:05","14:07","70","94","2","14:45","38","2","0","24","0","0"
"MQ","12/01/2021","4425","N610AE","ORD","06:35","06:26","91","98","-9","07:13","47","0","0","0","0","0"
"MQ","12/01/2022","3658","N902BC","ORD","07:00","06:56","88","62","-4","07:07","11","0","0","0","0","0"
"MQ","12/01/2022","4082","N939AE","ORD","15:52","15:47","67","64","-5","16:02","15","0","0","0","0","0"
"MQ","12/02/2021","4082","N902BC","ORD","14:15","14:08","70","68","-7","14:22","14","0","0","0","0","0"
"MQ","12/02/2021","4425","N905JH","ORD","06:35","06:24","91","60","-11","06:35","11","0","0","0","0","0"
"MQ","12/02/2022","3658","N928AE","ORD","07:00","06:49","88","70","-11","07:07","18","0","0","0","0","0"
"MQ","12/02/2022","4082","N905JH","ORD","15:52","15:44","67","70","-8","15:58","14","0","0","0","0","0"
"MQ","12/03/2021","4082","N935AE","ORD","14:15","14:07","70","76","-8","14:18","11","0","0","0","0","0"
"MQ","12/03/2021","4425","N622AE","ORD","06:35","06:27","91","73","-8","06:38","11","0","0","0","0","0"
"MQ","12/03/2022","3658","N661JA","ORD","07:00","06:51","88","57","-9","06:59","8","0","0","0","0","0"
"MQ","12/03/2022","4082","N661JA","ORD","15:52","15:46","67","62","-6","15:54","8","0","0","0","0","0"
"MQ","12/04/2021","4425","N677AE","ORD","06:35","06:30","91","96","-5","07:11","41","0","0","0","0","0"
"MQ","12/04/2022","3658","N663AR","ORD","07:00","06:56","88","90","-4","07:34","38","0","0","0","0","0"
"MQ","12/04/2022","4082","N622AE","ORD","15:52","15:44","67","59","-8","15:55","11","0","0","0","0","0"
"MQ","12/05/2021","4082","N698CB","ORD","14:15","14:05","70","124","-10","15:01","56","0","0","44","0","0"
"MQ","12/05/2021","4425","N670AE","ORD","06:35","06:31","91","93","-4","07:04","33","0","0","0","0","0"
"MQ","12/05/2022","3658","N908AE","ORD","07:00","06:52","88","60","-8","07:03","11","0","0","0","0","0"
"MQ","12/05/2022","4082","N905JH","ORD","15:52","15:41","67","63","-11","15:52","11","0","0","0","0","0"
"MQ","12/06/2021","4082","N905JH","ORD","14:15","14:05","70","89","-10","14:40","35","0","0","0","0","0"
"MQ","12/06/2021","4425","N675AE","ORD","06:35","06:32","91","91","-3","06:53","21","0","0","0","0","0"
"MQ","12/06/2022","3658","N939AE","ORD","07:00","06:53","88","73","-7","07:03","10","0","0","0","0","0"
"MQ","12/06/2022","4082","N932AE","ORD","15:52","15:50","67","79","-2","16:06","16","0","0","0","0","0"
"MQ","12/07/2021","4082","N610AE","ORD","14:15","14:07","70","67","-8","14:19","12","0","0","0","0","0"
"MQ","12/07/2021","4425","N900AE","ORD","06:35","06:27","91","73","-8","06:49","22","0","0","0","0","0"
"MQ","12/07/2022","3658","N661JA","ORD","07:00","06:53","88","62","-7","07:03","10","0","0","0","0","0"
"MQ","12/07/2022","4082","N618AE","ORD","15:52","15:41","67","79","-11","16:03","22","0","0","0","0","0"
"MQ","12/08/2021","4082","N698CB","ORD","14:15","14:15","70","120","0","15:08","53","0","0","50","0","0"
"MQ","12/08/2021","4425","N677AE","ORD","06:35","06:26","91","107","-9","07:26","60","0","0","0","0","0"
"MQ","12/08/2022","3658","N670AE","ORD","07:00","06:55","88","69","-5","07:08","13","0","0","0","0","0"
"MQ","12/08/2022","4082","N909AE","ORD","15:52","15:54","67","81","2","16:11","17","2","0","14","0","0"
"MQ","12/09/2021","4082","N663AR","ORD","14:15","14:05","70","79","-10","14:28","23","0","0","0","0","0"
"MQ","12/09/2021","4425","N622AE","ORD","06:35","06:27","91","82","-8","06:53","26","0","0","0","0","0"
"MQ","12/09/2022","3658","N931AE","ORD","07:00","06:55","88","116","-5","07:42","47","0","0","23","0","0"
"MQ","12/09/2022","4082","N942LL","ORD","15:52","16:25","67","88","33","16:39","14","9","0","21","0","24"
"MQ","12/10/2021","4082","N622AE","ORD","14:15","14:14","70","71","-1","14:23","9","0","0","0","0","0"
"MQ","12/10/2021","4425","N941LT","ORD","06:35","06:27","91","92","-8","06:58","31","0","0","0","0","0"
"MQ","12/10/2022","3658","N662EH","ORD","07:00","06:52","88","104","-8","07:36","44","0","0","0","0","0"
"MQ","12/10/2022","4082","N935AE","ORD","15:52","15:55","67","65","3","16:07","12","0","0","0","0","0"
"MQ","12/11/2021","4425","N909AE","ORD","06:35","06:30","91","70","-5","06:40","10","0","0","0","0","0"
"MQ","12/11/2022","3658","N932AE","ORD","07:00","06:53","88","105","-7","07:44","51","0","0","0","0","0"
"MQ","12/11/2022","4082","N928AE","ORD","15:52","15:47","67","50","-5","15:55","8","0","0","0","0","0"
"MQ","12/12/2021","4082","N670AE","ORD","14:15","14:07","70","62","-8","14:20","13","0","0","0","0","0"
"MQ","12/12/2021","4425","N935AE","ORD","06:35","06:22","91","89","-13","07:02","40","0","0","0","0","0"
"MQ","12/12/2022","3658","N933JN","ORD","07:00","06:49","88","85","-11","07:22","33","0","0","0","0","0"
"MQ","12/12/2022","4082","N941LT","ORD","15:52","15:52","67","69","0","16:01","9","0","0","0","0","0"
"MQ","12/13/2021","4082","N697AB","ORD","14:15","14:06","70","55","-9","14:14","8","0","0","0","0","0"
"MQ","12/13/2021","4425","N909AE","ORD","06:35","06:25","91","64","-10","06:36","11","0","0","0","0","0"
"MQ","12/13/2022","3658","N679AE","ORD","07:00","06:49","88","62","-11","06:57","8","0","0","0","0","0"
"MQ","12/13/2022","4082","N679AE","ORD","15:52","15:49","67","61","-3","15:56","7","0","0","0","0","0"
"MQ","12/14/2021","4082","N613AE","ORD","14:15","14:06","70","63","-9","14:14","8","0","0","0","0","0"
"MQ","12/14/2021","4425","N615AE","ORD","06:35","06:31","91","105","-4","07:11","40","0","0","0","0","0"
"MQ","12/14/2022","3658","N905JH","ORD","07:00","06:59","88","84","-1","07:15","16","0","0","0","0","0"
"MQ","12/14/2022","4082","N922AE","ORD","15:52","16:15","67","63","23","16:22","7","19","0","0","0","0"
"MQ","12/15/2021","4082","N662EH","ORD","14:15","14:09","70","84","-6","14:20","11","0","0","0","0","0"
"MQ","12/15/2021","4425","N698CB","ORD","06:35","07:00","91","81","25","07:12","12","15","0","0","0","0"
"MQ","12/15/2022","3658","N909AE","ORD","06:45","06:41","87","57","-4","06:52","11","0","0","0","0","0"
"MQ","12/15/2022","4082","N942LL","ORD","14:05","14:09","67","61","4","14:21","12","0","0","0","0","0"
"MQ","12/16/2021","4082","N909AE","ORD","14:10","14:23","73","163","13","16:04","101","13","0","90","0","0"
"MQ","12/16/2021","4425","N698CB","ORD","06:37","06:31","85","76","-6","06:45","14","0","0","0","0","0"
"MQ","12/16/2022","3658","N942LL","ORD","06:45","06:37","87","87","-8","07:12","35","0","0","0","0","0"
"MQ","12/16/2022","4082","N933JN","ORD","14:05","15:05","67","69","60","15:15","10","36","0","2","0","24"
"MQ","12/17/2021","4082","N935AE","ORD","14:10","14:00","73","73","-10","14:14","14","0","0","0","0","0"
"MQ","12/17/2021","4425","N902BC","ORD","06:37","06:35","85","87","-2","07:07","32","0","0","0","0","0"
