Detailed Statistics Departures  
Origin Airport: Augusta, GA: Augusta Regional at Bush Field (AGS)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5245","N533AE","DCA","16:20","16:21","99","81","1","16:31","10","0","0","0","0","0"
"OH","12/01/2021","5567","N558NN","CLT","10:51","11:15","75","60","24","11:31","16","0","0","0","0","0"
"OH","12/01/2022","5166","N602NN","DCA","17:16","17:58","95","113","42","18:07","9","3","0","18","0","39"
"OH","12/01/2022","5283","N564NN","CLT","14:40","14:57","64","52","17","15:08","11","0","0","0","0","0"
"OH","12/01/2022","5365","N522AE","CLT","06:30","06:40","66","54","10","06:51","11","0","0","0","0","0"
"OH","12/01/2023","5042","N510AE","DCA","06:01","05:51","95","160","-10","06:17","26","0","0","55","0","0"
"OH","12/01/2023","5338","N518AE","CLT","09:00","08:57","64","89","-3","09:32","35","0","0","22","0","0"
"OH","12/01/2023","5439","N584NN","DFW","16:50","18:59","179","197","129","19:18","19","0","0","18","0","129"
"OH","12/02/2021","5245","N529EA","DCA","16:20","16:29","99","96","9","16:42","13","0","0","0","0","0"
"OH","12/02/2021","5263","N613NN","CLT","07:00","06:56","68","58","-4","07:06","10","0","0","0","0","0"
"OH","12/02/2021","5567","N549NN","CLT","10:51","10:57","75","64","6","11:15","18","0","0","0","0","0"
"OH","12/02/2022","5166","N605NN","DCA","17:16","17:16","95","99","0","17:25","9","0","0","0","0","0"
"OH","12/02/2022","5283","N612NN","CLT","14:40","14:33","64","71","-7","14:53","20","0","0","0","0","0"
"OH","12/02/2022","5365","N540EG","CLT","06:30","06:31","66","70","1","07:01","30","0","0","0","0","0"
"OH","12/02/2023","5042","N540EG","DCA","07:32","07:37","95","107","5","07:52","15","5","0","12","0","0"
"OH","12/02/2023","5338","N544EA","CLT","09:00","09:33","64","108","33","10:39","66","0","0","44","0","33"
"OH","12/02/2023","5439","N569NN","DFW","16:50","16:58","179","181","8","17:16","18","0","0","0","0","0"
"OH","12/03/2021","5245","N530EA","DCA","16:20","16:16","99","88","-4","16:21","5","0","0","0","0","0"
"OH","12/03/2021","5263","N585NN","CLT","07:00","06:54","68","63","-6","07:10","16","0","0","0","0","0"
"OH","12/03/2021","5567","N567NN","CLT","10:51","10:45","75","62","-6","10:55","10","0","0","0","0","0"
"OH","12/03/2022","5166","N515AE","DCA","14:53","14:51","97","86","-2","15:05","14","0","0","0","0","0"
"OH","12/03/2022","5283","N575NN","CLT","14:40","14:36","64","60","-4","14:53","17","0","0","0","0","0"
"OH","12/03/2022","5365","N540EG","CLT","06:30","06:31","66","68","1","06:48","17","0","0","0","0","0"
"OH","12/03/2023","5042","N517AE","DCA","06:25","06:20","95","89","-5","06:38","18","0","0","0","0","0"
"OH","12/03/2023","5338","N518AE","CLT","09:00","08:51","64","82","-9","09:20","29","0","0","0","0","0"
"OH","12/03/2023","5439","N596NN","DFW","16:50","16:46","179","177","-4","17:02","16","0","0","0","0","0"
"OH","12/04/2021","5245","N718PS","DCA","13:19","13:03","100","95","-16","13:23","20","0","0","0","0","0"
"OH","12/04/2021","5263","N559NN","CLT","07:00","06:50","68","68","-10","07:07","17","0","0","0","0","0"
"OH","12/04/2021","5567","N543EA","CLT","10:51","10:57","75","49","6","11:04","7","0","0","0","0","0"
"OH","12/04/2022","5166","N607NN","DCA","17:16","17:15","95","87","-1","17:26","11","0","0","0","0","0"
