Detailed Statistics Departures  
Origin Airport: Lawton/Fort Sill, OK: Lawton-Fort Sill Regional (LAW)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3628","N676AE","DFW","16:35","16:23","52","62","-12","16:35","12","0","0","0","0","0"
"MQ","12/01/2021","3777","N676AE","DFW","10:16","10:03","57","47","-13","10:09","6","0","0","0","0","0"
"MQ","12/01/2021","3809","N623AE","DFW","06:30","06:27","53","44","-3","06:36","9","0","0","0","0","0"
"MQ","12/01/2023","3989","N303DD","DFW","10:26","10:27","60","52","1","10:36","9","0","0","0","0","0"
"MQ","12/01/2023","4045","N207AN","DFW","18:31","18:28","60","64","-3","18:42","14","0","0","0","0","0"
"MQ","12/01/2023","4120","N304KM","DFW","05:00","04:58","60","47","-2","05:07","9","0","0","0","0","0"
"MQ","12/02/2021","3628","N687JS","DFW","16:35","16:29","52","47","-6","16:37","8","0","0","0","0","0"
"MQ","12/02/2021","3777","N923AE","DFW","10:16","10:12","57","43","-4","10:18","6","0","0","0","0","0"
"MQ","12/02/2021","3809","N688AE","DFW","06:30","06:19","53","51","-11","06:33","14","0","0","0","0","0"
"MQ","12/02/2023","3989","N282NN","DFW","10:26","10:22","60","46","-4","10:32","10","0","0","0","0","0"
"MQ","12/02/2023","4120","N290NN","DFW","05:00","05:08","60","50","8","05:17","9","0","0","0","0","0"
"MQ","12/03/2021","3628","N667GB","DFW","16:35","16:23","52","55","-12","16:41","18","0","0","0","0","0"
"MQ","12/03/2021","3777","N667GB","DFW","10:16","10:07","57","56","-9","10:17","10","0","0","0","0","0"
"MQ","12/03/2021","3809","N667GB","DFW","06:30","06:33","53","43","3","06:40","7","0","0","0","0","0"
"MQ","12/03/2023","3989","N221NN","DFW","10:26","10:26","60","66","0","10:53","27","0","0","0","0","0"
"MQ","12/03/2023","4045","N235NN","DFW","18:31","18:21","60","50","-10","18:32","11","0","0","0","0","0"
"MQ","12/03/2023","4120","N271NN","DFW","05:00","04:59","60","64","-1","05:33","34","0","0","0","0","0"
"MQ","12/04/2021","3628","N687JS","DFW","16:35","17:11","52","43","36","17:17","6","9","0","0","0","18"
"MQ","12/04/2021","3777","N687JS","DFW","10:16","10:35","57","67","19","10:58","23","19","0","10","0","0"
"MQ","12/04/2021","3809","N925AE","DFW","06:30","06:31","53","54","1","06:45","14","0","0","0","0","0"
"MQ","12/04/2023","3989","N271NN","DFW","10:26","10:16","60","46","-10","10:23","7","0","0","0","0","0"
"MQ","12/04/2023","4045","N771JV","DFW","18:31","18:24","60","42","-7","18:30","6","0","0","0","0","0"
"MQ","12/04/2023","4120","N643RW","DFW","05:00","04:53","60","42","-7","05:03","10","0","0","0","0","0"
"MQ","12/05/2021","3628","N932AE","DFW","16:35","16:31","52","58","-4","16:52","21","0","0","0","0","0"
"MQ","12/05/2021","3777","N932AE","DFW","10:16","10:06","57","53","-10","10:17","11","0","0","0","0","0"
"MQ","12/05/2021","3809","N684JW","DFW","06:30","06:29","53","54","-1","06:48","19","0","0","0","0","0"
"MQ","12/05/2023","4143","N200NN","DFW","06:00","05:55","64","41","-5","06:01","6","0","0","0","0","0"
"MQ","12/06/2021","3628","N616AE","DFW","16:35","16:22","52","61","-13","16:32","10","0","0","0","0","0"
"MQ","12/06/2021","3777","N923AE","DFW","10:16","10:08","57","64","-8","10:19","11","0","0","0","0","0"
"MQ","12/06/2021","3809","N688AE","DFW","06:30","06:22","53","66","-8","06:44","22","0","0","0","0","0"
"MQ","12/07/2021","3628","N667GB","DFW","16:35","16:28","52","45","-7","16:36","8","0","0","0","0","0"
"MQ","12/07/2021","3777","N667GB","DFW","10:16","10:11","57","50","-5","10:17","6","0","0","0","0","0"
"MQ","12/07/2021","3809","N653AE","DFW","06:30","06:23","53","46","-7","06:32","9","0","0","0","0","0"
"MQ","12/08/2021","3628","N671AE","DFW","16:35","16:55","52","67","20","17:26","31","0","0","15","0","20"
"MQ","12/08/2021","3777","N623AE","DFW","10:16","10:06","57","49","-10","10:18","12","0","0","0","0","0"
"MQ","12/08/2021","3809","N618AE","DFW","06:30","10:31","53","103","241","11:36","65","120","121","50","0","0"
"MQ","12/09/2021","3628","N681AE","DFW","16:35","16:28","52","43","-7","16:35","7","0","0","0","0","0"
"MQ","12/09/2021","3777","N681AE","DFW","10:16","10:10","57","42","-6","10:16","6","0","0","0","0","0"
"MQ","12/09/2021","3809","N928AE","DFW","06:30","06:21","53","50","-9","06:35","14","0","0","0","0","0"
"MQ","12/10/2021","3628","N618AE","DFW","16:35","16:35","52","43","0","16:41","6","0","0","0","0","0"
"MQ","12/10/2021","3777","N618AE","DFW","10:16","10:19","57","67","3","10:46","27","0","0","0","0","0"
"MQ","12/10/2021","3809","N671AE","DFW","06:30","06:29","53","61","-1","06:47","18","0","0","0","0","0"
"MQ","12/11/2021","3628","N905JH","DFW","16:35","16:25","52","59","-10","16:30","5","0","0","0","0","0"
"MQ","12/11/2021","3777","N673AE","DFW","10:16","10:32","57","54","16","10:47","15","0","0","0","0","0"
"MQ","12/11/2021","3809","N653AE","DFW","06:30","06:20","53","84","-10","06:48","28","0","0","21","0","0"
"MQ","12/12/2021","3628","N619AE","DFW","16:35","16:29","52","57","-6","16:43","14","0","0","0","0","0"
"MQ","12/12/2021","3777","N693AE","DFW","10:16","10:14","57","42","-2","10:21","7","0","0","0","0","0"
"MQ","12/12/2021","3809","N671AE","DFW","06:30","06:23","53","60","-7","06:47","24","0","0","0","0","0"
"MQ","12/13/2021","3628","N684JW","DFW","16:35","16:28","52","45","-7","16:38","10","0","0","0","0","0"
"MQ","12/13/2021","3777","N681AE","DFW","10:16","10:06","57","54","-10","10:17","11","0","0","0","0","0"
"MQ","12/13/2021","3809","N923AE","DFW","06:30","07:04","53","86","34","07:53","49","34","0","33","0","0"
"MQ","12/14/2021","3628","N681AE","DFW","16:35","16:32","52","49","-3","16:43","11","0","0","0","0","0"
"MQ","12/14/2021","3777","N606AE","DFW","10:16","10:20","57","70","4","10:52","32","0","0","13","0","4"
"MQ","12/14/2021","3809","N694AE","DFW","06:30","06:25","53","59","-5","06:46","21","0","0","0","0","0"
"MQ","12/15/2021","3628","N933JN","DFW","16:35","16:33","52","51","-2","16:42","9","0","0","0","0","0"
"MQ","12/15/2021","3777","N922AE","DFW","10:16","10:12","57","47","-4","10:18","6","0","0","0","0","0"
"MQ","12/15/2021","3809","N681AE","DFW","06:30","06:21","53","64","-9","06:33","12","0","0","0","0","0"
"MQ","12/16/2021","3628","N673AE","DFW","16:54","16:52","61","73","-2","17:18","26","0","0","0","0","0"
"MQ","12/16/2021","3777","N684JW","DFW","10:25","10:21","65","69","-4","10:40","19","0","0","0","0","0"
