Detailed Statistics Departures  
Origin Airport: Lewisburg, WV: Greenbrier Valley (LWB)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5023","N466SW","ORD","19:21","19:14","118","112","-7","19:29","15","0","0","0","0","0"
"OO","12/02/2021","5023","N417SW","ORD","19:21","19:26","118","114","5","19:38","12","0","0","0","0","0"
"OO","12/02/2021","5148","N487CA","IAD","10:17","10:09","65","48","-8","10:18","9","0","0","0","0","0"
"OO","12/03/2021","5023","N959SW","ORD","19:21","19:14","118","118","-7","19:29","15","0","0","0","0","0"
"OO","12/03/2021","5148","N969SW","IAD","10:17","10:14","65","58","-3","10:18","4","0","0","0","0","0"
"OO","12/04/2021","5023","N964SW","ORD","19:21","19:11","118","96","-10","19:16","5","0","0","0","0","0"
"OO","12/04/2021","5078","N900EV","IAD","10:17","10:04","65","56","-13","10:18","14","0","0","0","0","0"
"OO","12/05/2021","5023","N417SW","ORD","19:21","19:11","118","95","-10","19:20","9","0","0","0","0","0"
"OO","12/05/2021","5078","N443SW","IAD","10:17","10:08","65","48","-9","10:14","6","0","0","0","0","0"
"OO","12/06/2021","5023","N939SW","ORD","19:21","19:11","118","126","-10","19:19","8","0","0","0","0","0"
"OO","12/06/2021","5078","N487CA","IAD","10:17","13:57","65","53","220","14:09","12","208","0","0","0","0"
"OO","12/07/2021","5023","N964SW","ORD","19:21","19:11","118","98","-10","19:18","7","0","0","0","0","0"
"OO","12/08/2021","5023","N432SW","ORD","19:21","19:15","118","134","-6","19:46","31","0","0","0","0","0"
"OO","12/09/2021","5023","N912EV","ORD","19:21","19:04","118","117","-17","19:13","9","0","0","0","0","0"
"OO","12/09/2021","5078","N912EV","IAD","10:17","10:10","65","44","-7","10:15","5","0","0","0","0","0"
"OO","12/10/2021","5023","N910EV","ORD","19:21","19:14","118","115","-7","19:27","13","0","0","0","0","0"
"OO","12/10/2021","5078","N932SW","IAD","10:17","10:13","65","47","-4","10:21","8","0","0","0","0","0"
"OO","12/11/2021","5023","N943SW","ORD","19:21","19:10","118","104","-11","19:21","11","0","0","0","0","0"
"OO","12/11/2021","5078","N466SW","IAD","10:17","10:07","65","63","-10","10:28","21","0","0","0","0","0"
"OO","12/12/2021","5023","N913EV","ORD","19:21","19:11","118","95","-10","19:20","9","0","0","0","0","0"
"OO","12/12/2021","5078","N979SW","IAD","10:17","10:09","65","42","-8","10:13","4","0","0","0","0","0"
"OO","12/13/2021","5023","N455SW","ORD","19:21","19:10","118","100","-11","19:21","11","0","0","0","0","0"
"OO","12/13/2021","5078","N438SW","IAD","10:17","10:11","65","57","-6","10:24","13","0","0","0","0","0"
"OO","12/14/2021","5023","N494CA","ORD","19:21","18:55","118","118","-26","18:59","4","0","0","0","0","0"
"OO","12/15/2021","5023","N907SW","ORD","19:21","20:24","118","0","63","20:27","3","0","0","0","0","0"
"OO","12/16/2021","5023","N907SW","ORD","19:21","19:17","129","117","-4","19:37","20","0","0","0","0","0"
"OO","12/17/2021","5023","N472CA","ORD","19:21","19:15","129","118","-6","19:21","6","0","0","0","0","0"
"OO","12/18/2021","5023","N472CA","ORD","19:21","19:11","129","121","-10","19:36","25","0","0","0","0","0"
"OO","12/19/2021","5023","N967SW","ORD","19:21","19:29","129","113","8","19:42","13","0","0","0","0","0"
"OO","12/20/2021","5023","N986SW","ORD","19:21","19:09","129","100","-12","19:20","11","0","0","0","0","0"
"OO","12/21/2021","5023","N438SW","ORD","19:21","19:12","129","108","-9","19:26","14","0","0","0","0","0"
"OO","12/22/2021","5023","N923SW","ORD","19:21","19:04","129","113","-17","19:12","8","0","0","0","0","0"
"OO","12/23/2021","5023","N440SW","ORD","19:21","19:11","129","106","-10","19:23","12","0","0","0","0","0"
"OO","12/24/2021","5023","N909SW","ORD","19:21","19:02","129","95","-19","19:07","5","0","0","0","0","0"
"OO","12/25/2021","5023","N920SW","ORD","19:21","20:23","129","113","62","20:38","15","46","0","0","0","0"
"OO","12/26/2021","5023","N982SW","ORD","19:21","19:02","129","119","-19","19:07","5","0","0","0","0","0"
"OO","12/27/2021","5023","N937EV","ORD","19:21","19:08","129","113","-13","19:19","11","0","0","0","0","0"
"OO","12/28/2021","5023","N969SW","ORD","19:21","00:00","129","0","0","00:00","0","0","0","0","0","0"
"OO","12/29/2021","5023","N956SW","ORD","19:21","00:00","129","0","0","00:00","0","0","0","0","0","0"
"OO","12/30/2021","5023","N969SW","ORD","19:21","19:11","129","117","-10","19:30","19","0","0","0","0","0"
"OO","12/31/2021","5023","N440SW","ORD","19:21","19:10","129","128","-11","19:36","26","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
