Detailed Statistics Departures  
Origin Airport: Lexington, KY: Blue Grass (LEX)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2023","0593","N711UW","DFW","05:50","05:49","163","172","-1","06:03","14","0","0","0","0","0"
"AA","12/01/2023","1149","N751UW","DFW","18:12","18:14","163","157","2","18:26","12","0","0","0","0","0"
"AA","12/02/2023","0593","N700UW","DFW","05:50","05:50","163","159","0","06:10","20","0","0","0","0","0"
"AA","12/02/2023","1149","N837AW","DFW","14:02","13:57","163","159","-5","14:11","14","0","0","0","0","0"
"AA","12/03/2023","1149","N108UW","DFW","14:02","14:39","163","158","37","14:53","14","32","0","0","0","0"
"AA","12/04/2023","0593","N809AW","DFW","05:50","05:44","163","176","-6","06:13","29","0","0","0","0","0"
"AA","12/04/2023","1149","N810AW","DFW","14:02","14:05","163","164","3","14:26","21","0","0","0","0","0"
"AA","12/05/2023","0593","N711UW","DFW","05:31","11:28","167","158","357","11:45","17","348","0","0","0","0"
"AA","12/05/2023","2863","N836AW","DFW","14:00","14:28","167","150","28","14:39","11","0","0","0","0","0"
"AA","12/06/2023","0593","N809AW","DFW","05:31","05:28","167","138","-3","05:40","12","0","0","0","0","0"
"AA","12/06/2023","2863","N716UW","DFW","14:00","13:59","167","155","-1","14:22","23","0","0","0","0","0"
"AA","12/07/2023","0593","N815AW","DFW","05:31","05:25","167","149","-6","05:43","18","0","0","0","0","0"
"AA","12/07/2023","2863","N807AW","DFW","14:00","13:51","167","136","-9","14:05","14","0","0","0","0","0"
"AA","12/08/2023","0593","N826AW","DFW","05:31","05:25","167","132","-6","05:37","12","0","0","0","0","0"
"AA","12/08/2023","2863","N776XF","DFW","14:00","14:04","167","137","4","14:18","14","0","0","0","0","0"
"AA","12/09/2023","0593","N826AW","DFW","05:31","05:30","167","160","-1","05:44","14","0","0","0","0","0"
"AA","12/09/2023","2863","N814AW","DFW","14:00","13:55","167","166","-5","14:06","11","0","0","0","0","0"
"AA","12/10/2023","0593","N821AW","DFW","05:31","05:20","167","140","-11","05:35","15","0","0","0","0","0"
"AA","12/10/2023","2863","N773XF","DFW","14:00","13:55","167","149","-5","14:07","12","0","0","0","0","0"
"AA","12/11/2023","0593","N807AW","DFW","05:31","05:26","167","139","-5","05:38","12","0","0","0","0","0"
"AA","12/11/2023","2863","N750UW","DFW","14:00","13:52","167","143","-8","14:06","14","0","0","0","0","0"
"AA","12/12/2023","0593","N9017P","DFW","05:31","05:22","167","152","-9","05:45","23","0","0","0","0","0"
"AA","12/12/2023","2863","N753US","DFW","14:00","13:47","167","152","-13","14:05","18","0","0","0","0","0"
"AA","12/13/2023","0593","N776XF","DFW","05:31","05:24","167","155","-7","05:36","12","0","0","0","0","0"
"AA","12/13/2023","2863","N8001N","DFW","14:00","14:14","167","143","14","14:34","20","0","0","0","0","0"
"AA","12/14/2023","0593","N829AW","DFW","05:31","05:23","167","158","-8","05:35","12","0","0","0","0","0"
"AA","12/14/2023","2863","N769US","DFW","14:00","14:00","167","144","0","14:21","21","0","0","0","0","0"
"AA","12/15/2023","0593","N766US","DFW","05:31","05:26","167","134","-5","05:37","11","0","0","0","0","0"
"AA","12/15/2023","2863","N8030F","DFW","14:00","14:03","167","144","3","14:13","10","0","0","0","0","0"
"AA","12/16/2023","0593","N829AW","DFW","05:31","05:30","167","152","-1","05:41","11","0","0","0","0","0"
"AA","12/16/2023","2863","N746UW","DFW","14:00","14:07","167","136","7","14:16","9","0","0","0","0","0"
"AA","12/17/2023","0593","N745VJ","DFW","05:31","05:44","167","132","13","05:54","10","0","0","0","0","0"
"AA","12/17/2023","2863","N815AW","DFW","14:00","14:01","167","138","1","14:12","11","0","0","0","0","0"
"AA","12/18/2023","2863","N835AW","DFW","14:00","15:54","167","157","114","16:19","25","6","0","0","0","98"
"AA","12/19/2023","0593","N815AW","DFW","05:31","05:28","167","151","-3","05:54","26","0","0","0","0","0"
"AA","12/19/2023","2863","N745VJ","DFW","14:00","14:05","167","152","5","14:30","25","0","0","0","0","0"
"AA","12/20/2023","2429","N715UW","DFW","05:38","05:52","164","176","14","06:22","30","0","0","12","14","0"

 SOURCE: Bureau of Transportation Statistics
