Detailed Statistics Departures  
Origin Airport: Lexington, KY: Blue Grass (LEX)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3848","N675AE","ORD","13:50","14:03","97","89","13","14:14","11","0","0","0","0","0"
"MQ","12/01/2021","3888","N285NN","DFW","06:00","05:56","165","136","-4","06:05","9","0","0","0","0","0"
"MQ","12/01/2021","3914","N233NN","DFW","20:04","20:07","162","143","3","20:15","8","0","0","0","0","0"
"MQ","12/01/2021","4043","N209NN","DFW","12:36","12:31","161","134","-5","12:39","8","0","0","0","0","0"
"MQ","12/01/2021","4444","N678AE","ORD","18:10","18:00","106","108","-10","18:32","32","0","0","0","0","0"
"MQ","12/01/2022","3848","N760MQ","ORD","12:57","12:55","88","90","-2","13:18","23","0","0","0","0","0"
"MQ","12/01/2022","3888","N237NN","DFW","07:00","06:56","166","188","-4","07:35","39","0","0","18","0","0"
"MQ","12/01/2022","3902","N228NN","CLT","19:40","19:36","84","73","-4","19:45","9","0","0","0","0","0"
"MQ","12/01/2022","3914","N204NN","DFW","16:22","16:25","160","158","3","16:40","15","0","0","0","0","0"
"MQ","12/01/2022","4140","N222NS","ORD","07:20","07:18","94","124","-2","07:45","27","0","0","28","0","0"
"MQ","12/01/2023","3914","N261NN","DFW","20:06","20:11","163","159","5","20:21","10","0","0","0","0","0"
"MQ","12/02/2021","3848","N935AE","ORD","13:50","13:44","97","95","-6","14:08","24","0","0","0","0","0"
"MQ","12/02/2021","3888","N279MQ","DFW","06:00","05:55","165","127","-5","06:07","12","0","0","0","0","0"
"MQ","12/02/2021","3914","N241NN","DFW","20:04","19:56","162","144","-8","20:10","14","0","0","0","0","0"
"MQ","12/02/2021","4043","N255NN","DFW","12:36","12:29","161","139","-7","12:41","12","0","0","0","0","0"
"MQ","12/02/2021","4140","N685AE","ORD","06:30","06:25","102","88","-5","06:41","16","0","0","0","0","0"
"MQ","12/02/2021","4444","N694AE","ORD","18:10","18:02","106","104","-8","18:27","25","0","0","0","0","0"
