Detailed Statistics Departures  
Origin Airport: Lexington, KY: Blue Grass (LEX)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4670","N8837B","ATL","15:59","15:54","87","82","-5","16:07","13","0","0","0","0","0"
"9E","12/01/2021","4831","N8918B","DTW","06:20","06:15","93","74","-5","06:24","9","0","0","0","0","0"
"9E","12/01/2021","5010","N8694A","DTW","10:17","10:12","80","78","-5","10:26","14","0","0","0","0","0"
"9E","12/01/2021","5267","N8928A","ATL","10:32","10:27","84","89","-5","10:44","17","0","0","0","0","0"
"9E","12/01/2022","4978","N153PQ","ATL","11:20","11:15","97","77","-5","11:27","12","0","0","0","0","0"
"9E","12/01/2022","5013","N200PQ","DTW","06:00","05:55","94","91","-5","06:19","24","0","0","0","0","0"
"9E","12/02/2021","4670","N8839E","ATL","15:59","15:54","87","82","-5","16:07","13","0","0","0","0","0"
"9E","12/02/2021","4831","N8903A","DTW","06:20","06:15","93","74","-5","06:24","9","0","0","0","0","0"
"9E","12/02/2021","4841","N840AY","DTW","15:46","15:36","80","87","-10","15:46","10","0","0","0","0","0"
"9E","12/02/2021","5010","N8933B","DTW","10:17","10:13","80","76","-4","10:24","11","0","0","0","0","0"
"9E","12/02/2021","5267","N840AY","ATL","10:32","10:24","84","73","-8","10:34","10","0","0","0","0","0"
"9E","12/02/2022","4978","N306PQ","ATL","11:20","11:15","97","77","-5","11:27","12","0","0","0","0","0"
"9E","12/02/2022","5013","N607LR","DTW","06:00","05:57","94","78","-3","06:11","14","0","0","0","0","0"
"9E","12/03/2021","4670","N832AY","ATL","15:59","16:16","87","86","17","16:35","19","16","0","0","0","0"
"9E","12/03/2021","4831","N8847A","DTW","06:20","06:15","93","97","-5","06:24","9","0","0","0","0","0"
"9E","12/03/2021","4841","N834AY","DTW","15:46","15:41","80","92","-5","16:00","19","0","0","0","0","0"
"9E","12/03/2021","5010","N8932C","DTW","10:17","10:13","80","75","-4","10:26","13","0","0","0","0","0"
"9E","12/03/2021","5267","N8980A","ATL","10:32","10:28","84","83","-4","10:42","14","0","0","0","0","0"
"9E","12/03/2022","4978","N336PQ","ATL","11:20","11:15","97","84","-5","11:33","18","0","0","0","0","0"
"9E","12/03/2022","5013","N166PQ","DTW","06:00","05:55","94","78","-5","06:11","16","0","0","0","0","0"
"9E","12/04/2021","4670","N801AY","ATL","15:59","15:55","87","83","-4","16:09","14","0","0","0","0","0"
"9E","12/04/2021","4831","N8847A","DTW","06:20","06:15","93","81","-5","06:38","23","0","0","0","0","0"
"9E","12/04/2021","4841","N8986B","DTW","15:46","15:41","80","76","-5","15:52","11","0","0","0","0","0"
"9E","12/04/2021","5010","N8969A","DTW","10:17","10:10","80","76","-7","10:23","13","0","0","0","0","0"
"9E","12/04/2021","5267","N840AY","ATL","10:32","10:27","84","75","-5","10:37","10","0","0","0","0","0"
"9E","12/04/2022","4978","N311PQ","ATL","11:20","11:20","97","92","0","11:33","13","0","0","0","0","0"
"9E","12/04/2022","5013","N296PQ","DTW","06:00","06:40","94","93","40","07:04","24","39","0","0","0","0"
"9E","12/05/2021","4670","N8837B","ATL","16:01","15:52","96","84","-9","16:13","21","0","0","0","0","0"
"9E","12/05/2021","4831","N8986B","DTW","06:21","06:19","88","89","-2","06:40","21","0","0","0","0","0"
"9E","12/05/2021","4841","N819AY","DTW","13:45","13:40","84","76","-5","13:57","17","0","0","0","0","0"
"9E","12/05/2021","4996","N307PQ","ATL","06:00","05:57","95","83","-3","06:10","13","0","0","0","0","0"
"9E","12/05/2021","5267","N8970D","ATL","10:32","10:27","94","73","-5","10:35","8","0","0","0","0","0"
"9E","12/05/2021","5523","N181PQ","ATL","17:20","17:16","99","83","-4","17:32","16","0","0","0","0","0"
"9E","12/05/2022","4978","N303PQ","ATL","11:20","11:18","97","86","-2","11:37","19","0","0","0","0","0"
"9E","12/05/2022","5013","N903XJ","DTW","06:00","05:56","94","82","-4","06:18","22","0","0","0","0","0"
"9E","12/05/2023","5069","N306PQ","DTW","18:02","17:59","89","78","-3","18:11","12","0","0","0","0","0"
"9E","12/06/2021","4670","N602XJ","ATL","16:01","15:57","96","87","-4","16:13","16","0","0","0","0","0"
"9E","12/06/2021","4831","N8986B","DTW","06:21","06:20","88","77","-1","06:35","15","0","0","0","0","0"
"9E","12/06/2021","4841","N8896A","DTW","15:46","15:41","80","92","-5","15:54","13","0","0","0","0","0"
"9E","12/06/2021","4996","N166PQ","ATL","06:00","05:59","95","77","-1","06:13","14","0","0","0","0","0"
"9E","12/06/2021","5267","N686BR","ATL","10:32","10:36","94","89","4","10:59","23","0","0","0","0","0"
"9E","12/06/2021","5377","N8928A","DTW","10:27","10:54","78","70","27","11:04","10","0","0","0","0","19"
"9E","12/06/2021","5523","N310PQ","ATL","17:20","17:41","99","91","21","17:59","18","0","0","0","0","0"
"9E","12/06/2022","4978","N910XJ","ATL","11:20","11:17","97","93","-3","11:39","22","0","0","0","0","0"
"9E","12/06/2022","5013","N933XJ","DTW","06:00","05:50","94","70","-10","06:04","14","0","0","0","0","0"
"9E","12/07/2021","4670","N800AY","ATL","16:01","18:20","96","93","139","18:43","23","136","0","0","0","0"
"9E","12/07/2021","4831","N8783E","DTW","06:21","06:17","88","92","-4","06:49","32","0","0","0","0","0"
"9E","12/07/2021","4996","N310PQ","ATL","06:00","05:56","95","102","-4","06:35","39","0","0","0","0","0"
"9E","12/07/2021","5267","N8839E","ATL","10:32","10:22","94","95","-10","10:43","21","0","0","0","0","0"
"9E","12/07/2021","5377","N8891A","DTW","10:27","10:26","78","74","-1","10:38","12","0","0","0","0","0"
"9E","12/07/2021","5523","N307PQ","ATL","17:20","17:17","99","83","-3","17:30","13","0","0","0","0","0"
"9E","12/07/2022","4978","N602LR","ATL","11:20","11:16","97","82","-4","11:39","23","0","0","0","0","0"
"9E","12/07/2022","5013","N296PQ","DTW","06:00","05:56","94","71","-4","06:09","13","0","0","0","0","0"
"9E","12/08/2021","4670","N602XJ","ATL","16:01","15:58","96","85","-3","16:15","17","0","0","0","0","0"
"9E","12/08/2021","4831","N8847A","DTW","06:21","06:22","88","93","1","06:52","30","0","0","0","0","0"
"9E","12/08/2021","4996","N329PQ","ATL","06:00","05:59","95","90","-1","06:12","13","0","0","0","0","0"
"9E","12/08/2021","5267","N8942A","ATL","10:32","10:27","94","96","-5","10:55","28","0","0","0","0","0"
"9E","12/08/2021","5377","N8877A","DTW","10:27","10:28","78","74","1","10:35","7","0","0","0","0","0"
"9E","12/08/2021","5523","N308PQ","ATL","17:20","17:17","99","78","-3","17:33","16","0","0","0","0","0"
"9E","12/08/2022","4978","N329PQ","ATL","11:20","11:13","97","89","-7","11:28","15","0","0","0","0","0"
"9E","12/08/2022","5013","N153PQ","DTW","06:00","07:04","94","82","64","07:20","16","52","0","0","0","0"
"9E","12/08/2023","5477","N601LR","ATL","11:00","10:55","95","91","-5","11:14","19","0","0","0","0","0"
"9E","12/09/2021","4670","N820AY","ATL","16:01","15:57","96","93","-4","16:30","33","0","0","0","0","0"
"9E","12/09/2021","4831","N820AY","DTW","06:21","06:16","88","95","-5","06:47","31","0","0","0","0","0"
"9E","12/09/2021","4841","N8918B","DTW","15:46","15:42","80","81","-4","15:49","7","0","0","0","0","0"
"9E","12/09/2021","4996","N932XJ","ATL","06:00","06:01","95","104","1","06:37","36","0","0","0","0","0"
"9E","12/09/2021","5267","N8976E","ATL","10:32","10:24","94","80","-8","10:39","15","0","0","0","0","0"
"9E","12/09/2021","5377","N8942A","DTW","10:27","10:17","78","76","-10","10:35","18","0","0","0","0","0"
"9E","12/09/2021","5523","N330PQ","ATL","17:20","17:14","99","76","-6","17:25","11","0","0","0","0","0"
"9E","12/09/2022","4978","N272PQ","ATL","11:20","11:17","97","82","-3","11:27","10","0","0","0","0","0"
"9E","12/09/2022","5013","N349PQ","DTW","06:00","05:55","94","80","-5","06:12","17","0","0","0","0","0"
"9E","12/09/2023","5477","N309PQ","ATL","11:00","10:56","95","93","-4","11:12","16","0","0","0","0","0"
"9E","12/10/2021","4670","N8970D","ATL","16:01","15:54","96","90","-7","16:07","13","0","0","0","0","0"
"9E","12/10/2021","4831","N8933B","DTW","06:21","06:14","88","95","-7","06:33","19","0","0","0","0","0"
"9E","12/10/2021","4841","N8936A","DTW","15:40","15:35","80","84","-5","15:51","16","0","0","0","0","0"
"9E","12/10/2021","4996","N901XJ","ATL","06:00","06:00","95","86","0","06:16","16","0","0","0","0","0"
"9E","12/10/2021","5267","N836AY","ATL","10:32","10:28","94","95","-4","10:51","23","0","0","0","0","0"
"9E","12/10/2021","5377","N8970D","DTW","10:27","10:22","78","75","-5","10:33","11","0","0","0","0","0"
"9E","12/10/2021","5523","N182GJ","ATL","17:20","17:19","99","92","-1","17:40","21","0","0","0","0","0"
"9E","12/10/2022","4978","N136EV","ATL","11:20","11:15","97","102","-5","11:35","20","0","0","0","0","0"
"9E","12/10/2022","5013","N306PQ","DTW","06:00","05:49","94","80","-11","06:07","18","0","0","0","0","0"
"9E","12/10/2023","5477","N314PQ","ATL","11:00","10:55","95","92","-5","11:08","13","0","0","0","0","0"
"9E","12/11/2021","4670","N8877A","ATL","16:01","16:18","95","96","17","16:41","23","1","0","1","0","16"
"9E","12/11/2021","4831","N8968E","DTW","06:21","06:19","87","86","-2","06:44","25","0","0","0","0","0"
"9E","12/11/2021","4841","N8839E","DTW","15:46","16:38","79","69","52","16:47","9","7","0","0","0","35"
"9E","12/11/2021","4926","N935XJ","ATL","07:00","07:34","100","83","34","07:49","15","0","17","0","0","0"
"9E","12/11/2021","5377","N8965E","DTW","10:27","10:22","78","91","-5","10:33","11","0","0","0","0","0"
"9E","12/11/2022","4978","N299PQ","ATL","11:20","11:11","97","83","-9","11:26","15","0","0","0","0","0"
"9E","12/11/2022","5013","N326PQ","DTW","06:00","05:50","94","71","-10","06:01","11","0","0","0","0","0"
"9E","12/11/2023","5477","N923XJ","ATL","11:00","10:51","95","73","-9","11:03","12","0","0","0","0","0"
"9E","12/11/2023","5519","N930XJ","DTW","17:55","17:45","90","68","-10","17:54","9","0","0","0","0","0"
"9E","12/12/2021","4670","N8836A","ATL","16:01","15:56","96","76","-5","16:08","12","0","0","0","0","0"
"9E","12/12/2021","4831","N8969A","DTW","06:21","06:19","88","98","-2","06:47","28","0","0","0","0","0"
"9E","12/12/2021","4841","N8896A","DTW","13:45","13:37","84","88","-8","13:53","16","0","0","0","0","0"
"9E","12/12/2021","4996","N296PQ","ATL","06:00","05:59","95","80","-1","06:18","19","0","0","0","0","0"
"9E","12/12/2021","5267","N801AY","ATL","10:32","10:28","94","89","-4","10:42","14","0","0","0","0","0"
"9E","12/12/2021","5523","N306PQ","ATL","17:20","17:15","99","72","-5","17:24","9","0","0","0","0","0"
"9E","12/12/2022","4978","N582CA","ATL","11:20","11:15","97","86","-5","11:32","17","0","0","0","0","0"
"9E","12/12/2022","5013","N935XJ","DTW","06:00","05:55","94","75","-5","06:11","16","0","0","0","0","0"
"9E","12/12/2023","5477","N923XJ","ATL","11:00","13:10","95","88","130","13:28","18","0","0","0","0","123"
"9E","12/13/2021","4670","N8946A","ATL","16:01","15:56","96","88","-5","16:18","22","0","0","0","0","0"
"9E","12/13/2021","4831","N8969A","DTW","06:21","06:17","88","83","-4","06:32","15","0","0","0","0","0"
"9E","12/13/2021","4841","N8980A","DTW","15:46","15:40","80","82","-6","15:53","13","0","0","0","0","0"
"9E","12/13/2021","4996","N184GJ","ATL","06:00","06:00","95","73","0","06:10","10","0","0","0","0","0"
"9E","12/13/2021","5267","N8933B","ATL","10:32","10:27","94","78","-5","10:43","16","0","0","0","0","0"
"9E","12/13/2021","5377","N8970D","DTW","10:27","10:21","78","75","-6","10:33","12","0","0","0","0","0"
"9E","12/13/2021","5523","N181GJ","ATL","17:20","17:15","99","74","-5","17:25","10","0","0","0","0","0"
"9E","12/13/2022","4978","N349PQ","ATL","11:20","11:18","97","83","-2","11:35","17","0","0","0","0","0"
"9E","12/13/2022","5013","N918XJ","DTW","06:00","05:49","94","91","-11","06:18","29","0","0","0","0","0"
"9E","12/13/2023","5477","N135EV","ATL","11:00","11:23","95","84","23","11:38","15","0","0","0","0","0"
"9E","12/14/2021","4670","N8836A","ATL","16:01","15:56","96","92","-5","16:21","25","0","0","0","0","0"
"9E","12/14/2021","4831","N8896A","DTW","06:21","06:18","88","78","-3","06:35","17","0","0","0","0","0"
"9E","12/14/2021","4996","N695CA","ATL","06:00","05:58","95","70","-2","06:08","10","0","0","0","0","0"
"9E","12/14/2021","5267","N8847A","ATL","10:32","10:27","94","71","-5","10:36","9","0","0","0","0","0"
"9E","12/14/2021","5377","N840AY","DTW","10:27","10:17","78","74","-10","10:29","12","0","0","0","0","0"
"9E","12/14/2021","5523","N910XJ","ATL","17:20","17:20","99","78","0","17:37","17","0","0","0","0","0"
"9E","12/14/2022","4978","N147PQ","ATL","11:20","11:19","97","90","-1","11:36","17","0","0","0","0","0"
"9E","12/14/2022","5013","N294PQ","DTW","06:00","05:51","94","75","-9","06:07","16","0","0","0","0","0"
"9E","12/14/2023","5477","N601LR","ATL","11:00","10:51","95","92","-9","11:09","18","0","0","0","0","0"
"9E","12/15/2021","4670","N8847A","ATL","16:01","15:56","96","76","-5","16:07","11","0","0","0","0","0"
"9E","12/15/2021","4831","N924EV","DTW","06:21","06:17","88","77","-4","06:28","11","0","0","0","0","0"
"9E","12/15/2021","4996","N153PQ","ATL","06:00","05:53","95","77","-7","06:07","14","0","0","0","0","0"
"9E","12/15/2021","5267","N8896A","ATL","10:32","10:24","94","95","-8","10:49","25","0","0","0","0","0"
"9E","12/15/2021","5377","N832AY","DTW","10:27","10:17","78","103","-10","10:34","17","0","0","15","0","0"
"9E","12/15/2021","5523","N232PQ","ATL","17:20","17:18","99","84","-2","17:32","14","0","0","0","0","0"
"9E","12/15/2022","4978","N604LR","ATL","11:20","11:20","97","97","0","11:39","19","0","0","0","0","0"
"9E","12/15/2022","5013","N302PQ","DTW","06:00","05:51","94","77","-9","06:05","14","0","0","0","0","0"
"9E","12/15/2023","5477","N302PQ","ATL","11:00","10:55","95","76","-5","11:09","14","0","0","0","0","0"
"9E","12/16/2021","4670","N8968E","ATL","16:01","15:53","96","89","-8","16:14","21","0","0","0","0","0"
"9E","12/16/2021","4831","N924EV","DTW","06:21","06:18","88","87","-3","06:40","22","0","0","0","0","0"
"9E","12/16/2021","4841","N8836A","DTW","15:46","15:40","80","76","-6","15:50","10","0","0","0","0","0"
"9E","12/16/2021","4996","N306PQ","ATL","06:00","05:58","95","76","-2","06:07","9","0","0","0","0","0"
"9E","12/16/2021","5267","N8694A","ATL","10:32","11:36","94","79","64","11:45","9","49","0","0","0","0"
"9E","12/16/2021","5377","N8837B","DTW","10:27","10:23","78","85","-4","10:41","18","0","0","0","0","0"
"9E","12/16/2021","5523","N901XJ","ATL","17:20","17:15","99","85","-5","17:32","17","0","0","0","0","0"
"9E","12/16/2022","4978","N293PQ","ATL","11:20","11:16","97","84","-4","11:29","13","0","0","0","0","0"
"9E","12/16/2022","5013","N925XJ","DTW","06:00","05:55","94","78","-5","06:11","16","0","0","0","0","0"
"9E","12/16/2023","4959","N135EV","DTW","17:55","17:52","90","68","-3","18:02","10","0","0","0","0","0"
"9E","12/16/2023","5460","N302PQ","ATL","11:18","11:32","95","81","14","11:45","13","0","0","0","0","0"
"9E","12/17/2021","4670","N8986B","ATL","16:01","16:00","96","115","-1","16:40","40","0","0","18","0","0"
"9E","12/17/2021","4831","N8942A","DTW","06:21","06:16","88","87","-5","06:36","20","0","0","0","0","0"
"9E","12/17/2021","4841","N8896A","DTW","15:46","15:41","80","68","-5","15:53","12","0","0","0","0","0"
"9E","12/17/2021","4996","N301PQ","ATL","06:00","05:55","95","79","-5","06:08","13","0","0","0","0","0"
"9E","12/17/2021","5267","N8928A","ATL","10:32","10:32","94","79","0","10:47","15","0","0","0","0","0"
