Detailed Statistics Departures  
Origin Airport: Lihue, HI: Lihue Airport (LIH)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0816","N518AS","SEA","23:15","23:59","355","316","44","00:06","7","0","0","0","0","0"
"AS","12/01/2021","0832","N534AS","SEA","12:40","12:33","350","341","-7","12:50","17","0","0","0","0","0"
"AS","12/01/2021","0836","N559AS","PDX","14:20","14:45","336","325","25","15:00","15","0","0","0","0","0"
"AS","12/01/2022","0816","N532AS","SEA","23:30","23:20","340","356","-10","23:29","9","0","0","0","0","0"
"AS","12/01/2022","0832","N594AS","SEA","12:55","12:46","340","368","-9","13:06","20","0","0","19","0","0"
"AS","12/01/2022","0856","N535AS","SJC","14:35","14:29","302","333","-6","14:56","27","0","0","25","0","0"
"AS","12/01/2023","0810","N577AS","SEA","21:55","21:39","351","362","-16","22:10","31","0","0","0","0","0"
"AS","12/01/2023","0818","N564AS","SAN","23:20","23:40","339","333","20","23:59","19","0","0","0","0","0"
"AS","12/01/2023","0840","N508AS","SEA","14:04","14:06","351","336","2","14:24","18","0","0","0","0","0"
"AS","12/02/2021","0816","N565AS","SEA","23:15","23:13","355","324","-2","23:33","20","0","0","0","0","0"
"AS","12/02/2021","0832","N516AS","SEA","12:40","12:31","350","340","-9","12:50","19","0","0","0","0","0"
"AS","12/02/2021","0836","N533AS","PDX","14:20","14:40","336","330","20","15:00","20","0","0","0","0","0"
"AS","12/02/2022","0299","N531AS","SAN","14:35","14:39","331","336","4","14:54","15","0","0","0","0","0"
"AS","12/02/2022","0816","N594AS","SEA","23:30","23:32","340","337","2","23:44","12","0","0","0","0","0"
"AS","12/02/2022","0832","N538AS","SEA","12:55","12:40","340","338","-15","12:55","15","0","0","0","0","0"
"AS","12/02/2022","1224","N563AS","PDX","16:10","15:53","327","325","-17","16:12","19","0","0","0","0","0"
"AS","12/02/2023","0810","N593AS","SEA","21:55","21:45","351","336","-10","21:56","11","0","0","0","0","0"
"AS","12/02/2023","0818","N508AS","SAN","23:20","23:19","339","325","-1","23:31","12","0","0","0","0","0"
"AS","12/02/2023","0840","N577AS","SEA","14:04","13:50","351","324","-14","14:02","12","0","0","0","0","0"
"AS","12/02/2023","0844","N590AS","SJC","12:34","12:16","308","307","-18","12:33","17","0","0","0","0","0"
"AS","12/02/2023","0871","N566AS","PDX","16:10","15:55","332","312","-15","16:08","13","0","0","0","0","0"
"AS","12/03/2021","0816","N564AS","SEA","23:15","23:22","355","307","7","23:31","9","0","0","0","0","0"
"AS","12/03/2021","0832","N533AS","SEA","12:40","12:45","350","316","5","12:58","13","0","0","0","0","0"
"AS","12/03/2021","0836","N537AS","PDX","14:20","14:44","336","316","24","15:03","19","0","0","0","0","0"
"AS","12/03/2022","0816","N586AS","SEA","23:30","23:19","340","325","-11","23:27","8","0","0","0","0","0"
"AS","12/03/2022","0832","N508AS","SEA","12:55","13:00","340","344","5","13:18","18","0","0","0","0","0"
"AS","12/03/2022","0856","N594AS","SJC","14:35","14:28","302","296","-7","14:43","15","0","0","0","0","0"
