Detailed Statistics Departures  
Origin Airport: Little Rock, AR: Bill and Hillary Clinton Nat Adams Field (LIT)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","2860","337NV","SFB","20:23","20:38","118","117","15","20:51","13","0","0","0","0","0"
"G4","12/02/2021","2359","236NV","SFB","08:08","08:01","117","118","-7","08:13","12","0","0","0","0","0"
"G4","12/03/2021","1838","307NV","PIE","09:00","08:45","114","116","-15","08:58","13","0","0","0","0","0"
"G4","12/03/2023","2822","244NV","SFB","09:50","10:15","119","120","25","10:30","15","25","0","1","0","0"
"G4","12/04/2022","2960","216NV","SFB","20:23","20:38","118","109","15","20:52","14","0","0","0","0","0"
"G4","12/05/2021","2359","217NV","SFB","08:08","18:10","117","114","602","18:24","14","599","0","0","0","0"
"G4","12/06/2021","1838","321NV","PIE","09:00","08:47","114","120","-13","08:58","11","0","0","0","0","0"
"G4","12/07/2023","1331","240NV","SFB","09:12","09:10","121","114","-2","09:22","12","0","0","0","0","0"
"G4","12/08/2022","2960","309NV","SFB","20:30","20:28","116","111","-2","20:37","9","0","0","0","0","0"
"G4","12/09/2021","2359","236NV","SFB","08:08","08:03","117","108","-5","08:15","12","0","0","0","0","0"
"G4","12/10/2021","1838","321NV","PIE","09:00","08:47","114","105","-13","08:57","10","0","0","0","0","0"
"G4","12/10/2023","1338","321NV","SFB","09:12","10:08","121","140","56","10:34","26","0","0","75","0","0"
"G4","12/11/2022","2965","244NV","SFB","20:30","20:43","116","123","13","21:01","18","0","0","7","0","13"
"G4","12/12/2021","2359","236NV","SFB","08:08","08:07","117","119","-1","08:20","13","0","0","0","0","0"
"G4","12/13/2021","1838","314NV","PIE","09:00","08:41","114","113","-19","08:53","12","0","0","0","0","0"
"G4","12/14/2023","1331","275NV","SFB","09:27","09:26","121","111","-1","09:36","10","0","0","0","0","0"
"G4","12/16/2021","2429","218NV","SFB","13:59","14:17","117","120","18","14:29","12","16","0","3","0","2"
"G4","12/16/2022","2871","327NV","SFB","14:39","15:15","116","127","36","15:41","26","0","0","11","0","36"
"G4","12/17/2021","1993","245NV","PIE","20:24","21:19","114","118","55","21:33","14","0","0","4","0","55"
"G4","12/17/2023","1338","275NV","SFB","09:27","09:31","121","117","4","09:41","10","0","0","0","0","0"
"G4","12/19/2021","2429","333NV","SFB","13:48","14:00","117","118","12","14:16","16","0","0","0","0","0"
"G4","12/19/2022","1262","317NV","SFB","08:33","08:29","116","111","-4","08:40","11","0","0","0","0","0"
"G4","12/20/2021","2050","245NV","PIE","20:37","20:26","114","112","-11","20:34","8","0","0","0","0","0"
"G4","12/21/2023","1331","331NV","SFB","20:37","20:40","121","106","3","20:50","10","0","0","0","0","0"
"G4","12/22/2022","2965","","SFB","15:01","00:00","116","0","0","00:00","0","0","0","0","0","0"
"G4","12/23/2021","0696","285NV","SFB","13:18","14:34","116","109","76","14:45","11","23","0","0","0","46"
"G4","12/24/2021","1808","281NV","PIE","07:50","07:40","114","105","-10","07:52","12","0","0","0","0","0"
"G4","12/24/2023","2897","328NV","SFB","10:12","10:05","121","122","-7","10:16","11","0","0","0","0","0"
"G4","12/26/2021","2254","333NV","SFB","20:40","21:55","115","107","75","22:06","11","4","0","0","0","63"
"G4","12/26/2022","2864","244NV","SFB","08:23","08:51","116","118","28","09:02","11","0","0","30","0","0"
"G4","12/28/2021","1819","296NV","PIE","14:15","14:45","114","103","30","14:56","11","13","0","0","0","6"
"G4","12/28/2023","1293","328NV","SFB","12:57","13:28","121","123","31","13:44","16","30","0","2","0","1"
"G4","12/29/2022","2965","222NV","SFB","15:01","15:03","116","126","2","15:16","13","0","0","0","0","0"
"G4","12/30/2021","2497","224NV","SFB","14:56","15:24","114","109","28","15:37","13","19","0","0","0","4"
"G4","12/31/2021","1808","281NV","PIE","07:50","07:50","114","101","0","08:03","13","0","0","0","0","0"
"G4","12/31/2023","2897","313NV","SFB","08:22","08:25","121","114","3","08:37","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
