Detailed Statistics Departures  
Origin Airport: Little Rock, AR: Bill and Hillary Clinton Nat Adams Field (LIT)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1418","N820AW","DFW","12:28","12:22","92","70","-6","12:33","11","0","0","0","0","0"
"AA","12/01/2022","1603","N771XF","DFW","10:13","10:12","88","73","-1","10:24","12","0","0","0","0","0"
"AA","12/01/2022","2647","N122US","CLT","12:53","12:57","115","108","4","13:12","15","0","0","0","0","0"
"AA","12/01/2022","2876","N652AW","CLT","07:00","06:51","115","111","-9","07:12","21","0","0","0","0","0"
"AA","12/01/2022","2973","N662AW","DFW","18:27","20:46","88","71","139","21:01","15","0","0","0","0","122"
"AA","12/01/2023","2096","N127UW","CLT","11:07","11:07","112","103","0","11:18","11","0","0","0","0","0"
"AA","12/02/2021","1418","N802AW","DFW","12:28","12:19","92","77","-9","12:33","14","0","0","0","0","0"
"AA","12/02/2022","1603","N812AW","DFW","10:13","10:08","88","90","-5","10:24","16","0","0","0","0","0"
"AA","12/02/2022","2647","N601AW","CLT","12:53","13:28","115","99","35","13:42","14","2","0","0","0","17"
"AA","12/02/2022","2876","N108UW","CLT","07:00","07:03","115","121","3","07:24","21","0","0","0","0","0"
"AA","12/02/2022","2973","N803AW","DFW","18:27","18:28","88","92","1","18:52","24","0","0","0","0","0"
"AA","12/02/2023","2096","N764US","CLT","11:07","10:57","113","110","-10","11:09","12","0","0","0","0","0"
"AA","12/03/2021","1418","N751UW","DFW","12:28","12:28","92","77","0","12:40","12","0","0","0","0","0"
"AA","12/03/2022","1603","N930NN","DFW","10:13","10:08","88","75","-5","10:22","14","0","0","0","0","0"
"AA","12/03/2022","2876","N601AW","CLT","07:00","06:51","115","100","-9","07:04","13","0","0","0","0","0"
"AA","12/03/2023","2096","N128UW","CLT","11:07","11:02","112","105","-5","11:16","14","0","0","0","0","0"
"AA","12/04/2021","1418","N744P","DFW","12:28","12:20","92","87","-8","12:41","21","0","0","0","0","0"
