Detailed Statistics Departures  
Origin Airport: Little Rock, AR: Bill and Hillary Clinton Nat Adams Field (LIT)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2023","6164","N914FJ","IAH","07:05","07:11","105","112","6","07:53","42","0","0","0","0","0"
"YV","12/01/2023","6251","N933LR","IAH","09:28","09:21","100","95","-7","09:39","18","0","0","0","0","0"
"YV","12/02/2023","3226","N87353","IAH","11:56","11:50","104","87","-6","12:00","10","0","0","0","0","0"
"YV","12/02/2023","6164","N933LR","IAH","07:05","08:47","105","99","102","09:05","18","96","0","0","0","0"
"YV","12/02/2023","6251","N920FJ","IAH","09:28","09:39","100","99","11","09:52","13","0","0","0","0","0"
"YV","12/03/2023","6141","N329MS","IAH","11:56","11:55","101","95","-1","12:07","12","0","0","0","0","0"
"YV","12/03/2023","6251","N950LR","IAH","09:28","09:26","100","89","-2","09:38","12","0","0","0","0","0"
"YV","12/04/2023","6164","N249LR","IAH","07:05","06:58","105","85","-7","07:11","13","0","0","0","0","0"
"YV","12/04/2023","6251","N946LR","IAH","09:28","09:26","100","92","-2","09:42","16","0","0","0","0","0"
"YV","12/05/2023","6141","N951LR","IAH","11:56","11:48","101","83","-8","12:01","13","0","0","0","0","0"
"YV","12/05/2023","6164","N245LR","IAH","07:05","06:58","105","81","-7","07:15","17","0","0","0","0","0"
"YV","12/05/2023","6251","N920FJ","IAH","09:28","09:27","100","84","-1","09:39","12","0","0","0","0","0"
"YV","12/06/2023","6141","N950LR","IAH","11:56","11:51","101","86","-5","12:02","11","0","0","0","0","0"
"YV","12/06/2023","6164","N946LR","IAH","07:05","07:00","105","94","-5","07:13","13","0","0","0","0","0"
"YV","12/06/2023","6251","N930LR","IAH","09:28","09:25","100","86","-3","09:38","13","0","0","0","0","0"
"YV","12/07/2023","6164","N922FJ","IAH","07:05","06:55","105","93","-10","07:12","17","0","0","0","0","0"
"YV","12/07/2023","6251","N943LR","IAH","09:28","09:21","100","84","-7","09:31","10","0","0","0","0","0"
"YV","12/08/2023","6164","N946LR","IAH","07:05","06:57","105","87","-8","07:10","13","0","0","0","0","0"
"YV","12/08/2023","6251","N948LR","IAH","09:28","09:18","100","79","-10","09:29","11","0","0","0","0","0"
"YV","12/09/2023","6141","N244LR","IAH","11:56","11:55","101","102","-1","12:26","31","0","0","0","0","0"
"YV","12/09/2023","6164","N245LR","IAH","07:05","07:04","105","89","-1","07:17","13","0","0","0","0","0"
"YV","12/09/2023","6251","N922FJ","IAH","09:28","09:25","100","97","-3","09:36","11","0","0","0","0","0"
"YV","12/10/2023","6141","N920FJ","IAH","11:56","11:58","101","91","2","12:14","16","0","0","0","0","0"
"YV","12/10/2023","6251","N944LR","IAH","09:28","09:25","100","92","-3","09:39","14","0","0","0","0","0"
"YV","12/11/2023","6164","N947LR","IAH","07:05","09:20","105","82","135","09:34","14","112","0","0","0","0"
"YV","12/11/2023","6251","N245LR","IAH","09:28","09:28","100","87","0","09:43","15","0","0","0","0","0"
"YV","12/12/2023","6141","N947LR","IAH","11:56","11:54","101","95","-2","12:04","10","0","0","0","0","0"
"YV","12/12/2023","6164","N943LR","IAH","07:05","07:16","105","105","11","07:41","25","0","0","0","0","0"
"YV","12/12/2023","6251","N329MS","IAH","09:28","09:25","100","125","-3","10:16","51","0","0","22","0","0"
"YV","12/13/2023","6141","N246LR","IAH","11:56","11:47","101","89","-9","11:59","12","0","0","0","0","0"
"YV","12/13/2023","6164","N244LR","IAH","07:05","08:54","105","85","109","09:07","13","89","0","0","0","0"
"YV","12/13/2023","6251","N947LR","IAH","09:28","09:29","100","97","1","09:48","19","0","0","0","0","0"
"YV","12/14/2023","6164","N246LR","IAH","07:05","07:04","105","109","-1","07:35","31","0","0","0","0","0"
"YV","12/14/2023","6251","N249LR","IAH","09:28","09:20","100","88","-8","09:34","14","0","0","0","0","0"
"YV","12/15/2022","5746","N905J","DFW","12:25","12:20","89","77","-5","12:31","11","0","0","0","0","0"
"YV","12/15/2023","6164","N943LR","IAH","07:05","06:57","105","126","-8","07:34","37","0","0","0","0","0"
"YV","12/15/2023","6251","N933LR","IAH","09:28","09:20","100","107","-8","09:35","15","0","0","0","0","0"
"YV","12/16/2022","5746","N957LR","DFW","12:25","12:22","89","85","-3","12:37","15","0","0","0","0","0"
"YV","12/16/2022","6103","N87306","IAH","09:19","09:12","102","101","-7","09:23","11","0","0","0","0","0"
"YV","12/16/2023","6141","N245LR","IAH","11:56","12:22","101","82","26","12:36","14","0","0","0","0","0"
"YV","12/16/2023","6164","N245LR","IAH","07:05","07:03","105","106","-2","07:37","34","0","0","0","0","0"
"YV","12/16/2023","6251","N241LR","IAH","09:28","09:52","100","85","24","10:04","12","0","0","0","0","0"
"YV","12/17/2022","5746","N326MS","DFW","12:25","12:16","89","83","-9","12:31","15","0","0","0","0","0"
"YV","12/17/2022","6103","N87306","IAH","09:19","09:20","102","113","1","09:53","33","0","0","0","0","0"
"YV","12/17/2023","6251","N951LR","IAH","09:28","09:32","100","73","4","09:43","11","0","0","0","0","0"
"YV","12/18/2022","5746","N247LR","DFW","12:25","12:26","89","72","1","12:37","11","0","0","0","0","0"
"YV","12/18/2022","6103","N88326","IAH","09:19","09:26","102","92","7","09:37","11","0","0","0","0","0"
"YV","12/18/2023","6164","N951LR","IAH","07:05","07:01","105","82","-4","07:13","12","0","0","0","0","0"
"YV","12/18/2023","6251","N919FJ","IAH","09:28","09:26","100","75","-2","09:37","11","0","0","0","0","0"
"YV","12/19/2022","5746","N249LR","DFW","12:25","12:16","89","83","-9","12:28","12","0","0","0","0","0"
"YV","12/19/2022","6103","N86350","IAH","09:19","09:17","102","115","-2","09:27","10","0","0","0","0","0"
"YV","12/19/2023","6141","N241LR","IAH","11:56","11:57","101","91","1","12:13","16","0","0","0","0","0"
"YV","12/19/2023","6164","N934FJ","IAH","07:05","07:24","105","111","19","07:42","18","19","0","6","0","0"
"YV","12/19/2023","6251","N946LR","IAH","09:28","09:23","100","93","-5","09:37","14","0","0","0","0","0"
"YV","12/20/2022","5746","N927LR","DFW","12:25","12:24","89","75","-1","12:37","13","0","0","0","0","0"
"YV","12/20/2022","6103","N87360","IAH","09:19","09:15","102","89","-4","09:34","19","0","0","0","0","0"
"YV","12/20/2023","6141","N946LR","IAH","11:56","11:48","101","88","-8","11:58","10","0","0","0","0","0"
"YV","12/20/2023","6164","N947LR","IAH","07:05","07:00","105","93","-5","07:15","15","0","0","0","0","0"
"YV","12/20/2023","6251","N933LR","IAH","09:28","09:25","100","95","-3","09:46","21","0","0","0","0","0"
"YV","12/21/2022","5746","N326MS","DFW","12:25","12:24","89","81","-1","12:34","10","0","0","0","0","0"
"YV","12/21/2022","6103","N86324","IAH","09:19","09:17","102","98","-2","09:40","23","0","0","0","0","0"
"YV","12/21/2023","6137","N245LR","IAH","09:30","09:25","100","96","-5","09:40","15","0","0","0","0","0"
"YV","12/22/2022","5746","N933LR","DFW","12:25","15:34","89","126","189","16:25","51","0","88","37","0","101"
"YV","12/22/2022","6103","N86311","IAH","09:19","09:13","102","92","-6","09:25","12","0","0","0","0","0"
"YV","12/23/2022","5746","N957LR","DFW","12:25","12:25","89","78","0","12:40","15","0","0","0","0","0"
"YV","12/23/2022","6103","N86311","IAH","09:19","12:04","102","82","165","12:13","9","0","0","145","0","0"
"YV","12/24/2022","6103","N85352","IAH","09:19","09:16","102","76","-3","09:28","12","0","0","0","0","0"
"YV","12/25/2022","5746","N904FJ","DFW","12:25","12:25","89","72","0","12:39","14","0","0","0","0","0"
"YV","12/25/2022","6103","N88332","IAH","09:19","09:14","102","93","-5","09:39","25","0","0","0","0","0"
"YV","12/26/2022","5746","N246LR","DFW","12:25","12:33","89","82","8","12:49","16","0","0","0","0","0"
"YV","12/26/2022","6103","N89308","IAH","09:19","09:19","102","85","0","09:32","13","0","0","0","0","0"
"YV","12/27/2022","5746","N938LR","DFW","12:25","12:25","89","73","0","12:35","10","0","0","0","0","0"
"YV","12/27/2022","6103","N86324","IAH","09:19","09:14","102","105","-5","09:36","22","0","0","0","0","0"
