Detailed Statistics Departures  
Origin Airport: Alamosa, CO: San Luis Valley Regional/Bergman Field (ALS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5037","N933EV","DEN","05:30","05:24","93","50","-6","05:28","4","0","0","0","0","0"
"OO","12/01/2021","5178","N912SW","DEN","10:00","09:38","93","71","-22","10:02","24","0","0","0","0","0"
"OO","12/02/2021","5037","N945SW","DEN","05:30","05:21","93","48","-9","05:25","4","0","0","0","0","0"
"OO","12/02/2021","5178","N905EV","DEN","10:00","09:52","93","59","-8","10:04","12","0","0","0","0","0"
"OO","12/03/2021","5037","N431SW","DEN","05:30","05:20","93","47","-10","05:25","5","0","0","0","0","0"
"OO","12/03/2021","5178","N889AS","DEN","10:00","09:51","93","93","-9","10:01","10","0","0","0","0","0"
"OO","12/04/2021","5037","N472CA","DEN","05:30","05:22","93","61","-8","05:40","18","0","0","0","0","0"
"OO","12/05/2021","5037","N437SW","DEN","05:30","05:20","93","64","-10","05:38","18","0","0","0","0","0"
"OO","12/05/2021","5065","N973SW","DEN","10:00","09:50","93","56","-10","10:01","11","0","0","0","0","0"
"OO","12/06/2021","5037","N964SW","DEN","05:30","05:26","93","76","-4","05:54","28","0","0","0","0","0"
"OO","12/06/2021","5065","N930EV","DEN","10:00","09:49","93","59","-11","09:59","10","0","0","0","0","0"
"OO","12/07/2021","5037","N652BR","DEN","05:30","05:19","93","47","-11","05:23","4","0","0","0","0","0"
"OO","12/08/2021","5037","N978SW","DEN","05:30","05:21","93","54","-9","05:36","15","0","0","0","0","0"
"OO","12/08/2021","5065","N920SW","DEN","10:00","09:50","93","60","-10","09:59","9","0","0","0","0","0"
"OO","12/09/2021","5037","N925EV","DEN","05:30","05:21","93","54","-9","05:36","15","0","0","0","0","0"
