Detailed Statistics Departures  
Origin Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0764","324NV","EUG","12:48","12:42","131","123","-6","12:54","12","0","0","0","0","0"
"G4","12/01/2022","0778","308NV","MEM","14:59","14:53","219","189","-6","15:07","14","0","0","0","0","0"
"G4","12/01/2022","0803","308NV","TUL","06:30","06:25","173","164","-5","06:36","11","0","0","0","0","0"
"G4","12/01/2023","0766","307NV","TUL","07:00","07:11","180","175","11","07:29","18","0","0","0","0","0"
"G4","12/01/2023","1986","310NV","CVG","11:41","12:13","252","231","32","12:31","18","0","0","0","0","0"
"G4","12/02/2021","1428","317NV","MEM","07:00","06:56","219","224","-4","07:10","14","0","0","0","0","0"
"G4","12/02/2021","1445","317NV","TUL","16:23","16:28","176","185","5","16:42","14","0","0","0","0","0"
"G4","12/02/2022","0293","338NV","BLI","11:32","11:21","169","156","-11","11:39","18","0","0","0","0","0"
"G4","12/02/2022","0787","324NV","OMA","14:45","14:41","188","171","-4","15:07","26","0","0","0","0","0"
"G4","12/02/2022","1985","308NV","CVG","13:09","13:05","247","238","-4","13:35","30","0","0","0","0","0"
"G4","12/02/2023","0761","307NV","SGF","09:00","09:16","196","195","16","09:41","25","15","0","0","0","0"
"G4","12/03/2021","0531","316NV","BLI","18:12","18:03","173","161","-9","18:15","12","0","0","0","0","0"
"G4","12/03/2021","0713","206NV","CVG","16:15","16:06","246","238","-9","16:19","13","0","0","0","0","0"
"G4","12/03/2021","0832","284NV","DSM","09:23","09:11","197","201","-12","09:25","14","0","0","0","0","0"
"G4","12/03/2021","1085","282NV","IND","14:40","14:31","238","233","-9","14:39","8","0","0","0","0","0"
"G4","12/03/2021","1418","317NV","EUG","08:30","08:24","135","110","-6","08:33","9","0","0","0","0","0"
"G4","12/03/2021","1436","316NV","OMA","08:00","07:58","183","185","-2","08:12","14","0","0","0","0","0"
"G4","12/03/2022","0788","308NV","SGF","10:00","09:50","186","174","-10","10:07","17","0","0","0","0","0"
"G4","12/03/2023","0278","333NV","BLI","18:59","18:54","168","171","-5","19:08","14","0","0","0","0","0"
"G4","12/03/2023","0769","307NV","EUG","08:00","07:52","135","141","-8","08:11","19","0","0","0","0","0"
"G4","12/03/2023","0782","320NV","MEM","07:00","06:57","220","213","-3","07:12","15","0","0","0","0","0"
"G4","12/03/2023","0787","307NV","XNA","14:48","14:59","194","188","11","15:18","19","0","0","0","0","0"
"G4","12/03/2023","3245","253NV","PVU","14:18","14:23","108","102","5","14:35","12","0","0","0","0","0"
"G4","12/04/2021","1428","335NV","MEM","07:30","07:26","219","222","-4","07:39","13","0","0","0","0","0"
"G4","12/04/2021","1500","317NV","SGF","15:29","15:27","192","199","-2","15:38","11","0","0","0","0","0"
"G4","12/04/2022","0764","308NV","EUG","12:48","12:43","131","126","-5","12:55","12","0","0","0","0","0"
"G4","12/04/2022","0776","324NV","TUL","06:30","06:30","173","161","0","06:43","13","0","0","0","0","0"
"G4","12/04/2022","0779","324NV","MEM","14:59","15:36","219","207","37","15:51","15","0","0","0","0","25"
"G4","12/04/2023","0766","320NV","TUL","07:00","06:50","180","187","-10","07:04","14","0","0","0","0","0"
"G4","12/04/2023","1986","326NV","CVG","11:41","11:43","252","251","2","12:15","32","0","0","0","0","0"
"G4","12/05/2021","1421","317NV","MEM","07:00","06:57","219","252","-3","07:07","10","0","0","30","0","0"
"G4","12/05/2021","1445","335NV","TUL","16:23","16:15","176","189","-8","16:29","14","0","0","0","0","0"
"G4","12/05/2022","0293","338NV","BLI","11:32","11:33","169","146","1","11:42","9","0","0","0","0","0"
"G4","12/05/2022","0787","308NV","OMA","14:45","14:37","188","163","-8","14:52","15","0","0","0","0","0"
"G4","12/05/2022","1985","324NV","CVG","13:09","13:04","247","241","-5","13:16","12","0","0","0","0","0"
"G4","12/06/2021","0531","332NV","BLI","18:12","18:05","173","169","-7","18:22","17","0","0","0","0","0"
"G4","12/06/2021","0713","206NV","CVG","16:15","17:28","246","263","73","17:56","28","26","0","17","0","47"
"G4","12/06/2021","0832","284NV","DSM","09:23","09:34","197","190","11","09:44","10","0","0","0","0","0"
"G4","12/06/2021","1085","242NV","IND","14:40","17:30","238","220","170","17:46","16","135","0","0","0","17"
"G4","12/06/2021","1418","335NV","EUG","08:30","08:16","135","132","-14","08:28","12","0","0","0","0","0"
"G4","12/06/2021","1442","317NV","OMA","07:55","07:51","183","189","-4","08:02","11","0","0","0","0","0"
"G4","12/07/2023","0301","333NV","BLI","11:07","10:57","176","167","-10","11:17","20","0","0","0","0","0"
"G4","12/07/2023","0769","320NV","EUG","07:30","07:23","136","127","-7","07:35","12","0","0","0","0","0"
"G4","12/07/2023","0792","307NV","MEM","13:31","13:24","222","208","-7","13:40","16","0","0","0","0","0"
"G4","12/07/2023","0802","320NV","XNA","14:08","14:00","194","179","-8","14:17","17","0","0","0","0","0"
"G4","12/07/2023","1587","253NV","PVU","16:11","16:22","109","107","11","16:45","23","0","0","0","0","0"
"G4","12/08/2022","0764","330NV","EUG","12:58","13:01","133","122","3","13:14","13","0","0","0","0","0"
"G4","12/08/2022","0776","308NV","TUL","06:30","06:32","184","155","2","06:43","11","0","0","0","0","0"
"G4","12/08/2022","0792","308NV","MEM","15:08","14:58","217","201","-10","15:07","9","0","0","0","0","0"
"G4","12/08/2023","0766","320NV","TUL","07:00","06:54","184","169","-6","07:10","16","0","0","0","0","0"
"G4","12/08/2023","1986","291NV","CVG","13:02","13:00","248","260","-2","13:29","29","0","0","0","0","0"
"G4","12/09/2021","1428","317NV","MEM","07:00","07:09","219","198","9","07:17","8","0","0","0","0","0"
"G4","12/09/2021","1445","317NV","TUL","16:23","16:16","176","160","-7","16:26","10","0","0","0","0","0"
"G4","12/09/2022","0293","315NV","BLI","11:34","11:33","175","159","-1","11:45","12","0","0","0","0","0"
"G4","12/09/2022","0784","308NV","OMA","15:08","14:55","189","166","-13","15:04","9","0","0","0","0","0"
"G4","12/09/2022","2011","330NV","CVG","07:00","06:57","243","251","-3","07:27","30","0","0","0","0","0"
"G4","12/09/2023","0761","320NV","SGF","09:00","08:54","195","198","-6","09:16","22","0","0","0","0","0"
"G4","12/10/2021","0531","332NV","BLI","09:30","09:18","173","182","-12","09:30","12","0","0","0","0","0"
"G4","12/10/2021","0713","206NV","CVG","16:15","16:40","246","238","25","17:01","21","9","0","0","0","8"
"G4","12/10/2021","0832","284NV","DSM","09:00","08:59","197","173","-1","09:09","10","0","0","0","0","0"
"G4","12/10/2021","1085","242NV","IND","14:40","15:10","238","222","30","15:22","12","0","0","0","0","0"
"G4","12/10/2021","1418","317NV","EUG","08:30","08:22","135","137","-8","08:35","13","0","0","0","0","0"
"G4","12/10/2021","1436","335NV","OMA","07:45","07:40","183","180","-5","07:55","15","0","0","0","0","0"
"G4","12/10/2022","0794","308NV","SGF","10:00","09:54","194","207","-6","10:33","39","0","0","0","0","0"
"G4","12/10/2023","0769","320NV","EUG","07:30","07:22","136","125","-8","07:32","10","0","0","0","0","0"
"G4","12/10/2023","0782","307NV","MEM","13:31","13:47","222","214","16","13:59","12","0","0","0","0","0"
"G4","12/10/2023","0802","320NV","XNA","14:08","14:19","194","214","11","14:32","13","11","0","20","0","0"
"G4","12/10/2023","1895","327NV","BLI","11:07","11:02","176","168","-5","11:19","17","0","0","0","0","0"
"G4","12/10/2023","3245","298NV","PVU","16:11","16:09","109","108","-2","16:35","26","0","0","0","0","0"
"G4","12/11/2021","1428","335NV","MEM","07:30","07:26","219","201","-4","07:36","10","0","0","0","0","0"
"G4","12/11/2021","1500","317NV","SGF","15:29","15:29","192","188","0","15:39","10","0","0","0","0","0"
"G4","12/11/2022","0764","330NV","EUG","12:58","16:25","133","123","207","16:38","13","197","0","0","0","0"
"G4","12/11/2022","0776","308NV","TUL","06:30","06:29","184","167","-1","06:40","11","0","0","0","0","0"
"G4","12/11/2022","0778","308NV","MEM","15:08","15:07","217","209","-1","15:17","10","0","0","0","0","0"
"G4","12/11/2023","0766","307NV","TUL","07:00","07:10","184","162","10","07:22","12","0","0","0","0","0"
"G4","12/11/2023","1986","245NV","CVG","13:02","12:55","248","241","-7","13:13","18","0","0","0","0","0"
"G4","12/12/2021","1421","317NV","MEM","07:00","06:53","219","211","-7","07:03","10","0","0","0","0","0"
"G4","12/12/2021","1445","317NV","TUL","16:23","16:13","176","172","-10","16:25","12","0","0","0","0","0"
"G4","12/12/2022","0293","315NV","BLI","11:34","11:24","175","163","-10","11:33","9","0","0","0","0","0"
"G4","12/12/2022","0787","330NV","OMA","15:08","14:56","189","171","-12","15:06","10","0","0","0","0","0"
"G4","12/12/2022","2011","308NV","CVG","07:00","06:53","243","238","-7","07:09","16","0","0","0","0","0"
"G4","12/13/2021","0531","332NV","BLI","09:26","09:57","173","143","31","10:09","12","0","0","0","0","0"
"G4","12/13/2021","0713","206NV","CVG","16:15","16:31","246","249","16","16:59","28","7","0","3","0","9"
"G4","12/13/2021","0832","307NV","DSM","08:55","10:41","197","168","106","10:50","9","0","0","0","0","77"
"G4","12/13/2021","1085","242NV","IND","14:40","15:04","238","229","24","15:19","15","0","0","0","0","15"
"G4","12/13/2021","1418","317NV","EUG","08:25","08:21","135","120","-4","08:38","17","0","0","0","0","0"
"G4","12/13/2021","1442","335NV","OMA","07:35","07:34","183","168","-1","07:46","12","0","0","0","0","0"
"G4","12/14/2023","0301","333NV","BLI","11:07","11:06","176","157","-1","11:21","15","0","0","0","0","0"
"G4","12/14/2023","0769","320NV","EUG","07:30","07:23","136","120","-7","07:35","12","0","0","0","0","0"
"G4","12/14/2023","0792","307NV","MEM","13:31","13:26","222","225","-5","13:49","23","0","0","0","0","0"
"G4","12/14/2023","0802","320NV","XNA","14:08","14:04","194","183","-4","14:19","15","0","0","0","0","0"
"G4","12/14/2023","1587","237NV","PVU","16:11","16:03","109","94","-8","16:14","11","0","0","0","0","0"
"G4","12/15/2021","1434","317NV","OMA","09:00","08:59","183","163","-1","09:10","11","0","0","0","0","0"
"G4","12/15/2021","1500","335NV","SHV","09:30","09:30","194","179","0","09:39","9","0","0","0","0","0"
"G4","12/15/2022","0773","308NV","MEM","08:00","08:52","217","248","52","09:56","64","52","0","31","0","0"
"G4","12/15/2022","0794","330NV","SGF","06:30","06:24","194","174","-6","06:34","10","0","0","0","0","0"
"G4","12/15/2022","0803","330NV","TUL","15:51","15:47","184","162","-4","16:01","14","0","0","0","0","0"
"G4","12/15/2023","0766","307NV","TUL","07:00","07:00","184","184","0","07:21","21","0","0","0","0","0"
"G4","12/15/2023","1986","245NV","CVG","13:02","12:59","248","262","-3","13:29","30","0","0","0","0","0"
"G4","12/16/2021","1004","271NV","GRR","08:48","09:32","245","220","44","09:48","16","8","0","0","0","11"
"G4","12/16/2021","1423","317NV","MEM","23:40","23:48","220","236","8","00:35","47","8","0","16","0","0"
"G4","12/16/2021","1427","335NV","TUL","06:00","06:00","171","172","0","06:21","21","0","0","0","0","0"
"G4","12/16/2021","1500","335NV","MEM","14:10","14:09","218","226","-1","14:21","12","0","0","0","0","0"
"G4","12/16/2022","0764","330NV","EUG","12:58","12:51","133","122","-7","13:05","14","0","0","0","0","0"
"G4","12/16/2022","0773","308NV","MEM","10:10","10:03","217","209","-7","10:16","13","0","0","0","0","0"
"G4","12/16/2023","0761","320NV","SGF","09:00","08:57","195","196","-3","09:17","20","0","0","0","0","0"
"G4","12/17/2021","0517","324NV","BLI","10:20","10:18","170","173","-2","10:34","16","0","0","0","0","0"
"G4","12/17/2021","0704","206NV","CVG","09:50","10:14","245","240","24","10:35","21","0","0","0","0","19"
"G4","12/17/2021","0833","237NV","DSM","08:50","09:48","197","200","58","10:01","13","0","0","14","0","47"
"G4","12/17/2021","1084","217NV","IND","08:10","08:27","238","221","17","08:45","18","0","0","0","0","0"
"G4","12/17/2021","1415","317NV","EUG","11:52","16:34","135","118","282","16:43","9","265","0","0","0","0"
"G4","12/17/2021","1435","335NV","SGF","09:20","09:17","190","198","-3","09:41","24","0","0","0","0","0"
"G4","12/17/2022","0293","315NV","BLI","12:04","16:06","175","163","242","16:18","12","18","0","0","0","212"
"G4","12/17/2022","0396","293NV","CVG","09:22","09:18","243","252","-4","09:38","20","0","0","0","0","0"
"G4","12/17/2022","0764","308NV","EUG","17:04","16:58","133","118","-6","17:08","10","0","0","0","0","0"
"G4","12/17/2022","0773","330NV","MEM","11:00","11:01","217","219","1","11:28","27","0","0","0","0","0"
"G4","12/17/2022","0784","308NV","OMA","08:00","07:57","189","183","-3","08:08","11","0","0","0","0","0"
"G4","12/17/2023","0769","320NV","EUG","07:30","08:24","136","121","54","08:36","12","0","39","0","0","0"
"G4","12/17/2023","0782","307NV","MEM","13:31","13:37","222","214","6","13:54","17","0","0","0","0","0"
"G4","12/17/2023","0802","320NV","XNA","14:08","14:13","194","192","5","14:31","18","0","0","0","0","0"
"G4","12/17/2023","1895","329NV","BLI","11:07","11:25","176","151","18","11:42","17","0","0","0","0","0"
"G4","12/17/2023","3245","298NV","PVU","16:11","16:08","109","98","-3","16:25","17","0","0","0","0","0"
"G4","12/18/2021","1418","317NV","MEM","06:00","07:12","218","215","72","07:21","9","69","0","0","0","0"
"G4","12/18/2021","1430","317NV","SHV","15:22","16:19","194","191","57","16:29","10","10","0","0","0","44"
"G4","12/18/2021","1442","335NV","EUG","16:01","17:24","135","124","83","17:34","10","17","0","0","0","55"
"G4","12/18/2021","1500","335NV","OMA","08:00","09:08","183","187","68","09:21","13","68","0","4","0","0"
"G4","12/18/2022","0788","330NV","SGF","06:30","07:58","194","186","88","08:09","11","80","0","0","0","0"
"G4","12/18/2022","0793","308NV","MEM","08:00","09:47","217","215","107","10:07","20","105","0","0","0","0"
"G4","12/18/2022","0803","330NV","TUL","15:51","16:46","184","171","55","16:59","13","0","0","0","0","42"
"G4","12/18/2022","2011","190NV","CVG","12:07","12:17","243","243","10","12:42","25","0","0","0","0","0"
"G4","12/18/2023","0766","307NV","TUL","07:00","06:59","184","183","-1","07:17","18","0","0","0","0","0"
"G4","12/18/2023","1986","245NV","CVG","13:02","12:55","248","238","-7","13:11","16","0","0","0","0","0"
"G4","12/19/2021","1004","272NV","GRR","08:48","08:43","245","236","-5","08:55","12","0","0","0","0","0"
"G4","12/19/2021","1415","317NV","EUG","07:00","06:52","135","120","-8","07:06","14","0","0","0","0","0"
"G4","12/19/2021","1423","335NV","MEM","23:40","00:01","220","215","21","00:25","24","16","0","0","0","0"
"G4","12/19/2021","1427","335NV","TUL","06:00","06:00","171","183","0","06:20","20","0","0","0","0","0"
"G4","12/19/2021","1500","317NV","MEM","12:50","13:26","218","211","36","13:37","11","0","0","0","0","29"
"G4","12/19/2022","0764","308NV","EUG","13:38","13:38","133","132","0","13:53","15","0","0","0","0","0"
"G4","12/19/2022","0773","330NV","MEM","10:10","10:04","217","207","-6","10:14","10","0","0","0","0","0"
"G4","12/20/2021","0517","324NV","BLI","09:55","09:55","170","155","0","10:10","15","0","0","0","0","0"
"G4","12/20/2021","0758","206NV","CVG","15:42","15:42","245","235","0","15:58","16","0","0","0","0","0"
"G4","12/20/2021","0833","237NV","DSM","08:40","09:09","197","187","29","09:24","15","14","0","0","0","5"
"G4","12/20/2021","1084","217NV","IND","08:10","08:21","238","242","11","08:44","23","0","0","4","0","11"
"G4","12/20/2021","1435","335NV","SGF","15:00","14:54","190","184","-6","15:10","16","0","0","0","0","0"
"G4","12/20/2021","1500","317NV","EUG","12:16","12:10","135","120","-6","12:23","13","0","0","0","0","0"
"G4","12/20/2022","0293","330NV","BLI","11:04","11:04","175","273","0","11:37","33","0","98","0","0","0"
"G4","12/20/2022","0784","308NV","OMA","08:00","07:58","189","171","-2","08:09","11","0","0","0","0","0"
"G4","12/20/2022","2011","237NV","CVG","16:11","16:07","243","230","-4","16:18","11","0","0","0","0","0"
"G4","12/20/2023","0761","320NV","SGF","10:00","09:59","195","181","-1","10:15","16","0","0","0","0","0"
"G4","12/21/2021","1418","317NV","MEM","08:30","08:27","218","217","-3","08:44","17","0","0","0","0","0"
"G4","12/21/2022","0372","248NV","CVG","11:52","11:49","243","243","-3","11:58","9","0","0","0","0","0"
"G4","12/21/2022","0764","308NV","EUG","08:30","08:25","133","143","-5","08:41","16","0","0","0","0","0"
"G4","12/21/2022","0773","330NV","MEM","09:00","09:09","217","208","9","09:23","14","0","0","0","0","0"
"G4","12/21/2023","0417","259NV","CVG","09:47","09:55","248","255","8","10:19","24","8","0","7","0","0"
"G4","12/21/2023","0769","320NV","EUG","08:48","10:37","136","121","109","10:52","15","94","0","0","0","0"
"G4","12/21/2023","0782","307NV","MEM","07:00","06:59","222","208","-1","07:20","21","0","0","0","0","0"
"G4","12/21/2023","0787","307NV","XNA","15:04","16:22","194","178","78","16:35","13","62","0","0","0","0"
"G4","12/21/2023","0801","320NV","MFR","16:58","00:00","125","0","0","00:00","0","0","0","0","0","0"
