Detailed Statistics Departures  
Origin Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0001","N399HA","HNL","07:00","06:59","365","325","-1","07:14","15","0","0","0","0","0"
"HA","12/01/2021","0003","N374HA","HNL","09:25","09:30","365","329","5","09:50","20","0","0","0","0","0"
"HA","12/01/2021","0009","N378HA","HNL","17:05","17:05","370","340","0","17:24","19","0","0","0","0","0"
"HA","12/01/2021","0033","N361HA","OGG","07:45","07:41","350","319","-4","07:55","14","0","0","0","0","0"
"HA","12/01/2021","0061","N204HA","KOA","11:10","11:10","355","331","0","11:22","12","0","0","0","0","0"
"HA","12/01/2021","0063","N209HA","LIH","08:35","08:43","370","329","8","09:02","19","0","0","0","0","0"
"HA","12/01/2022","0001","N381HA","HNL","07:00","06:56","355","379","-4","07:11","15","0","0","20","0","0"
"HA","12/01/2022","0003","N382HA","HNL","10:00","09:55","360","365","-5","10:08","13","0","0","0","0","0"
"HA","12/01/2022","0009","N399HA","HNL","17:10","17:09","360","353","-1","17:22","13","0","0","0","0","0"
"HA","12/01/2022","0033","N380HA","OGG","08:10","08:10","350","339","0","08:22","12","0","0","0","0","0"
"HA","12/01/2022","0061","N214HA","KOA","11:00","10:52","350","345","-8","11:06","14","0","0","0","0","0"
"HA","12/01/2022","0063","N213HA","LIH","08:55","08:51","360","343","-4","09:04","13","0","0","0","0","0"
"HA","12/01/2023","0001","N383HA","HNL","07:00","07:04","355","373","4","07:26","22","22","0","0","0","0"
