Detailed Statistics Departures  
Origin Airport: Louisville, KY: Louisville Muhammad Ali International (SDF)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/02/2021","1203","N371FR","MCO","11:28","11:22","136","134","-6","11:32","10","0","0","0","0","0"
"F9","12/05/2021","1203","N331FR","MCO","19:13","19:30","140","128","17","19:41","11","0","0","0","0","0"
"F9","12/09/2021","1203","N210FR","MCO","11:28","11:40","136","118","12","11:51","11","0","0","0","0","0"
"F9","12/12/2021","1203","N310FR","MCO","19:13","20:48","140","121","95","21:01","13","0","0","0","0","76"
"F9","12/16/2021","1203","N377FR","MCO","20:13","21:20","138","137","67","21:34","14","23","0","11","0","32"
"F9","12/19/2021","1203","N709FR","MCO","20:17","21:01","138","139","44","21:14","13","0","0","13","0","32"
"F9","12/23/2021","1203","N312FR","MCO","20:13","20:45","138","133","32","21:00","15","3","0","9","0","15"
"F9","12/26/2021","1203","","MCO","20:17","00:00","138","0","0","00:00","0","0","0","0","0","0"
"F9","12/28/2021","1203","N382FR","MCO","11:34","11:40","136","130","6","11:53","13","0","0","0","0","0"
"F9","12/30/2021","1203","N356FR","MCO","20:13","23:35","138","140","202","23:46","11","8","0","2","0","194"

 SOURCE: Bureau of Transportation Statistics
