Detailed Statistics Departures  
Origin Airport: Louisville, KY: Louisville Muhammad Ali International (SDF)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5745","N959LR","DFW","06:00","05:59","157","128","-1","06:14","15","0","0","0","0","0"
"YV","12/01/2021","5770","N952LR","DFW","18:11","18:11","158","126","0","18:21","10","0","0","0","0","0"
"YV","12/01/2021","5823","N939LR","DFW","10:40","10:40","152","126","0","10:51","11","0","0","0","0","0"
"YV","12/01/2021","5842","N917FJ","DFW","20:19","20:14","154","134","-5","20:27","13","0","0","0","0","0"
"YV","12/01/2021","6077","N85323","IAH","18:33","18:36","155","118","3","18:47","11","0","0","0","0","0"
"YV","12/01/2021","6220","N86347","IAH","11:55","11:58","162","133","3","12:05","7","0","0","0","0","0"
"YV","12/01/2021","6273","N87365","IAH","07:00","00:00","160","0","0","00:00","0","0","0","0","0","0"
"YV","12/01/2022","5745","N249LR","DFW","06:05","06:00","157","147","-5","06:14","14","0","0","0","0","0"
"YV","12/01/2022","5771","N946LR","DFW","14:22","14:11","152","146","-11","14:29","18","0","0","0","0","0"
"YV","12/01/2022","5798","N928LR","DFW","12:31","12:20","152","143","-11","12:32","12","0","0","0","0","0"
"YV","12/01/2022","5867","N957LR","DFW","08:00","09:54","157","147","114","10:09","15","104","0","0","0","0"
"YV","12/01/2022","6118","N89304","IAD","09:45","09:39","100","99","-6","10:07","28","0","0","0","0","0"
"YV","12/01/2022","6159","N93305","IAH","16:59","16:52","159","149","-7","17:02","10","0","0","0","0","0"
"YV","12/01/2022","6266","N87337","IAH","06:45","06:44","166","143","-1","06:56","12","0","0","0","0","0"
"YV","12/01/2023","6063","N943LR","IAH","09:28","09:19","160","149","-9","09:33","14","0","0","0","0","0"
"YV","12/01/2023","6145","N86316","IAD","14:30","14:22","100","117","-8","14:56","34","0","0","0","0","0"
"YV","12/01/2023","6266","N920FJ","IAH","07:00","06:58","155","183","-2","07:45","47","0","0","26","0","0"
"YV","12/01/2023","6340","N905J","IAH","15:50","15:45","155","152","-5","15:58","13","0","0","0","0","0"
"YV","12/02/2021","5745","N938LR","DFW","06:00","05:51","157","124","-9","06:03","12","0","0","0","0","0"
"YV","12/02/2021","5770","N950LR","DFW","18:11","10:34","158","132","983","10:50","16","763","0","0","0","194"
"YV","12/02/2021","5823","N241LR","DFW","10:40","11:23","152","122","43","11:35","12","0","0","0","0","0"
"YV","12/02/2021","5842","N326MS","DFW","20:19","20:36","154","137","17","20:48","12","0","0","0","0","0"
"YV","12/02/2021","5876","N950LR","DFW","08:00","07:54","161","141","-6","08:11","17","0","0","0","0","0"
"YV","12/02/2021","6077","N85352","IAH","18:33","18:29","155","128","-4","18:42","13","0","0","0","0","0"
"YV","12/02/2021","6220","N88327","IAH","11:55","11:58","162","128","3","12:09","11","0","0","0","0","0"
"YV","12/02/2021","6273","N86375","IAH","07:00","06:57","160","128","-3","07:09","12","0","0","0","0","0"
"YV","12/02/2022","5745","N326MS","DFW","06:05","06:01","157","142","-4","06:14","13","0","0","0","0","0"
"YV","12/02/2022","5771","N948LR","DFW","14:22","14:11","152","141","-11","14:26","15","0","0","0","0","0"
"YV","12/02/2022","5798","N928LR","DFW","12:31","12:23","152","137","-8","12:38","15","0","0","0","0","0"
"YV","12/02/2022","5867","N959LR","DFW","08:00","07:52","157","153","-8","08:06","14","0","0","0","0","0"
"YV","12/02/2022","6118","N88332","IAD","09:45","09:38","100","78","-7","09:48","10","0","0","0","0","0"
"YV","12/02/2022","6159","N88301","IAH","16:59","16:51","159","150","-8","17:00","9","0","0","0","0","0"
"YV","12/02/2022","6266","N88359","IAH","06:45","06:45","166","156","0","06:56","11","0","0","0","0","0"
"YV","12/02/2023","6063","N244LR","IAH","09:28","09:26","160","164","-2","09:40","14","0","0","0","0","0"
"YV","12/02/2023","6145","N93305","IAD","14:30","14:26","100","85","-4","14:40","14","0","0","0","0","0"
"YV","12/02/2023","6266","N241LR","IAH","07:00","06:56","155","179","-4","07:16","20","0","0","20","0","0"
"YV","12/02/2023","6340","N927LR","IAH","15:50","15:42","155","165","-8","16:00","18","0","0","0","0","0"
"YV","12/03/2021","5745","N958LR","DFW","06:00","05:55","157","127","-5","06:07","12","0","0","0","0","0"
"YV","12/03/2021","5770","N904FJ","DFW","18:11","00:00","158","0","0","00:00","0","0","0","0","0","0"
"YV","12/03/2021","5823","N326MS","DFW","10:40","10:32","152","132","-8","10:45","13","0","0","0","0","0"
"YV","12/03/2021","5842","N913FJ","DFW","20:19","20:17","154","152","-2","20:36","19","0","0","0","0","0"
"YV","12/03/2021","5876","N943LR","DFW","08:00","07:59","161","159","-1","08:22","23","0","0","0","0","0"
