Detailed Statistics Departures  
Origin Airport: Louisville, KY: Louisville Muhammad Ali International (SDF)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","5071","N915XJ","LGA","17:59","17:55","129","114","-4","18:08","13","0","0","0","0","0"
"9E","12/01/2022","4734","N691CA","LGA","06:05","06:00","144","129","-5","06:27","27","0","0","0","0","0"
"9E","12/02/2021","5071","N922XJ","LGA","17:59","17:54","129","115","-5","18:10","16","0","0","0","0","0"
"9E","12/03/2021","5071","N305PQ","LGA","17:59","17:54","129","109","-5","18:02","8","0","0","0","0","0"
"9E","12/07/2023","5375","N307PQ","DTW","18:49","21:08","89","74","139","21:24","16","0","0","0","0","124"
"9E","12/07/2023","5523","N936XJ","DTW","07:30","07:21","96","80","-9","07:37","16","0","0","0","0","0"
"9E","12/08/2023","5375","N908XJ","DTW","18:49","18:40","89","74","-9","18:53","13","0","0","0","0","0"
"9E","12/08/2023","5523","N186GJ","DTW","07:30","07:25","96","74","-5","07:38","13","0","0","0","0","0"
"9E","12/09/2023","5333","N538CA","DTW","14:15","14:25","89","71","10","14:35","10","0","0","0","0","0"
"9E","12/09/2023","5523","N200PQ","DTW","07:30","07:50","96","65","20","08:02","12","0","0","0","0","0"
"9E","12/10/2023","4993","N182GJ","DTW","18:49","18:39","89","69","-10","18:53","14","0","0","0","0","0"
"9E","12/10/2023","5523","N200PQ","DTW","07:30","07:24","96","71","-6","07:42","18","0","0","0","0","0"
"9E","12/11/2023","5375","N349PQ","DTW","18:49","18:50","89","83","1","19:05","15","0","0","0","0","0"
"9E","12/11/2023","5523","N297PQ","DTW","07:30","07:24","96","79","-6","07:40","16","0","0","0","0","0"
"9E","12/12/2023","5503","N183GJ","DTW","18:49","18:39","89","83","-10","18:53","14","0","0","0","0","0"
"9E","12/12/2023","5523","N309PQ","DTW","07:30","07:21","96","80","-9","07:39","18","0","0","0","0","0"
"9E","12/13/2023","5503","N183GJ","DTW","18:49","18:39","89","89","-10","18:56","17","0","0","0","0","0"
"9E","12/13/2023","5523","N925XJ","DTW","07:30","07:31","96","88","1","07:44","13","0","0","0","0","0"
"9E","12/14/2023","5375","N136EV","DTW","18:49","18:44","89","85","-5","19:04","20","0","0","0","0","0"
"9E","12/14/2023","5523","N936XJ","DTW","07:30","07:27","96","97","-3","07:57","30","0","0","0","0","0"
"9E","12/15/2023","5375","N905XJ","DTW","18:49","18:49","89","107","0","19:03","14","0","0","18","0","0"
"9E","12/15/2023","5523","N300PQ","DTW","07:30","07:30","96","103","0","08:11","41","0","0","0","0","0"
"9E","12/16/2023","5024","N905XJ","DTW","07:30","07:25","96","89","-5","07:38","13","0","0","0","0","0"
