Detailed Statistics Departures  
Origin Airport: Lubbock, TX: Lubbock Preston Smith International (LBB)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5817","N957LR","PHX","06:43","08:02","127","111","79","08:15","13","63","0","0","0","0"
"YV","12/01/2021","5827","N914FJ","DFW","12:30","12:36","74","75","6","12:47","11","0","0","0","0","0"
"YV","12/01/2021","5918","N938LR","DFW","18:22","18:09","77","83","-13","18:24","15","0","0","0","0","0"
"YV","12/01/2021","5944","N914FJ","DFW","16:28","16:19","78","75","-9","16:36","17","0","0","0","0","0"
"YV","12/01/2022","5816","N244LR","DFW","12:29","12:26","77","71","-3","12:44","18","0","0","0","0","0"
"YV","12/01/2022","5819","N934FJ","DFW","16:34","16:27","77","68","-7","16:38","11","0","0","0","0","0"
"YV","12/02/2021","5784","N241LR","DFW","05:00","00:00","70","0","0","00:00","0","0","0","0","0","0"
"YV","12/02/2021","5817","N922FJ","PHX","06:43","06:34","127","115","-9","06:51","17","0","0","0","0","0"
"YV","12/02/2021","5827","N915FJ","DFW","12:30","12:22","74","65","-8","12:34","12","0","0","0","0","0"
"YV","12/02/2021","5918","N241LR","DFW","18:22","20:24","77","75","122","20:41","17","8","0","0","0","112"
"YV","12/02/2021","5944","N938LR","DFW","16:31","16:23","78","109","-8","16:40","17","0","0","23","0","0"
"YV","12/02/2022","5816","N954LR","DFW","12:29","12:19","77","78","-10","12:41","22","0","0","0","0","0"
"YV","12/02/2022","5819","N247LR","DFW","16:34","16:19","77","87","-15","16:47","28","0","0","0","0","0"
"YV","12/03/2021","5784","N326MS","DFW","05:00","04:59","70","69","-1","05:15","16","0","0","0","0","0"
"YV","12/03/2021","5817","N945LR","PHX","06:43","06:34","127","108","-9","06:46","12","0","0","0","0","0"
"YV","12/03/2021","5827","N938LR","DFW","12:30","12:27","74","72","-3","12:40","13","0","0","0","0","0"
"YV","12/03/2021","5918","N915FJ","DFW","18:22","18:19","77","79","-3","18:35","16","0","0","0","0","0"
"YV","12/03/2021","5944","N938LR","DFW","16:31","16:21","78","79","-10","16:45","24","0","0","0","0","0"
"YV","12/03/2022","5889","N241LR","PHX","09:01","08:54","126","133","-7","09:07","13","0","0","0","0","0"
"YV","12/04/2021","5784","N326MS","DFW","05:00","04:52","70","61","-8","05:04","12","0","0","0","0","0"
"YV","12/04/2021","5817","N935LR","PHX","06:43","06:37","127","120","-6","06:48","11","0","0","0","0","0"
"YV","12/04/2021","5827","N241LR","DFW","12:30","12:24","74","83","-6","12:50","26","0","0","0","0","0"
"YV","12/04/2021","5918","N248LR","DFW","18:22","18:09","77","71","-13","18:19","10","0","0","0","0","0"
"YV","12/04/2021","5944","N920FJ","DFW","16:31","16:16","78","68","-15","16:31","15","0","0","0","0","0"
"YV","12/04/2022","5816","N954LR","DFW","12:29","12:19","77","74","-10","12:39","20","0","0","0","0","0"
"YV","12/04/2022","5819","N247LR","DFW","16:34","16:16","77","76","-18","16:39","23","0","0","0","0","0"
"YV","12/05/2021","5817","N946LR","PHX","06:43","06:33","127","115","-10","06:49","16","0","0","0","0","0"
"YV","12/05/2021","5827","N931LR","DFW","12:30","12:25","74","70","-5","12:41","16","0","0","0","0","0"
"YV","12/05/2021","5918","N246LR","DFW","18:22","20:47","77","69","145","21:01","14","0","0","0","0","137"
"YV","12/05/2021","5944","N931LR","DFW","16:31","16:20","78","76","-11","16:37","17","0","0","0","0","0"
"YV","12/05/2022","5816","N905J","DFW","12:29","14:08","77","68","99","14:24","16","0","0","0","0","90"
"YV","12/05/2022","5819","N905J","DFW","16:34","17:20","77","77","46","17:39","19","0","0","0","0","46"
"YV","12/05/2022","5889","N946LR","PHX","09:01","08:48","126","159","-13","09:26","38","0","0","20","0","0"
"YV","12/06/2021","5784","N246LR","DFW","05:00","05:05","70","68","5","05:17","12","0","0","0","0","0"
"YV","12/06/2021","5817","N957LR","PHX","06:43","06:36","127","117","-7","06:53","17","0","0","0","0","0"
"YV","12/06/2021","5827","N931LR","DFW","12:30","12:27","74","79","-3","12:37","10","0","0","0","0","0"
"YV","12/06/2021","5918","N939LR","DFW","18:22","18:12","77","79","-10","18:24","12","0","0","0","0","0"
"YV","12/06/2021","5944","N942LR","DFW","16:31","16:30","78","81","-1","16:45","15","0","0","0","0","0"
"YV","12/06/2022","5816","N947LR","DFW","12:29","12:28","77","68","-1","12:43","15","0","0","0","0","0"
"YV","12/07/2021","5817","N921FJ","PHX","06:43","06:41","127","119","-2","06:56","15","0","0","0","0","0"
"YV","12/07/2021","5827","N938LR","DFW","12:30","13:01","74","62","31","13:12","11","3","0","0","0","16"
"YV","12/07/2021","5918","N249LR","DFW","18:22","18:10","77","82","-12","18:19","9","0","0","0","0","0"
"YV","12/07/2021","5944","N928LR","DFW","16:31","16:27","78","74","-4","16:47","20","0","0","0","0","0"
"YV","12/07/2022","5816","N952LR","DFW","12:29","12:20","77","79","-9","12:43","23","0","0","0","0","0"
"YV","12/07/2022","5819","N952LR","DFW","16:34","00:00","77","0","0","00:00","0","0","0","0","0","0"
