Detailed Statistics Departures  
Origin Airport: Lubbock, TX: Lubbock Preston Smith International (LBB)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5567","N463SW","DEN","13:09","13:01","104","90","-8","13:13","12","0","0","0","0","0"
"OO","12/01/2021","5764","N912EV","DEN","08:00","07:56","107","98","-4","08:16","20","0","0","0","0","0"
"OO","12/01/2022","4809","N923SW","DEN","12:49","12:40","100","98","-9","12:57","17","0","0","0","0","0"
"OO","12/01/2022","5508","N223JS","DEN","09:44","09:36","108","103","-8","09:54","18","0","0","0","0","0"
"OO","12/01/2023","3146","N718EV","PHX","06:30","06:27","126","139","-3","06:50","23","0","0","0","0","0"
"OO","12/01/2023","4847","N715SK","DFW","14:28","14:18","84","79","-10","14:37","19","0","0","0","0","0"
"OO","12/01/2023","5764","N930SW","DEN","09:40","09:35","107","112","-5","10:12","37","0","0","0","0","0"
"OO","12/02/2021","5567","N431SW","DEN","12:52","12:47","104","91","-5","13:06","19","0","0","0","0","0"
"OO","12/02/2021","5764","N932SW","DEN","07:33","07:24","107","95","-9","07:37","13","0","0","0","0","0"
"OO","12/02/2022","4809","N945SW","DEN","12:49","12:44","100","95","-5","12:57","13","0","0","0","0","0"
"OO","12/02/2023","3146","N764SK","PHX","09:00","08:51","126","136","-9","09:07","16","0","0","0","0","0"
"OO","12/02/2023","5764","N914EV","DEN","09:40","09:32","107","113","-8","10:10","38","0","0","0","0","0"
"OO","12/03/2021","5567","N472CA","DEN","12:52","12:43","104","95","-9","13:01","18","0","0","0","0","0"
"OO","12/03/2021","5764","N908SW","DEN","07:33","07:24","107","95","-9","07:39","15","0","0","0","0","0"
"OO","12/03/2022","4809","N906EV","DEN","12:49","12:44","100","91","-5","12:55","11","0","0","0","0","0"
"OO","12/03/2023","3146","N750EV","PHX","06:30","06:21","126","118","-9","06:36","15","0","0","0","0","0"
"OO","12/03/2023","4847","N709SK","DFW","14:28","14:26","84","73","-2","14:46","20","0","0","0","0","0"
"OO","12/03/2023","5764","N699BR","DEN","09:40","09:33","107","132","-7","10:18","45","0","0","18","0","0"
"OO","12/04/2021","5764","N919SW","DEN","07:33","07:28","107","92","-5","07:40","12","0","0","0","0","0"
"OO","12/04/2022","4809","N464SW","DEN","12:49","12:45","100","88","-4","12:56","11","0","0","0","0","0"
"OO","12/04/2023","3146","N715SK","PHX","06:30","06:21","126","141","-9","06:54","33","0","0","0","0","0"
"OO","12/04/2023","4847","N724EV","DFW","14:28","14:15","84","74","-13","14:33","18","0","0","0","0","0"
"OO","12/04/2023","5764","N943SW","DEN","09:40","09:35","107","100","-5","09:51","16","0","0","0","0","0"
"OO","12/05/2021","3054","N753EV","DFW","06:11","06:08","71","73","-3","06:25","17","0","0","0","0","0"
"OO","12/05/2022","4809","N955SW","DEN","12:49","12:42","100","94","-7","12:56","14","0","0","0","0","0"
"OO","12/05/2023","3146","N715SK","PHX","09:10","09:02","130","130","-8","09:12","10","0","0","0","0","0"
"OO","12/05/2023","4841","N706SK","DFW","14:30","14:19","83","77","-11","14:31","12","0","0","0","0","0"
"OO","12/05/2023","5764","N917SW","DEN","09:40","09:35","107","112","-5","09:49","14","0","0","0","0","0"
"OO","12/06/2021","5764","N910EV","DEN","07:33","07:28","107","93","-5","07:39","11","0","0","0","0","0"
"OO","12/06/2022","4809","N964SW","DEN","12:49","12:45","100","85","-4","12:57","12","0","0","0","0","0"
"OO","12/06/2023","3146","N718SK","PHX","09:10","09:06","130","132","-4","09:22","16","0","0","0","0","0"
"OO","12/06/2023","4841","N706SK","DFW","14:30","14:20","83","76","-10","14:40","20","0","0","0","0","0"
"OO","12/06/2023","5764","N876AS","DEN","09:40","09:36","107","114","-4","10:14","38","0","0","0","0","0"
"OO","12/07/2021","3054","N732SK","DFW","06:11","06:02","71","77","-9","06:20","18","0","0","0","0","0"
"OO","12/07/2022","4809","N956SW","DEN","12:49","12:43","100","90","-6","12:57","14","0","0","0","0","0"
"OO","12/07/2023","3146","N727SK","PHX","06:30","06:36","130","117","6","06:50","14","0","0","0","0","0"
"OO","12/07/2023","4841","N611SK","DFW","14:30","14:20","83","92","-10","14:53","33","0","0","0","0","0"
"OO","12/07/2023","5764","N457SW","DEN","09:40","09:33","107","113","-7","10:07","34","0","0","0","0","0"
"OO","12/08/2021","3054","N753EV","DFW","06:11","06:16","71","87","5","06:41","25","21","0","0","0","0"
"OO","12/08/2021","5764","N875AS","DEN","07:33","07:31","107","107","-2","07:59","28","0","0","0","0","0"
"OO","12/08/2022","4809","N930SW","DEN","12:49","12:39","100","99","-10","12:55","16","0","0","0","0","0"
"OO","12/08/2023","3146","N707EV","PHX","06:30","06:29","130","129","-1","06:45","16","0","0","0","0","0"
"OO","12/08/2023","4841","N709SK","DFW","14:30","14:28","83","75","-2","14:47","19","0","0","0","0","0"
"OO","12/08/2023","5764","N912SW","DEN","09:40","09:33","107","121","-7","10:22","49","0","0","0","0","0"
"OO","12/09/2021","5764","N876AS","DEN","07:33","07:29","107","94","-4","07:44","15","0","0","0","0","0"
"OO","12/09/2022","4809","N479CA","DEN","12:49","12:42","100","86","-7","12:52","10","0","0","0","0","0"
"OO","12/09/2023","3146","N656CA","PHX","09:10","08:57","130","143","-13","09:21","24","0","0","0","0","0"
"OO","12/09/2023","4841","N724SK","DFW","14:30","14:17","83","81","-13","14:38","21","0","0","0","0","0"
"OO","12/09/2023","5764","N926SW","DEN","09:40","09:33","107","130","-7","10:03","30","0","0","16","0","0"
"OO","12/10/2022","4809","N939SW","DEN","12:49","12:42","100","84","-7","12:51","9","0","0","0","0","0"
"OO","12/10/2023","3146","N754SK","PHX","06:30","06:31","130","134","1","07:02","31","0","0","0","0","0"
"OO","12/10/2023","4841","N632SK","DFW","14:30","14:18","83","89","-12","14:49","31","0","0","0","0","0"
"OO","12/10/2023","5764","N973SW","DEN","09:40","09:37","107","116","-3","10:09","32","0","0","0","0","0"
"OO","12/11/2022","4809","N912EV","DEN","12:49","12:37","100","91","-12","12:51","14","0","0","0","0","0"
"OO","12/11/2023","3146","N708SK","PHX","06:30","06:25","130","120","-5","06:39","14","0","0","0","0","0"
"OO","12/11/2023","4841","N611SK","DFW","14:30","14:20","83","71","-10","14:40","20","0","0","0","0","0"
"OO","12/11/2023","5764","N900EV","DEN","09:40","09:33","107","117","-7","10:00","27","0","0","0","0","0"
"OO","12/12/2021","3054","N727SK","DFW","06:11","06:02","71","84","-9","06:18","16","0","0","0","0","0"
"OO","12/12/2022","4809","N487CA","DEN","12:49","00:00","100","0","0","00:00","0","0","0","0","0","0"
"OO","12/12/2023","3146","N719SK","PHX","09:10","09:00","130","136","-10","09:22","22","0","0","0","0","0"
"OO","12/12/2023","4841","N717EV","DFW","14:30","14:21","83","73","-9","14:41","20","0","0","0","0","0"
"OO","12/12/2023","5764","N958SW","DEN","09:40","09:42","107","132","2","10:24","42","0","0","25","2","0"
"OO","12/13/2022","4809","N479CA","DEN","12:49","13:05","100","94","16","13:19","14","0","0","0","0","0"
"OO","12/13/2023","3146","N608SK","PHX","09:10","09:08","130","135","-2","09:28","20","0","0","0","0","0"
"OO","12/13/2023","4841","N709SK","DFW","14:30","14:21","83","69","-9","14:37","16","0","0","0","0","0"
"OO","12/13/2023","5764","N969SW","DEN","09:40","09:31","107","111","-9","10:13","42","0","0","0","0","0"
"OO","12/14/2021","3054","N719SK","DFW","06:11","06:06","71","74","-5","06:21","15","0","0","0","0","0"
"OO","12/14/2022","4809","N437SW","DEN","12:49","12:54","100","99","5","13:15","21","0","0","0","0","0"
"OO","12/14/2023","3146","N764SK","PHX","06:30","06:24","130","130","-6","06:40","16","0","0","0","0","0"
"OO","12/14/2023","4841","N709SK","DFW","14:30","14:22","83","65","-8","14:33","11","0","0","0","0","0"
"OO","12/14/2023","5764","N960SW","DEN","09:40","12:54","107","87","194","13:08","14","0","0","0","0","174"
"OO","12/15/2021","3054","N632SK","DFW","06:11","10:46","71","77","275","11:06","20","281","0","0","0","0"
"OO","12/15/2021","5764","N962SW","DEN","07:33","07:27","107","134","-6","08:17","50","21","0","0","0","0"
"OO","12/15/2022","3044","N758SK","DFW","18:26","18:16","79","74","-10","18:29","13","0","0","0","0","0"
"OO","12/15/2023","3146","N607SK","PHX","06:30","06:31","130","118","1","06:44","13","0","0","0","0","0"
"OO","12/15/2023","4841","N707SK","DFW","14:30","14:22","83","88","-8","14:41","19","0","0","0","0","0"
"OO","12/15/2023","5764","N973SW","DEN","09:40","09:33","107","96","-7","09:47","14","0","0","0","0","0"
"OO","12/16/2022","3044","N753EV","DFW","18:26","18:19","79","81","-7","18:35","16","0","0","0","0","0"
"OO","12/16/2023","3146","N713EV","PHX","09:10","09:02","130","140","-8","09:29","27","0","0","0","0","0"
"OO","12/16/2023","4841","N632SK","DFW","14:30","14:23","83","80","-7","14:47","24","0","0","0","0","0"
"OO","12/16/2023","5764","N970SW","DEN","09:40","10:13","107","103","33","10:29","16","29","0","0","0","0"
"OO","12/17/2022","3044","N710EV","DFW","18:26","18:57","79","68","31","19:10","13","0","0","0","0","20"
"OO","12/17/2023","3146","N724EV","PHX","09:10","09:02","130","138","-8","09:30","28","0","0","0","0","0"
"OO","12/17/2023","4841","N718EV","DFW","14:30","14:25","83","70","-5","14:43","18","0","0","0","0","0"
