Detailed Statistics Departures  
Origin Airport: Madison, WI: Dane County Regional-Truax Field (MSN)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0634","N580UW","PHX","07:19","07:28","242","222","9","07:38","10","0","0","0","0","0"
"AA","12/01/2021","2786","N834AW","DFW","07:00","07:10","166","148","10","07:26","16","0","0","0","0","0"
"AA","12/01/2022","1268","N825AW","CLT","07:00","06:57","131","129","-3","07:10","13","0","0","0","0","0"
"AA","12/01/2022","1293","N102UW","PHX","17:25","18:51","224","224","86","19:13","22","0","0","0","0","86"
"AA","12/01/2022","1538","N815AW","DFW","06:30","06:34","159","151","4","06:47","13","0","0","0","0","0"
"AA","12/01/2022","2139","N121UW","DFW","15:59","15:49","159","144","-10","16:04","15","0","0","0","0","0"
"AA","12/01/2022","2262","N817AW","CLT","16:24","16:19","131","135","-5","16:48","29","0","0","0","0","0"
"AA","12/01/2023","0634","N776XF","PHX","07:40","09:11","225","220","91","09:23","12","86","0","0","0","0"
"AA","12/01/2023","0797","N810AW","DFW","05:40","05:33","164","161","-7","05:52","19","0","0","0","0","0"
"AA","12/01/2023","1002","N653AW","CLT","07:08","07:06","129","130","-2","07:20","14","0","0","0","0","0"
"AA","12/01/2023","1168","N702UW","CLT","16:28","17:02","131","154","34","17:37","35","7","0","23","0","27"
"AA","12/01/2023","1826","N820AW","DFW","17:16","17:37","164","167","21","18:05","28","5","0","3","0","16"
"AA","12/01/2023","2215","N808AW","DFW","11:10","11:08","164","170","-2","11:23","15","0","0","0","0","0"
"AA","12/02/2021","0634","N836AW","PHX","07:23","07:27","242","223","4","07:38","11","0","0","0","0","0"
"AA","12/02/2021","2786","N776XF","DFW","07:00","06:59","166","152","-1","07:20","21","0","0","0","0","0"
"AA","12/02/2022","1268","N737US","CLT","07:00","06:52","131","122","-8","07:05","13","0","0","0","0","0"
"AA","12/02/2022","1293","N661AW","PHX","17:25","17:20","224","230","-5","17:31","11","0","0","0","0","0"
"AA","12/02/2022","1538","N9012","DFW","06:30","06:25","159","151","-5","06:38","13","0","0","0","0","0"
"AA","12/02/2022","2139","N104UW","DFW","15:59","16:12","159","143","13","16:24","12","0","0","0","0","0"
"AA","12/02/2022","2262","N733UW","CLT","16:24","16:19","131","131","-5","16:35","16","0","0","0","0","0"
"AA","12/02/2023","0634","N808AW","PHX","07:40","07:31","225","216","-9","07:42","11","0","0","0","0","0"
"AA","12/02/2023","0797","N827AW","DFW","05:40","05:31","164","141","-9","05:43","12","0","0","0","0","0"
"AA","12/02/2023","1002","N653AW","CLT","07:08","07:07","129","140","-1","07:24","17","0","0","0","0","0"
"AA","12/02/2023","1168","N818AW","CLT","16:48","16:36","131","138","-12","16:46","10","0","0","0","0","0"
"AA","12/02/2023","1826","N772XF","DFW","17:16","17:03","164","169","-13","17:13","10","0","0","0","0","0"
"AA","12/02/2023","2215","N807AW","DFW","11:10","11:07","164","161","-3","11:23","16","0","0","0","0","0"
"AA","12/03/2021","0634","N814AW","PHX","07:23","07:21","242","231","-2","07:33","12","0","0","0","0","0"
"AA","12/03/2021","2786","N819AW","DFW","07:00","06:58","166","158","-2","07:21","23","0","0","0","0","0"
"AA","12/03/2022","1268","N733UW","CLT","07:00","06:53","131","119","-7","07:04","11","0","0","0","0","0"
"AA","12/03/2022","1293","N119US","PHX","17:25","17:13","224","228","-12","17:25","12","0","0","0","0","0"
"AA","12/03/2022","1538","N649AW","DFW","06:30","06:25","159","136","-5","06:38","13","0","0","0","0","0"
"AA","12/03/2022","2139","N102UW","DFW","15:59","18:06","159","164","127","18:18","12","0","0","5","0","127"
"AA","12/03/2022","2262","N771XF","CLT","16:32","16:48","131","109","16","16:59","11","0","0","0","0","0"
"AA","12/03/2023","0634","N837AW","PHX","07:40","07:31","225","247","-9","08:21","50","0","0","0","0","0"
"AA","12/03/2023","0797","N755US","DFW","05:40","05:32","164","196","-8","06:24","52","0","0","24","0","0"
"AA","12/03/2023","1002","N664AW","CLT","07:08","07:07","129","158","-1","07:56","49","0","0","28","0","0"
"AA","12/03/2023","1168","N732US","CLT","16:28","16:24","131","125","-4","16:34","10","0","0","0","0","0"
"AA","12/03/2023","1826","N740UW","DFW","17:16","17:16","164","151","0","17:31","15","0","0","0","0","0"
