Detailed Statistics Departures  
Origin Airport: Madison, WI: Dane County Regional-Truax Field (MSN)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4803","N924EV","DTW","10:00","09:56","81","63","-4","10:06","10","0","0","0","0","0"
"9E","12/01/2021","4952","N819AY","MSP","15:20","16:20","76","72","60","16:39","19","0","0","0","0","56"
"9E","12/01/2021","5392","N928XJ","LGA","06:43","06:34","137","121","-9","06:48","14","0","0","0","0","0"
"9E","12/01/2021","5482","N305PQ","LGA","10:51","11:54","128","118","63","12:04","10","0","0","0","0","53"
"9E","12/01/2022","4680","N313PQ","DTW","11:05","10:55","75","73","-10","11:13","18","0","0","0","0","0"
"9E","12/01/2022","5345","N921XJ","LGA","12:10","12:08","137","138","-2","12:19","11","0","0","0","0","0"
"9E","12/01/2023","4871","N186PQ","MSP","14:33","14:29","75","59","-4","14:36","7","0","0","0","0","0"
"9E","12/01/2023","5407","N927XJ","LGA","06:00","05:58","144","142","-2","06:14","16","0","0","0","0","0"
"9E","12/02/2021","4803","N832AY","DTW","10:00","09:55","81","60","-5","10:02","7","0","0","0","0","0"
"9E","12/02/2021","4952","N819AY","MSP","15:20","15:15","76","59","-5","15:23","8","0","0","0","0","0"
"9E","12/02/2021","5004","N8968E","DTW","19:50","19:39","75","70","-11","19:53","14","0","0","0","0","0"
"9E","12/02/2021","5087","N836AY","MSP","19:15","19:10","68","68","-5","19:22","12","0","0","0","0","0"
"9E","12/02/2021","5392","N292PQ","LGA","06:43","06:39","137","117","-4","06:50","11","0","0","0","0","0"
"9E","12/02/2021","5482","N228PQ","LGA","10:51","10:46","128","115","-5","10:54","8","0","0","0","0","0"
"9E","12/02/2022","4680","N319PQ","DTW","11:05","11:00","75","64","-5","11:06","6","0","0","0","0","0"
"9E","12/02/2022","5345","N147PQ","LGA","12:10","11:58","137","123","-12","12:09","11","0","0","0","0","0"
"9E","12/02/2023","5407","N302PQ","LGA","10:00","09:55","146","113","-5","10:04","9","0","0","0","0","0"
"9E","12/03/2021","4803","N685BR","DTW","10:00","09:55","81","67","-5","10:08","13","0","0","0","0","0"
"9E","12/03/2021","4952","N801AY","MSP","15:20","15:15","76","66","-5","15:30","15","0","0","0","0","0"
