Detailed Statistics Departures  
Origin Airport: Manchester, NH: Manchester Boston Regional (MHT)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5233","N603NN","DCA","06:02","05:55","108","110","-7","06:12","17","0","0","0","0","0"
"OH","12/01/2021","5266","N560NN","CLT","14:25","14:15","162","147","-10","14:28","13","0","0","0","0","0"
"OH","12/01/2021","5474","N553NN","CLT","05:43","05:35","166","144","-8","05:50","15","0","0","0","0","0"
"OH","12/01/2021","5680","N510AE","CLT","19:00","18:48","168","143","-12","19:02","14","0","0","0","0","0"
"OH","12/01/2021","5696","N559NN","PHL","17:05","16:54","95","106","-11","17:16","22","0","0","0","0","0"
"OH","12/01/2022","5086","N600NN","DCA","17:04","16:57","114","100","-7","17:13","16","0","0","0","0","0"
"OH","12/01/2022","5160","N608NN","DCA","05:54","06:02","117","141","8","06:16","14","8","0","24","0","0"
"OH","12/01/2022","5302","N598NN","CLT","07:20","07:13","164","147","-7","07:28","15","0","0","0","0","0"
"OH","12/01/2022","5326","N602NN","DCA","12:01","12:16","114","114","15","12:31","15","3","0","0","0","12"
"OH","12/01/2022","5351","N562NN","CLT","16:30","16:28","161","141","-2","16:38","10","0","0","0","0","0"
"OH","12/01/2023","5159","N617NN","DCA","12:31","12:23","112","118","-8","12:41","18","0","0","0","0","0"
"OH","12/01/2023","5233","N527EA","DCA","05:44","05:40","114","107","-4","05:55","15","0","0","0","0","0"
"OH","12/01/2023","5308","N519AE","DCA","17:09","17:04","110","130","-5","17:21","17","0","0","15","0","0"
"OH","12/01/2023","5474","N603NN","CLT","05:50","05:45","157","149","-5","06:01","16","0","0","0","0","0"
"OH","12/02/2021","5233","N610NN","DCA","05:58","05:51","110","108","-7","06:11","20","0","0","0","0","0"
"OH","12/02/2021","5266","N604NN","CLT","14:25","14:42","162","136","17","14:51","9","0","0","0","0","0"
"OH","12/02/2021","5474","N557NN","CLT","05:43","05:30","166","146","-13","05:54","24","0","0","0","0","0"
"OH","12/02/2021","5680","N572NN","CLT","19:00","18:55","168","143","-5","19:08","13","0","0","0","0","0"
"OH","12/02/2022","5086","N588NN","DCA","17:04","17:40","114","123","36","18:02","22","4","0","9","0","32"
"OH","12/02/2022","5160","N564NN","DCA","05:54","05:44","117","95","-10","05:58","14","0","0","0","0","0"
"OH","12/02/2022","5302","N615NN","CLT","07:20","07:16","164","153","-4","07:40","24","0","0","0","0","0"
"OH","12/02/2022","5326","N576NN","DCA","12:01","12:41","114","103","40","12:53","12","0","0","0","0","29"
"OH","12/02/2022","5351","N554NN","CLT","16:30","16:22","161","137","-8","16:37","15","0","0","0","0","0"
"OH","12/02/2023","5159","N505AE","DCA","12:31","12:22","112","138","-9","12:53","31","0","0","17","0","0"
"OH","12/02/2023","5233","N527EA","DCA","05:26","05:19","114","118","-7","05:44","25","0","0","0","0","0"
"OH","12/02/2023","5474","N590NN","CLT","05:50","05:48","157","153","-2","06:02","14","0","0","0","0","0"
"OH","12/03/2021","5233","N596NN","DCA","05:58","05:48","110","92","-10","06:01","13","0","0","0","0","0"
"OH","12/03/2021","5266","N561NN","CLT","14:25","16:26","162","143","121","16:39","13","0","0","0","0","102"
"OH","12/03/2021","5474","N595NN","CLT","05:43","05:35","166","136","-8","05:47","12","0","0","0","0","0"
"OH","12/03/2021","5680","N573NN","CLT","19:00","18:53","168","150","-7","19:09","16","0","0","0","0","0"
"OH","12/03/2022","5160","N560NN","DCA","06:00","05:56","117","123","-4","06:14","18","0","0","0","0","0"
"OH","12/03/2022","5302","N584NN","CLT","05:40","06:44","164","141","64","06:55","11","41","0","0","0","0"
"OH","12/03/2022","5326","N552NN","DCA","12:01","11:51","114","106","-10","12:09","18","0","0","0","0","0"
"OH","12/03/2022","5351","N612NN","CLT","16:49","16:41","161","145","-8","16:54","13","0","0","0","0","0"
"OH","12/03/2023","5159","N576NN","DCA","12:31","12:20","112","111","-11","12:33","13","0","0","0","0","0"
"OH","12/03/2023","5233","N542EA","DCA","05:47","05:38","111","110","-9","06:00","22","0","0","0","0","0"
"OH","12/03/2023","5290","N563NN","CLT","17:37","17:36","155","190","-1","17:50","14","0","0","34","0","0"
"OH","12/03/2023","5308","N503AE","DCA","17:09","17:58","110","108","49","18:14","16","0","0","47","0","0"
"OH","12/03/2023","5474","N595NN","CLT","05:50","05:41","157","174","-9","06:09","28","0","0","0","0","0"
"OH","12/04/2021","5021","N586NN","DCA","17:04","17:03","111","107","-1","17:19","16","0","0","0","0","0"
"OH","12/04/2021","5233","N522AE","DCA","06:02","05:56","108","111","-6","06:15","19","0","0","0","0","0"
"OH","12/04/2021","5266","N612NN","CLT","14:25","14:15","162","150","-10","14:30","15","0","0","0","0","0"
"OH","12/04/2021","5474","N600NN","CLT","05:43","05:36","166","160","-7","05:55","19","0","0","0","0","0"
"OH","12/04/2022","5086","N525AE","DCA","17:05","16:53","113","93","-12","17:04","11","0","0","0","0","0"
"OH","12/04/2022","5160","N571NN","DCA","06:03","05:55","117","98","-8","06:10","15","0","0","0","0","0"
"OH","12/04/2022","5302","N588NN","CLT","07:20","07:11","164","143","-9","07:24","13","0","0","0","0","0"
"OH","12/04/2022","5326","N600NN","DCA","12:05","11:58","114","128","-7","12:11","13","0","0","0","0","0"
"OH","12/04/2022","5351","N553NN","CLT","16:32","16:43","161","140","11","16:55","12","0","0","0","0","0"
"OH","12/04/2023","5159","N598NN","DCA","12:31","12:24","112","111","-7","12:36","12","0","0","0","0","0"
"OH","12/04/2023","5233","N539EA","DCA","05:44","05:36","114","104","-8","05:48","12","0","0","0","0","0"
"OH","12/04/2023","5290","N575NN","CLT","17:37","17:30","155","154","-7","17:44","14","0","0","0","0","0"
"OH","12/04/2023","5308","N516AE","DCA","17:09","18:05","110","123","56","18:26","21","0","0","69","0","0"
"OH","12/04/2023","5474","N557NN","CLT","05:50","05:44","157","154","-6","05:58","14","0","0","0","0","0"
"OH","12/05/2021","5233","N531EG","DCA","06:02","05:55","108","101","-7","06:12","17","0","0","0","0","0"
"OH","12/05/2021","5266","N588NN","CLT","14:25","14:17","162","147","-8","14:31","14","0","0","0","0","0"
