Detailed Statistics Departures  
Origin Airport: Manchester, NH: Manchester Boston Regional (MHT)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0975","N8532S","MCO","16:50","16:43","205","191","-7","16:51","8","0","0","0","0","0"
"WN","12/01/2021","3016","N298WN","BWI","15:20","15:15","100","87","-5","15:24","9","0","0","0","0","0"
"WN","12/01/2021","3472","N8523W","MDW","18:00","17:56","160","140","-4","18:06","10","0","0","0","0","0"
"WN","12/01/2021","5149","N7742B","BWI","12:20","12:10","100","115","-10","12:19","9","0","0","0","0","0"
"WN","12/01/2021","5310","N7865A","BWI","10:35","10:29","95","89","-6","10:39","10","0","0","0","0","0"
"WN","12/01/2021","5904","N8730Q","BWI","06:05","06:01","100","96","-4","06:22","21","0","0","0","0","0"
"WN","12/01/2022","0471","N485WN","BWI","12:45","12:36","95","85","-9","12:47","11","0","0","0","0","0"
"WN","12/01/2022","0976","N7729A","MCO","15:55","16:09","200","190","14","16:17","8","0","0","0","0","0"
"WN","12/01/2022","1092","N414WN","BWI","06:00","05:53","100","89","-7","06:01","8","0","0","0","0","0"
"WN","12/01/2022","2111","N450WN","BWI","16:40","16:46","95","81","6","16:54","8","0","0","0","0","0"
"WN","12/01/2022","2933","N8692F","BWI","11:00","10:53","90","82","-7","11:03","10","0","0","0","0","0"
"WN","12/01/2022","3345","N8652B","MDW","18:30","18:23","155","150","-7","18:35","12","0","0","0","0","0"
"WN","12/01/2022","3420","N260WN","MDW","05:30","05:30","165","167","0","05:41","11","0","0","0","0","0"
"WN","12/01/2023","0233","N406WN","MDW","17:25","17:19","160","156","-6","17:35","16","0","0","0","0","0"
"WN","12/01/2023","0375","N7822A","BWI","06:10","06:08","100","90","-2","06:18","10","0","0","0","0","0"
"WN","12/01/2023","1766","N962WN","BWI","13:45","13:39","100","87","-6","13:47","8","0","0","0","0","0"
"WN","12/01/2023","2195","N7817J","MCO","15:15","15:14","200","189","-1","15:23","9","0","0","0","0","0"
"WN","12/01/2023","2246","N422WN","BWI","18:30","18:33","95","89","3","18:43","10","0","0","0","0","0"
"WN","12/01/2023","2313","N786SW","BWI","11:40","11:38","90","89","-2","11:49","11","0","0","0","0","0"
"WN","12/01/2023","2394","N8546V","BWI","16:25","16:20","100","96","-5","16:33","13","0","0","0","0","0"
"WN","12/02/2021","0975","N8681M","MCO","16:50","16:47","205","185","-3","16:56","9","0","0","0","0","0"
"WN","12/02/2021","3016","N965WN","BWI","15:20","15:15","100","86","-5","15:23","8","0","0","0","0","0"
"WN","12/02/2021","3472","N8535S","MDW","18:00","17:51","160","149","-9","18:02","11","0","0","0","0","0"
"WN","12/02/2021","5149","N264LV","BWI","12:20","12:15","100","87","-5","12:23","8","0","0","0","0","0"
"WN","12/02/2021","5310","N205WN","BWI","10:35","10:32","95","81","-3","10:40","8","0","0","0","0","0"
"WN","12/02/2021","5904","N8730Q","BWI","06:05","06:01","100","92","-4","06:17","16","0","0","0","0","0"
"WN","12/02/2022","0471","N220WN","BWI","12:45","12:39","95","79","-6","12:46","7","0","0","0","0","0"
"WN","12/02/2022","0976","N464WN","MCO","15:55","16:06","200","177","11","16:15","9","0","0","0","0","0"
"WN","12/02/2022","1092","N451WN","BWI","06:00","05:59","100","82","-1","06:10","11","0","0","0","0","0"
"WN","12/02/2022","2111","N295WN","BWI","16:40","16:34","95","84","-6","16:44","10","0","0","0","0","0"
"WN","12/02/2022","2933","N8645A","BWI","11:00","10:57","90","80","-3","11:04","7","0","0","0","0","0"
"WN","12/02/2022","3345","N8320J","MDW","18:30","18:21","155","152","-9","18:32","11","0","0","0","0","0"
"WN","12/02/2022","3420","N7745A","MDW","05:30","05:25","165","145","-5","05:38","13","0","0","0","0","0"
"WN","12/02/2023","0700","N8513F","BWI","13:35","13:31","90","87","-4","13:39","8","0","0","0","0","0"
"WN","12/02/2023","1435","N244WN","MCO","12:15","12:10","195","203","-5","12:18","8","0","0","0","0","0"
"WN","12/02/2023","1472","N7748A","BWI","06:05","06:08","95","93","3","06:20","12","0","0","0","0","0"
"WN","12/02/2023","1723","N969WN","TPA","14:40","14:47","205","208","7","14:56","9","0","0","0","0","0"
"WN","12/02/2023","2195","N427WN","MCO","16:35","16:31","200","196","-4","16:40","9","0","0","0","0","0"
"WN","12/02/2023","2394","N565WN","BWI","17:30","17:19","100","92","-11","17:28","9","0","0","0","0","0"
"WN","12/02/2023","3411","N415WN","MDW","15:40","15:32","155","160","-8","15:40","8","0","0","0","0","0"
"WN","12/03/2021","0975","N8629A","MCO","16:50","16:57","205","198","7","17:08","11","0","0","0","0","0"
"WN","12/03/2021","3016","N551WN","BWI","15:20","15:12","100","86","-8","15:20","8","0","0","0","0","0"
"WN","12/03/2021","3472","N8545V","MDW","18:00","17:53","160","151","-7","18:00","7","0","0","0","0","0"
"WN","12/03/2021","5149","N922WN","BWI","12:20","12:19","100","90","-1","12:31","12","0","0","0","0","0"
"WN","12/03/2021","5310","N268WN","BWI","10:35","10:27","95","84","-8","10:34","7","0","0","0","0","0"
"WN","12/03/2021","5904","N8582Z","BWI","06:05","06:05","100","105","0","06:36","31","0","0","0","0","0"
"WN","12/03/2022","0471","N453WN","BWI","12:55","12:49","95","87","-6","12:58","9","0","0","0","0","0"
"WN","12/03/2022","0523","N746SW","BWI","05:05","04:59","110","104","-6","05:09","10","0","0","0","0","0"
"WN","12/03/2022","0713","N8657B","BWI","09:55","09:49","95","88","-6","09:59","10","0","0","0","0","0"
"WN","12/03/2022","0976","N925WN","MCO","19:25","19:35","200","181","10","19:48","13","0","0","0","0","0"
"WN","12/03/2022","1252","N912WN","MCO","06:00","05:58","210","198","-2","06:09","11","0","0","0","0","0"
"WN","12/03/2022","2346","N8546V","TPA","14:25","14:37","205","192","12","14:46","9","0","0","0","0","0"
"WN","12/03/2022","2909","N276WN","BWI","16:15","16:10","100","95","-5","16:24","14","0","0","0","0","0"
"WN","12/03/2022","3345","N281WN","MDW","18:00","18:16","155","151","16","18:26","10","0","0","0","0","0"
"WN","12/03/2023","0233","N7885A","MDW","17:25","19:55","160","153","150","20:02","7","0","0","0","0","143"
"WN","12/03/2023","0375","N400WN","BWI","06:10","06:03","100","91","-7","06:12","9","0","0","0","0","0"
"WN","12/03/2023","1766","N476WN","BWI","13:45","13:38","100","91","-7","13:46","8","0","0","0","0","0"
"WN","12/03/2023","2195","N932WN","MCO","15:15","15:23","200","216","8","15:38","15","8","0","16","0","0"
"WN","12/03/2023","2246","N476WN","BWI","18:30","18:24","95","101","-6","18:37","13","0","0","0","0","0"
"WN","12/03/2023","2313","N419WN","BWI","11:40","11:42","90","101","2","11:51","9","0","0","0","0","0"
"WN","12/03/2023","2394","N8316H","BWI","16:25","16:24","100","96","-1","16:36","12","0","0","0","0","0"
"WN","12/04/2021","0049","N8693A","MCO","12:50","12:59","200","188","9","13:06","7","0","0","0","0","0"
