Detailed Statistics Departures  
Origin Airport: Marquette, MI: Marquette Sawyer Regional (MQT)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4258","N461SW","MSP","18:25","18:19","94","72","-6","18:27","8","0","0","0","0","0"
"OO","12/01/2021","4330","N498CA","DTW","06:20","06:22","94","82","2","06:42","20","0","0","0","0","0"
"OO","12/02/2021","4258","N461SW","MSP","18:25","18:22","94","72","-3","18:31","9","0","0","0","0","0"
"OO","12/02/2021","4328","N923EV","DTW","11:22","11:21","87","82","-1","11:43","22","0","0","0","0","0"
"OO","12/02/2021","4330","N477CA","DTW","06:20","06:18","94","68","-2","06:29","11","0","0","0","0","0"
"OO","12/03/2021","4258","N878AS","MSP","18:25","18:21","94","108","-4","18:55","34","0","0","0","0","0"
"OO","12/03/2021","4328","N923EV","DTW","11:22","11:42","87","95","20","12:16","34","0","28","0","0","0"
"OO","12/03/2021","4330","N878AS","DTW","06:20","06:20","94","75","0","06:40","20","0","0","0","0","0"
"OO","12/04/2021","4258","N917EV","MSP","18:25","18:20","94","101","-5","18:51","31","0","0","0","0","0"
"OO","12/04/2021","4330","N921EV","DTW","06:20","06:20","94","85","0","06:50","30","0","0","0","0","0"
"OO","12/05/2021","4258","N878AS","MSP","18:25","18:24","98","102","-1","19:02","38","0","0","0","0","0"
"OO","12/05/2021","4328","N926EV","DTW","11:22","11:26","87","88","4","11:45","19","0","0","0","0","0"
"OO","12/05/2021","4330","N448SW","DTW","06:10","06:09","87","87","-1","06:36","27","0","0","0","0","0"
"OO","12/06/2021","4258","N461SW","MSP","18:25","18:55","98","77","30","19:03","8","0","0","0","0","0"
"OO","12/06/2021","4328","N885AS","DTW","11:22","11:14","87","89","-8","11:43","29","0","0","0","0","0"
"OO","12/06/2021","4330","N885AS","DTW","06:10","06:09","87","105","-1","06:49","40","17","0","0","0","0"
"OO","12/07/2021","4258","N926EV","MSP","18:25","18:20","98","69","-5","18:26","6","0","0","0","0","0"
"OO","12/07/2021","4330","N447SW","DTW","06:10","08:02","87","90","112","08:31","29","115","0","0","0","0"
"OO","12/08/2021","4258","N873AS","MSP","18:25","18:20","98","68","-5","18:27","7","0","0","0","0","0"
"OO","12/08/2021","4330","N921EV","DTW","06:10","06:07","87","100","-3","06:43","36","0","0","0","0","0"
"OO","12/09/2021","4258","N447SW","MSP","18:25","18:12","98","112","-13","18:56","44","0","0","0","0","0"
"OO","12/09/2021","4328","N922EV","DTW","11:22","11:22","87","94","0","11:54","32","0","0","0","0","0"
"OO","12/09/2021","4330","N922EV","DTW","06:10","06:26","87","80","16","06:45","19","0","0","0","0","0"
"OO","12/10/2021","4258","N919EV","MSP","18:25","00:00","98","0","0","00:00","0","0","0","0","0","0"
"OO","12/10/2021","4328","N448SW","DTW","11:22","11:50","87","72","28","11:58","8","0","0","0","0","0"
"OO","12/10/2021","4330","N885AS","DTW","06:10","06:10","87","90","0","06:36","26","0","0","0","0","0"
"OO","12/11/2021","4258","N922EV","MSP","18:25","20:24","97","70","119","20:35","11","92","0","0","0","0"
"OO","12/11/2021","4330","N923EV","DTW","06:10","12:25","86","108","375","13:09","44","0","397","0","0","0"
"OO","12/12/2021","4258","N439SW","MSP","18:25","18:22","98","83","-3","18:34","12","0","0","0","0","0"
"OO","12/12/2021","4328","N926EV","DTW","11:22","11:26","87","71","4","11:35","9","0","0","0","0","0"
"OO","12/12/2021","4330","N921EV","DTW","06:10","06:42","87","91","32","07:07","25","36","0","0","0","0"
"OO","12/13/2021","4258","N922EV","MSP","18:25","18:15","98","73","-10","18:21","6","0","0","0","0","0"
"OO","12/13/2021","4328","N921EV","DTW","11:22","12:20","87","65","58","12:29","9","36","0","0","0","0"
"OO","12/13/2021","4330","N923EV","DTW","06:10","06:09","87","90","-1","06:38","29","0","0","0","0","0"
"OO","12/14/2021","4258","N931EV","MSP","18:25","18:17","98","75","-8","18:27","10","0","0","0","0","0"
"OO","12/14/2021","4330","N448SW","DTW","06:10","06:10","87","87","0","06:37","27","0","0","0","0","0"
"OO","12/15/2021","4258","N702BR","MSP","18:25","00:00","98","0","0","00:00","0","0","0","0","0","0"
"OO","12/15/2021","4330","N919EV","DTW","06:10","06:08","87","87","-2","06:27","19","0","0","0","0","0"
"OO","12/16/2021","4258","N439SW","MSP","18:25","00:00","98","0","0","00:00","0","0","0","0","0","0"
"OO","12/16/2021","4328","N878AS","DTW","11:22","11:22","87","75","0","11:34","12","0","0","0","0","0"
"OO","12/16/2021","4330","N448SW","DTW","06:10","00:00","87","0","0","00:00","0","0","0","0","0","0"
"OO","12/17/2021","4258","N447SW","MSP","18:25","18:22","98","91","-3","18:40","18","0","0","0","0","0"
"OO","12/17/2021","4328","N461SW","DTW","11:22","14:13","87","86","171","14:40","27","170","0","0","0","0"
"OO","12/17/2021","4330","N931EV","DTW","06:10","00:00","87","0","0","00:00","0","0","0","0","0","0"
"OO","12/18/2021","4258","N448SW","MSP","18:25","18:20","98","80","-5","18:44","24","0","0","0","0","0"
"OO","12/18/2021","4330","N878AS","DTW","06:15","06:09","87","100","-6","06:40","31","0","0","0","0","0"
"OO","12/19/2021","4258","N702BR","MSP","18:25","18:15","98","76","-10","18:27","12","0","0","0","0","0"
"OO","12/19/2021","4328","N878AS","DTW","11:22","11:19","87","73","-3","11:28","9","0","0","0","0","0"
"OO","12/19/2021","4330","N885AS","DTW","06:15","06:14","87","89","-1","06:38","24","0","0","0","0","0"
"OO","12/20/2021","4258","N919EV","MSP","18:25","18:15","98","111","-10","18:39","24","0","0","0","0","0"
"OO","12/20/2021","4328","N885AS","DTW","11:22","11:17","87","76","-5","11:33","16","0","0","0","0","0"
