Detailed Statistics Departures  
Origin Airport: Medford, OR: Rogue Valley International - Medford (MFR)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2091","N430QX","SEA","13:46","13:39","94","98","-7","14:02","23","0","0","0","0","0"
"QX","12/01/2021","2418","N427QX","SEA","08:40","08:33","94","98","-7","08:47","14","0","0","0","0","0"
"QX","12/01/2022","2051","N630QX","SEA","13:45","13:47","84","98","2","13:59","12","0","0","16","0","0"
"QX","12/01/2022","2098","N453QX","PDX","09:40","09:42","63","55","2","09:50","8","0","0","0","0","0"
"QX","12/01/2022","2122","N453QX","PDX","17:40","17:34","63","83","-6","17:58","24","0","0","0","0","0"
"QX","12/01/2022","2185","N627QX","SEA","08:45","08:39","87","89","-6","09:03","24","0","0","0","0","0"
"QX","12/01/2022","2338","N627QX","SEA","18:45","18:37","85","79","-8","18:48","11","0","0","0","0","0"
"QX","12/01/2022","2452","N635QX","SEA","05:15","05:11","88","77","-4","05:29","18","0","0","0","0","0"
"QX","12/01/2023","2017","N622QX","LAX","07:20","07:16","133","117","-4","07:27","11","0","0","0","0","0"
"QX","12/01/2023","2072","N620QX","SEA","11:44","11:43","92","83","-1","11:53","10","0","0","0","0","0"
"QX","12/01/2023","2089","N660QX","SEA","18:55","18:50","89","82","-5","19:01","11","0","0","0","0","0"
"QX","12/01/2023","2098","N627QX","PDX","07:00","06:52","67","66","-8","07:03","11","0","0","0","0","0"
"QX","12/01/2023","2185","N637QX","SEA","05:00","04:58","87","96","-2","05:07","9","0","0","0","0","0"
"QX","12/01/2023","2416","N620QX","SEA","16:10","16:04","89","85","-6","16:18","14","0","0","0","0","0"
"QX","12/02/2021","2091","N434MK","SEA","13:46","15:04","94","82","78","15:15","11","66","0","0","0","0"
"QX","12/02/2021","2220","N401QX","SEA","11:31","11:26","94","88","-5","11:37","11","0","0","0","0","0"
"QX","12/02/2021","2418","N427QX","SEA","08:40","08:36","94","88","-4","08:47","11","0","0","0","0","0"
"QX","12/02/2022","2051","N627QX","SEA","13:45","14:12","84","78","27","14:25","13","0","0","0","0","21"
"QX","12/02/2022","2098","N451QX","PDX","09:40","09:34","63","60","-6","09:41","7","0","0","0","0","0"
"QX","12/02/2022","2122","N443QX","PDX","17:40","17:33","63","66","-7","17:42","9","0","0","0","0","0"
"QX","12/02/2022","2185","N405QX","SEA","08:45","08:52","87","113","7","09:17","25","7","0","26","0","0"
"QX","12/02/2022","2338","N622QX","SEA","18:45","18:46","85","110","1","18:57","11","0","0","26","0","0"
