Detailed Statistics Departures  
Origin Airport: Medford, OR: Rogue Valley International - Medford (MFR)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/15/2022","5819","N951LR","PHX","15:30","16:25","137","128","55","16:41","16","0","0","0","0","46"
"YV","12/16/2021","5790","N911FJ","PHX","15:06","15:17","133","124","11","15:26","9","0","0","0","0","0"
"YV","12/16/2022","5819","N930LR","PHX","15:30","15:25","137","131","-5","15:35","10","0","0","0","0","0"
"YV","12/16/2022","5883","N930LR","PHX","08:45","08:38","137","147","-7","09:09","31","0","0","0","0","0"
"YV","12/17/2021","5790","N246LR","PHX","15:06","14:58","133","127","-8","15:06","8","0","0","0","0","0"
"YV","12/17/2022","5819","N918FJ","PHX","15:30","15:23","137","139","-7","15:39","16","0","0","0","0","0"
"YV","12/17/2022","5883","N950LR","PHX","08:45","08:38","137","143","-7","09:03","25","0","0","0","0","0"
"YV","12/18/2021","5790","N904FJ","PHX","15:06","15:16","133","125","10","15:25","9","0","0","0","0","0"
"YV","12/18/2022","5819","N927LR","PHX","15:30","15:23","137","141","-7","15:43","20","0","0","0","0","0"
"YV","12/18/2022","5883","N927LR","PHX","08:45","08:37","137","154","-8","09:06","29","0","0","0","0","0"
"YV","12/19/2021","5790","N930LR","PHX","15:06","00:00","133","0","0","00:00","0","0","0","0","0","0"
"YV","12/19/2022","5819","N905J","PHX","15:30","15:30","137","127","0","15:47","17","0","0","0","0","0"
"YV","12/19/2022","5883","N930LR","PHX","08:45","08:43","137","131","-2","09:04","21","0","0","0","0","0"
"YV","12/20/2021","5790","N928LR","PHX","15:06","19:16","133","129","250","19:27","11","9","0","0","0","237"
"YV","12/20/2022","5819","N943LR","PHX","15:30","15:27","137","134","-3","15:51","24","0","0","0","0","0"
"YV","12/20/2022","5883","N943LR","PHX","08:45","08:37","137","134","-8","08:57","20","0","0","0","0","0"
"YV","12/21/2021","5790","N934FJ","PHX","15:06","15:10","133","125","4","15:23","13","0","0","0","0","0"
"YV","12/21/2022","5819","N919FJ","PHX","15:30","17:38","137","161","128","18:17","39","1","0","24","0","127"
"YV","12/21/2022","5883","N934FJ","PHX","08:45","08:35","137","117","-10","08:46","11","0","0","0","0","0"
"YV","12/22/2021","5790","N242LR","PHX","15:06","15:16","133","137","10","15:33","17","0","0","0","0","0"
"YV","12/22/2022","5819","N950LR","PHX","15:30","16:44","137","145","74","17:09","25","0","0","8","0","74"
"YV","12/22/2022","5883","N918FJ","PHX","08:45","08:39","137","125","-6","08:52","13","0","0","0","0","0"
"YV","12/23/2021","5790","N952LR","PHX","15:06","15:00","133","129","-6","15:11","11","0","0","0","0","0"
"YV","12/23/2022","5819","N951LR","PHX","15:30","15:24","137","126","-6","15:40","16","0","0","0","0","0"
"YV","12/23/2022","5883","N951LR","PHX","08:45","08:34","137","121","-11","08:45","11","0","0","0","0","0"
"YV","12/24/2021","5870","N915FJ","PHX","12:00","12:19","133","133","19","12:34","15","19","0","0","0","0"
