Detailed Statistics Departures  
Origin Airport: Medford, OR: Rogue Valley International - Medford (MFR)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","2397","N76502","DEN","05:15","05:13","152","138","-2","05:28","15","0","0","0","0","0"
"UA","12/01/2022","1936","N17244","DEN","05:17","05:23","155","132","6","05:34","11","0","0","0","0","0"
"UA","12/01/2023","0369","N76508","DEN","05:20","05:14","155","137","-6","05:24","10","0","0","0","0","0"
"UA","12/01/2023","1847","N17233","SFO","14:11","14:02","89","83","-9","14:24","22","0","0","0","0","0"
"UA","12/01/2023","2447","N817UA","DEN","13:03","12:52","156","137","-11","13:03","11","0","0","0","0","0"
"UA","12/02/2021","2397","N34222","DEN","05:15","09:03","152","155","228","09:22","19","52","0","3","0","176"
"UA","12/02/2022","1936","N14242","DEN","05:17","05:15","155","157","-2","05:53","38","0","0","0","0","0"
"UA","12/02/2023","0369","N77536","DEN","05:20","05:16","155","138","-4","05:27","11","0","0","0","0","0"
"UA","12/02/2023","1847","N14228","SFO","14:11","14:26","89","77","15","14:45","19","0","0","0","0","0"
"UA","12/02/2023","2447","N879UA","DEN","13:03","13:16","156","175","13","14:04","48","0","0","19","0","13"
"UA","12/03/2021","2397","N78506","DEN","05:15","05:27","152","143","12","05:39","12","0","0","0","0","0"
"UA","12/03/2022","1936","N76288","DEN","05:17","05:33","155","133","16","05:44","11","0","0","0","0","0"
"UA","12/03/2023","0369","N73270","DEN","05:20","05:16","155","142","-4","05:28","12","0","0","0","0","0"
"UA","12/03/2023","1847","N18220","SFO","14:11","14:07","89","82","-4","14:29","22","0","0","0","0","0"
"UA","12/03/2023","2447","N821UA","DEN","13:03","12:56","156","131","-7","13:06","10","0","0","0","0","0"
"UA","12/04/2021","0784","N33294","DEN","05:15","05:20","152","132","5","05:29","9","0","0","0","0","0"
"UA","12/04/2022","1936","N35236","DEN","05:17","05:18","155","139","1","05:34","16","0","0","0","0","0"
"UA","12/04/2023","0369","N77510","DEN","05:20","05:14","155","137","-6","05:27","13","0","0","0","0","0"
"UA","12/04/2023","1847","N76505","SFO","14:11","14:04","89","79","-7","14:22","18","0","0","0","0","0"
"UA","12/04/2023","2447","N884UA","DEN","13:03","15:04","156","148","121","15:19","15","21","0","0","0","92"
"UA","12/05/2021","0784","N14219","DEN","05:15","05:12","152","141","-3","05:26","14","0","0","0","0","0"
"UA","12/05/2022","1936","N36272","DEN","05:17","05:09","155","133","-8","05:23","14","0","0","0","0","0"
"UA","12/05/2023","0369","N78509","DEN","05:20","05:20","155","153","0","05:43","23","0","0","0","0","0"
"UA","12/05/2023","1847","N24224","SFO","14:11","14:16","89","79","5","14:34","18","0","0","0","0","0"
"UA","12/05/2023","2447","N895UA","DEN","13:03","14:07","156","148","64","14:21","14","3","0","0","0","53"
"UA","12/06/2021","0784","N26226","DEN","05:15","05:15","152","136","0","05:29","14","0","0","0","0","0"
"UA","12/06/2022","1936","N37252","DEN","05:17","05:12","155","146","-5","05:34","22","0","0","0","0","0"
"UA","12/06/2023","0369","N79541","DEN","05:20","11:45","155","140","385","12:01","16","0","0","0","0","370"
"UA","12/06/2023","1847","N35260","SFO","14:11","14:07","89","109","-4","14:53","46","0","0","16","0","0"
"UA","12/06/2023","2447","N831UA","DEN","13:03","13:20","156","134","17","13:30","10","0","0","0","0","0"
"UA","12/07/2021","0784","N27246","DEN","05:15","05:08","152","152","-7","05:32","24","0","0","0","0","0"
"UA","12/07/2022","1936","N12218","DEN","05:17","05:12","155","165","-5","05:47","35","0","0","0","0","0"
"UA","12/07/2023","0369","N27205","DEN","05:20","05:16","155","130","-4","05:30","14","0","0","0","0","0"
"UA","12/07/2023","1847","N78285","SFO","14:11","14:01","89","80","-10","14:12","11","0","0","0","0","0"
