Detailed Statistics Departures  
Origin Airport: Melbourne, FL: Melbourne International (MLB)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0325","191NV","BNA","14:45","14:40","125","116","-5","14:51","11","0","0","0","0","0"
"G4","12/01/2023","0162","222NV","ABE","11:42","11:30","159","138","-12","11:43","13","0","0","0","0","0"
"G4","12/02/2021","0606","322NV","BNA","21:31","21:37","115","118","6","21:48","11","0","0","0","0","0"
"G4","12/02/2021","2127","326NV","PIT","17:21","17:02","134","142","-19","17:15","13","0","0","0","0","0"
"G4","12/02/2021","2485","221NV","USA","11:59","11:52","93","100","-7","12:06","14","0","0","0","0","0"
"G4","12/02/2022","2742","332NV","PIT","11:37","11:26","130","144","-11","11:44","18","0","0","0","0","0"
"G4","12/03/2023","1121","293NV","PIT","11:43","11:29","139","137","-14","11:52","23","0","0","0","0","0"
"G4","12/03/2023","1956","249NV","BNA","10:43","10:20","128","119","-23","10:33","13","0","0","0","0","0"
"G4","12/04/2022","0325","191NV","BNA","14:45","14:46","125","124","1","14:57","11","0","0","0","0","0"
"G4","12/04/2023","0162","242NV","ABE","11:42","11:27","159","139","-15","11:36","9","0","0","0","0","0"
"G4","12/05/2021","0606","323NV","BNA","21:31","21:33","115","118","2","21:44","11","0","0","0","0","0"
"G4","12/05/2021","2127","326NV","PIT","17:21","17:10","134","136","-11","17:22","12","0","0","0","0","0"
"G4","12/05/2021","2485","244NV","USA","11:59","11:55","93","99","-4","12:06","11","0","0","0","0","0"
"G4","12/05/2022","1145","332NV","PIT","11:37","11:35","130","142","-2","11:50","15","0","0","0","0","0"
"G4","12/07/2023","0316","254NV","BNA","11:09","11:09","128","142","0","11:41","32","0","0","0","0","0"
"G4","12/07/2023","2746","251NV","PIT","12:13","12:00","143","137","-13","12:11","11","0","0","0","0","0"
"G4","12/08/2022","0360","191NV","BNA","14:49","14:36","121","120","-13","14:47","11","0","0","0","0","0"
"G4","12/08/2023","0204","216NV","ABE","17:47","17:18","159","149","-29","17:31","13","0","0","0","0","0"
"G4","12/09/2021","0606","323NV","BNA","21:31","22:03","115","127","32","22:22","19","0","0","12","0","32"
"G4","12/09/2021","2127","329NV","PIT","17:21","17:40","134","156","19","17:53","13","19","0","22","0","0"
"G4","12/09/2021","2485","244NV","USA","11:59","11:41","93","104","-18","11:54","13","0","0","0","0","0"
"G4","12/09/2022","2744","306NV","PIT","11:33","11:41","143","145","8","11:56","15","0","0","0","0","0"
"G4","12/10/2023","0356","254NV","BNA","11:09","12:54","128","129","105","13:17","23","0","0","106","0","0"
"G4","12/10/2023","1129","251NV","PIT","12:13","14:30","143","127","137","14:47","17","76","0","0","0","45"
"G4","12/11/2022","0360","278NV","BNA","14:49","14:59","121","131","10","15:15","16","0","0","10","0","10"
"G4","12/11/2023","1826","216NV","ABE","17:47","17:27","159","145","-20","17:40","13","0","0","0","0","0"
"G4","12/12/2021","0606","322NV","BNA","21:31","21:20","115","109","-11","21:27","7","0","0","0","0","0"
"G4","12/12/2021","2127","326NV","PIT","17:21","17:15","134","139","-6","17:27","12","0","0","0","0","0"
"G4","12/12/2021","2485","244NV","USA","11:59","11:53","93","94","-6","12:00","7","0","0","0","0","0"
"G4","12/12/2022","1145","306NV","PIT","11:33","11:27","143","145","-6","11:47","20","0","0","0","0","0"
"G4","12/14/2023","0316","254NV","BNA","11:09","10:56","128","121","-13","11:10","14","0","0","0","0","0"
"G4","12/14/2023","2746","251NV","PIT","12:13","11:58","143","139","-15","12:09","11","0","0","0","0","0"
"G4","12/15/2023","0204","222NV","ABE","17:47","17:51","159","160","4","18:07","16","0","0","0","0","0"
"G4","12/16/2021","0603","322NV","BNA","12:30","12:30","115","119","0","12:43","13","0","0","0","0","0"
"G4","12/16/2021","2052","326NV","PIT","09:27","09:15","134","132","-12","09:28","13","0","0","0","0","0"
"G4","12/16/2021","2436","222NV","USA","17:46","19:22","93","94","96","19:35","13","96","0","1","0","0"
"G4","12/16/2022","0336","337NV","BNA","19:17","23:31","121","144","254","23:48","17","133","0","23","0","121"
"G4","12/17/2022","1140","301NV","PIT","21:03","21:15","143","124","12","21:23","8","0","0","0","0","0"
"G4","12/17/2023","0356","254NV","BNA","11:09","11:07","128","110","-2","11:17","10","0","0","0","0","0"
"G4","12/17/2023","1129","251NV","PIT","12:13","12:12","143","118","-1","12:21","9","0","0","0","0","0"
"G4","12/18/2023","1826","242NV","ABE","17:47","17:36","159","143","-11","17:46","10","0","0","0","0","0"
"G4","12/19/2021","2125","334NV","PIT","09:27","13:01","134","127","214","13:12","11","187","0","0","0","20"
"G4","12/19/2021","2436","222NV","USA","17:48","19:11","93","92","83","19:20","9","58","0","0","0","24"
"G4","12/19/2022","0332","314NV","BNA","19:17","19:13","121","129","-4","19:33","20","0","0","0","0","0"
"G4","12/20/2021","0628","322NV","BNA","11:15","11:51","115","121","36","12:08","17","0","0","6","0","36"
"G4","12/20/2022","1116","327NV","PIT","13:05","12:59","143","133","-6","13:10","11","0","0","0","0","0"
"G4","12/21/2023","0306","249NV","BNA","10:29","10:24","128","120","-5","10:39","15","0","0","0","0","0"
