Detailed Statistics Departures  
Origin Airport: Austin, TX: Austin - Bergstrom International (AUS)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4650","N391CA","CVG","10:30","10:20","140","145","-10","10:37","17","0","0","0","0","0"
"9E","12/01/2022","4650","N348PQ","CVG","10:06","09:52","145","152","-14","10:16","24","0","0","0","0","0"
"9E","12/01/2022","4672","N933XJ","RDU","14:06","14:01","163","167","-5","14:19","18","0","0","0","0","0"
"9E","12/01/2023","5009","N319PQ","RDU","09:50","13:31","170","151","221","13:45","14","0","0","0","0","202"
"9E","12/01/2023","5354","N326PQ","CVG","10:35","10:27","155","134","-8","10:45","18","0","0","0","0","0"
"9E","12/02/2021","4650","N311PQ","CVG","10:30","10:30","140","148","0","10:49","19","0","0","0","0","0"
"9E","12/02/2022","4650","N292PQ","CVG","10:06","10:00","145","146","-6","10:17","17","0","0","0","0","0"
"9E","12/02/2022","4672","N600LR","RDU","14:06","13:58","163","158","-8","14:10","12","0","0","0","0","0"
"9E","12/02/2023","5177","N187GJ","RDU","10:35","10:34","167","161","-1","10:51","17","0","0","0","0","0"
"9E","12/03/2021","4650","N602LR","CVG","10:30","10:27","140","147","-3","10:43","16","0","0","0","0","0"
"9E","12/03/2023","5009","N933XJ","RDU","09:50","10:55","170","153","65","11:19","24","0","0","0","0","48"
"9E","12/03/2023","5354","N341PQ","CVG","10:35","10:57","155","132","22","11:24","27","0","0","0","0","0"
"9E","12/04/2021","4650","N313PQ","CVG","10:30","10:20","140","140","-10","10:32","12","0","0","0","0","0"
"9E","12/04/2022","4650","N905XJ","CVG","10:06","10:04","145","144","-2","10:21","17","0","0","0","0","0"
"9E","12/04/2022","4672","N602LR","RDU","14:06","14:00","163","163","-6","14:16","16","0","0","0","0","0"
"9E","12/04/2023","5009","N335PQ","RDU","09:50","09:53","170","173","3","10:22","29","0","0","0","0","0"
"9E","12/04/2023","5354","N913XJ","CVG","10:35","10:49","155","135","14","11:04","15","0","0","0","0","0"
"9E","12/05/2021","4650","N183GJ","CVG","10:40","10:35","144","141","-5","10:47","12","0","0","0","0","0"
"9E","12/05/2021","5341","N604LR","RDU","13:25","13:22","160","167","-3","13:42","20","0","0","0","0","0"
"9E","12/05/2022","4650","N146PQ","CVG","10:06","10:37","145","136","31","10:53","16","22","0","0","0","0"
"9E","12/05/2022","4672","N341PQ","RDU","14:06","14:01","163","163","-5","14:21","20","0","0","0","0","0"
"9E","12/05/2023","5432","N348PQ","RDU","10:35","10:29","167","163","-6","10:57","28","0","0","0","0","0"
"9E","12/06/2021","4650","N929XJ","CVG","10:40","10:37","144","140","-3","11:00","23","0","0","0","0","0"
"9E","12/06/2021","5341","N166PQ","RDU","13:25","18:45","160","160","320","19:08","23","0","0","0","0","320"
"9E","12/06/2022","4672","N182GJ","RDU","14:06","13:59","163","160","-7","14:12","13","0","0","0","0","0"
"9E","12/06/2023","5354","N907XJ","CVG","10:35","10:30","155","153","-5","10:49","19","0","0","0","0","0"
"9E","12/06/2023","5432","N319PQ","RDU","09:50","09:44","170","170","-6","10:03","19","0","0","0","0","0"
"9E","12/07/2021","4650","N299PQ","CVG","10:40","10:31","144","142","-9","10:50","19","0","0","0","0","0"
"9E","12/07/2021","5341","N166PQ","RDU","13:25","13:20","160","165","-5","13:40","20","0","0","0","0","0"
"9E","12/07/2022","4650","N691CA","CVG","10:06","10:01","145","145","-5","10:18","17","0","0","0","0","0"
"9E","12/07/2022","4672","N131EV","RDU","14:06","14:02","163","179","-4","14:27","25","0","0","0","0","0"
"9E","12/07/2023","5009","N181GJ","RDU","10:35","11:50","165","165","75","12:06","16","0","0","0","0","75"
"9E","12/07/2023","5195","N232PQ","RDU","17:42","17:37","169","171","-5","17:56","19","0","0","0","0","0"
"9E","12/07/2023","5347","N311PQ","CVG","13:25","13:15","145","133","-10","13:26","11","0","0","0","0","0"
