Detailed Statistics Departures  
Origin Airport: Memphis, TN: Memphis International (MEM)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6187","N89308","ORD","15:00","14:51","119","119","-9","15:00","9","0","0","0","0","0"
"YV","12/01/2022","6095","N86309","IAH","16:58","17:00","117","109","2","17:13","13","0","0","0","0","0"
"YV","12/01/2023","6095","N920FJ","IAH","16:44","16:38","117","143","-6","17:02","24","0","0","20","0","0"
"YV","12/01/2023","6160","N950LR","IAH","15:00","14:55","117","106","-5","15:14","19","0","0","0","0","0"
"YV","12/01/2023","6202","N951LR","IAH","11:55","11:54","115","117","-1","12:12","18","0","0","0","0","0"
"YV","12/02/2021","6187","N85356","ORD","15:00","14:59","119","112","-1","15:07","8","0","0","0","0","0"
"YV","12/02/2022","6095","N80348","IAH","16:58","16:58","117","94","0","17:07","9","0","0","0","0","0"
"YV","12/02/2023","6095","N930LR","IAH","16:44","16:47","117","113","3","17:03","16","0","0","0","0","0"
"YV","12/02/2023","6160","N87353","IAH","15:00","17:45","117","108","165","17:57","12","1","0","0","0","155"
"YV","12/02/2023","6202","N943LR","IAH","11:55","11:37","115","121","-18","11:58","21","0","0","0","0","0"
"YV","12/03/2021","6187","N88327","ORD","15:00","14:57","119","104","-3","15:14","17","0","0","0","0","0"
"YV","12/03/2022","6095","N86334","IAH","16:58","16:53","117","100","-5","17:10","17","0","0","0","0","0"
"YV","12/03/2023","6095","N950LR","IAH","16:44","17:47","117","104","63","18:00","13","0","0","0","0","50"
"YV","12/03/2023","6160","N944LR","IAH","15:00","16:08","117","99","68","16:26","18","50","0","0","0","0"
"YV","12/03/2023","6202","N245LR","IAH","11:55","11:49","115","116","-6","12:08","19","0","0","0","0","0"
"YV","12/04/2022","6095","N85351","IAH","16:58","17:54","117","122","56","18:23","29","0","0","61","0","0"
"YV","12/04/2023","6095","N905J","IAH","16:44","17:20","117","93","36","17:32","12","0","0","0","0","0"
"YV","12/04/2023","6160","N951LR","IAH","15:00","14:55","117","101","-5","15:10","15","0","0","0","0","0"
"YV","12/04/2023","6202","N948LR","IAH","11:55","11:40","115","96","-15","11:54","14","0","0","0","0","0"
"YV","12/05/2021","6187","N80343","ORD","15:00","15:00","119","122","0","15:11","11","0","0","0","0","0"
"YV","12/05/2022","6095","N88325","IAH","16:58","16:48","117","100","-10","16:59","11","0","0","0","0","0"
"YV","12/05/2023","6095","N249LR","IAH","16:44","16:41","117","117","-3","16:55","14","0","0","0","0","0"
"YV","12/05/2023","6160","N944LR","IAH","15:00","14:57","117","108","-3","15:23","26","0","0","0","0","0"
"YV","12/05/2023","6202","N934FJ","IAH","11:55","11:44","115","101","-11","11:58","14","0","0","0","0","0"
"YV","12/06/2021","6187","N88359","ORD","15:00","15:00","119","123","0","15:26","26","0","0","0","0","0"
"YV","12/06/2022","6095","N82333","IAH","16:58","16:51","117","112","-7","17:00","9","0","0","0","0","0"
"YV","12/06/2023","6095","N950LR","IAH","16:44","17:01","117","100","17","17:16","15","0","0","0","0","0"
"YV","12/06/2023","6160","N244LR","IAH","15:00","14:52","117","106","-8","15:08","16","0","0","0","0","0"
"YV","12/06/2023","6202","N947LR","IAH","11:55","11:48","115","105","-7","12:06","18","0","0","0","0","0"
"YV","12/07/2021","6187","N86316","ORD","15:00","15:00","119","116","0","15:22","22","0","0","0","0","0"
"YV","12/07/2022","6095","N86344","IAH","16:58","16:49","117","96","-9","17:00","11","0","0","0","0","0"
"YV","12/07/2023","6095","N948LR","IAH","16:44","16:44","117","112","0","17:02","18","0","0","0","0","0"
"YV","12/07/2023","6160","N946LR","IAH","15:00","14:56","117","116","-4","15:13","17","0","0","0","0","0"
"YV","12/07/2023","6202","N241LR","IAH","11:55","11:45","115","107","-10","11:59","14","0","0","0","0","0"
"YV","12/08/2021","6187","N89317","ORD","15:00","15:12","119","130","12","15:50","38","0","0","0","0","23"
"YV","12/08/2022","6095","N87302","IAH","16:58","16:49","117","104","-9","17:02","13","0","0","0","0","0"
"YV","12/08/2023","6095","N943LR","IAH","16:44","16:43","117","132","-1","17:02","19","0","0","0","0","0"
"YV","12/08/2023","6160","N944LR","IAH","15:00","15:45","117","96","45","16:00","15","4","0","0","0","20"
"YV","12/08/2023","6202","N905J","IAH","11:55","11:51","115","101","-4","12:07","16","0","0","0","0","0"
"YV","12/09/2021","6187","N87319","ORD","15:00","15:07","119","119","7","15:20","13","0","0","0","0","0"
"YV","12/09/2022","6095","N88335","IAH","16:58","17:03","117","97","5","17:16","13","0","0","0","0","0"
"YV","12/09/2023","6095","N244LR","IAH","16:44","16:40","117","139","-4","16:55","15","0","0","18","0","0"
"YV","12/09/2023","6202","N933LR","IAH","11:55","12:39","115","102","44","12:55","16","6","0","0","0","25"
"YV","12/10/2021","6187","N87345","ORD","15:00","14:59","119","107","-1","15:21","22","0","0","0","0","0"
"YV","12/10/2022","6095","N85351","IAH","16:58","16:56","117","112","-2","17:25","29","0","0","0","0","0"
"YV","12/10/2023","6095","N249LR","IAH","16:44","16:53","117","124","9","17:22","29","0","0","7","0","9"
"YV","12/10/2023","6202","N946LR","IAH","11:55","11:50","115","122","-5","12:10","20","0","0","0","0","0"
"YV","12/11/2022","6095","N86347","IAH","16:58","16:51","117","92","-7","17:02","11","0","0","0","0","0"
"YV","12/11/2023","6095","N914FJ","IAH","16:44","16:44","117","121","0","17:08","24","0","0","0","0","0"
"YV","12/11/2023","6160","N920FJ","IAH","15:00","14:56","117","105","-4","15:07","11","0","0","0","0","0"
"YV","12/11/2023","6202","N922FJ","IAH","11:55","12:51","115","100","56","13:09","18","5","0","0","0","36"
