Detailed Statistics Departures  
Origin Airport: Memphis, TN: Memphis International (MEM)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4640","N490PX","LGA","11:00","10:55","145","147","-5","11:06","11","0","0","0","0","0"
"9E","12/01/2021","5050","N479PX","LGA","06:00","06:00","145","149","0","06:09","9","0","0","0","0","0"
"9E","12/01/2021","5492","N921XJ","LGA","17:00","17:03","145","174","3","17:21","18","0","0","32","0","0"
"9E","12/01/2022","4766","N914XJ","LGA","12:05","12:04","159","164","-1","12:35","31","0","0","0","0","0"
"9E","12/01/2022","5132","N920XJ","LGA","06:00","05:57","159","157","-3","06:09","12","0","0","0","0","0"
"9E","12/01/2023","4879","N337PQ","LGA","06:00","06:01","159","145","1","06:13","12","0","0","0","0","0"
"9E","12/01/2023","4944","N478PX","LGA","17:59","17:54","167","140","-5","18:05","11","0","0","0","0","0"
"9E","12/02/2021","4640","N491PX","LGA","11:00","10:59","145","160","-1","11:11","12","0","0","0","0","0"
"9E","12/02/2021","5050","N919XJ","LGA","06:00","06:09","145","157","9","06:24","15","9","0","12","0","0"
"9E","12/02/2021","5492","N138EV","LGA","17:00","16:55","145","158","-5","17:15","20","0","0","0","0","0"
"9E","12/02/2022","4766","N936XJ","LGA","12:05","11:58","159","152","-7","12:12","14","0","0","0","0","0"
"9E","12/02/2022","5132","N915XJ","LGA","06:00","05:55","159","158","-5","06:08","13","0","0","0","0","0"
"9E","12/02/2023","5062","N137EV","ATL","09:00","08:53","85","67","-7","09:07","14","0","0","0","0","0"
"9E","12/02/2023","5371","N935XJ","LGA","14:41","16:18","164","129","97","16:27","9","57","0","0","0","5"
"9E","12/03/2021","4640","N915XJ","LGA","11:00","10:55","145","145","-5","11:08","13","0","0","0","0","0"
"9E","12/03/2021","5050","N482PX","LGA","06:00","05:56","145","148","-4","06:14","18","0","0","0","0","0"
"9E","12/03/2021","5492","N909XJ","LGA","17:00","16:57","145","155","-3","17:16","19","0","0","0","0","0"
"9E","12/03/2022","4766","N303PQ","LGA","11:40","11:32","154","145","-8","11:45","13","0","0","0","0","0"
"9E","12/03/2022","5058","N490PX","ATL","09:35","09:32","80","79","-3","09:50","18","0","0","0","0","0"
"9E","12/03/2023","4879","N176PQ","LGA","07:17","07:44","165","132","27","07:57","13","0","0","0","0","0"
"9E","12/03/2023","4944","N931XJ","LGA","17:59","18:53","167","156","54","19:22","29","3","0","0","0","40"
"9E","12/04/2021","5489","N920XJ","LGA","09:05","09:00","147","151","-5","09:13","13","0","0","0","0","0"
"9E","12/04/2022","5132","N490PX","LGA","07:30","07:25","157","140","-5","07:36","11","0","0","0","0","0"
"9E","12/04/2023","4879","N308PQ","LGA","06:00","05:57","159","155","-3","06:13","16","0","0","0","0","0"
"9E","12/04/2023","4944","N922XJ","LGA","17:59","17:57","167","145","-2","18:08","11","0","0","0","0","0"
"9E","12/05/2021","4640","N925XJ","LGA","11:25","11:20","154","145","-5","11:31","11","0","0","0","0","0"
"9E","12/05/2021","5309","N296PQ","LGA","17:00","16:55","155","160","-5","17:14","19","0","0","0","0","0"
"9E","12/05/2022","4766","N490PX","LGA","12:05","11:57","159","153","-8","12:10","13","0","0","0","0","0"
"9E","12/05/2022","5132","N916XJ","LGA","06:00","05:55","159","162","-5","06:07","12","0","0","0","0","0"
"9E","12/05/2023","4879","N302PQ","LGA","06:00","05:54","159","152","-6","06:08","14","0","0","0","0","0"
"9E","12/05/2023","4944","N480PX","LGA","17:59","18:36","167","152","37","18:57","21","0","0","0","0","22"
"9E","12/06/2021","4640","N480PX","LGA","11:25","11:24","154","158","-1","11:36","12","0","0","0","0","0"
"9E","12/06/2021","5050","N928XJ","LGA","06:00","06:01","162","141","1","06:19","18","0","0","0","0","0"
"9E","12/06/2021","5309","N319PQ","LGA","17:00","17:35","155","188","35","18:04","29","0","0","68","0","0"
"9E","12/06/2022","4766","N491PX","LGA","12:05","11:55","159","154","-10","12:11","16","0","0","0","0","0"
"9E","12/06/2022","5132","N922XJ","LGA","06:00","05:52","159","153","-8","06:16","24","0","0","0","0","0"
"9E","12/06/2023","4879","N605LR","LGA","06:00","05:55","159","178","-5","06:14","19","0","0","0","0","0"
"9E","12/06/2023","4944","N479PX","LGA","17:59","17:54","167","148","-5","18:04","10","0","0","0","0","0"
"9E","12/07/2021","4640","N482PX","LGA","11:25","11:15","154","139","-10","11:28","13","0","0","0","0","0"
"9E","12/07/2021","5050","N147PQ","LGA","06:00","05:54","162","155","-6","06:11","17","0","0","0","0","0"
"9E","12/07/2021","5309","N279PQ","LGA","17:00","16:55","155","146","-5","17:07","12","0","0","0","0","0"
"9E","12/07/2022","4766","N485PX","LGA","12:05","12:02","159","161","-3","12:20","18","0","0","0","0","0"
"9E","12/07/2022","5132","N920XJ","LGA","06:00","07:00","159","155","60","07:18","18","56","0","0","0","0"
"9E","12/07/2023","4879","N153PQ","LGA","06:00","05:55","170","157","-5","06:09","14","0","0","0","0","0"
"9E","12/07/2023","4944","N133EV","LGA","17:13","17:12","167","149","-1","17:27","15","0","0","0","0","0"
"9E","12/08/2021","4640","N912XJ","LGA","11:25","11:20","154","135","-5","11:28","8","0","0","0","0","0"
"9E","12/08/2021","5050","N922XJ","LGA","06:00","05:49","162","149","-11","06:04","15","0","0","0","0","0"
"9E","12/08/2021","5309","N292PQ","LGA","17:00","16:55","155","152","-5","17:08","13","0","0","0","0","0"
"9E","12/08/2022","4766","N917XJ","LGA","12:05","12:00","159","150","-5","12:13","13","0","0","0","0","0"
"9E","12/08/2022","5132","N915XJ","LGA","06:00","05:55","159","145","-5","06:13","18","0","0","0","0","0"
"9E","12/08/2023","4879","N272PQ","LGA","06:00","05:55","170","150","-5","06:07","12","0","0","0","0","0"
"9E","12/08/2023","4944","N302PQ","LGA","17:13","17:12","167","147","-1","17:25","13","0","0","0","0","0"
"9E","12/09/2021","4640","N918XJ","LGA","11:25","13:54","154","154","149","14:05","11","0","0","0","0","149"
"9E","12/09/2021","5050","N298PQ","LGA","06:00","05:56","162","140","-4","06:05","9","0","0","0","0","0"
"9E","12/09/2021","5309","N907XJ","LGA","17:00","16:56","155","150","-4","17:11","15","0","0","0","0","0"
"9E","12/09/2022","4766","N919XJ","LGA","12:05","12:02","159","150","-3","12:16","14","0","0","0","0","0"
"9E","12/09/2022","5132","N482PX","LGA","06:00","06:00","159","168","0","06:17","17","0","0","0","0","0"
"9E","12/09/2023","5062","N300PQ","ATL","09:00","08:55","85","69","-5","09:09","14","0","0","0","0","0"
"9E","12/09/2023","5422","N906XJ","LGA","14:51","14:46","162","152","-5","15:04","18","0","0","0","0","0"
"9E","12/10/2021","4640","N491PX","LGA","11:25","11:22","154","156","-3","11:32","10","0","0","0","0","0"
"9E","12/10/2021","5050","N918XJ","LGA","06:00","05:57","162","151","-3","06:07","10","0","0","0","0","0"
"9E","12/10/2021","5309","N936XJ","LGA","17:00","16:57","155","160","-3","17:12","15","0","0","0","0","0"
"9E","12/10/2022","4766","N918XJ","LGA","11:40","11:40","154","147","0","11:55","15","0","0","0","0","0"
"9E","12/10/2022","5058","N490PX","ATL","09:35","09:29","80","71","-6","09:44","15","0","0","0","0","0"
"9E","12/10/2023","4879","N905XJ","LGA","08:15","08:10","165","140","-5","08:24","14","0","0","0","0","0"
"9E","12/10/2023","4944","N183GJ","LGA","17:13","20:45","167","144","212","20:59","14","189","0","0","0","0"
"9E","12/11/2021","5489","N920XJ","LGA","12:20","12:17","154","141","-3","12:29","12","0","0","0","0","0"
"9E","12/11/2022","5132","N490PX","LGA","07:30","07:25","157","145","-5","07:36","11","0","0","0","0","0"
"9E","12/11/2023","4879","N316PQ","LGA","06:00","05:58","170","182","-2","06:37","39","0","0","0","0","0"
"9E","12/11/2023","4944","N293PQ","LGA","17:13","18:24","167","208","71","19:30","66","0","71","41","0","0"
"9E","12/12/2021","4640","N303PQ","LGA","11:33","11:28","154","151","-5","11:41","13","0","0","0","0","0"
"9E","12/12/2021","5309","N325PQ","LGA","17:00","16:57","155","163","-3","17:16","19","0","0","0","0","0"
"9E","12/12/2022","4766","N491PX","LGA","12:05","12:13","159","172","8","12:48","35","0","0","21","0","0"
"9E","12/12/2022","5132","N915XJ","LGA","06:00","05:57","159","168","-3","06:15","18","0","0","0","0","0"
"9E","12/12/2023","4879","N137EV","LGA","06:00","05:55","170","149","-5","06:04","9","0","0","0","0","0"
"9E","12/12/2023","4944","N912XJ","LGA","17:13","17:07","167","154","-6","17:22","15","0","0","0","0","0"
"9E","12/13/2021","4640","N915XJ","LGA","11:25","11:18","154","139","-7","11:29","11","0","0","0","0","0"
"9E","12/13/2021","5050","N920XJ","LGA","06:00","05:55","162","160","-5","06:11","16","0","0","0","0","0"
"9E","12/13/2021","5309","N166PQ","LGA","17:00","16:53","155","153","-7","17:00","7","0","0","0","0","0"
"9E","12/13/2022","4766","N920XJ","LGA","12:05","12:51","159","169","46","13:18","27","0","0","56","0","0"
"9E","12/13/2022","5132","N914XJ","LGA","06:00","05:55","159","157","-5","06:05","10","0","0","0","0","0"
"9E","12/13/2023","4879","N329PQ","LGA","06:00","05:55","170","146","-5","06:06","11","0","0","0","0","0"
"9E","12/13/2023","4944","N133EV","LGA","17:13","17:10","167","151","-3","17:21","11","0","0","0","0","0"
"9E","12/14/2021","4640","N926XJ","LGA","11:25","12:57","154","153","92","13:15","18","91","0","0","0","0"
"9E","12/14/2021","5050","N912XJ","LGA","06:00","05:56","162","158","-4","06:11","15","0","0","0","0","0"
"9E","12/14/2021","5309","N299PQ","LGA","17:00","16:52","155","141","-8","17:01","9","0","0","0","0","0"
"9E","12/14/2022","4766","N922XJ","LGA","12:05","12:04","159","146","-1","12:17","13","0","0","0","0","0"
"9E","12/14/2022","5132","N918XJ","LGA","06:00","06:00","159","158","0","06:25","25","0","0","0","0","0"
"9E","12/14/2023","4879","N279PQ","LGA","06:00","05:59","170","166","-1","06:13","14","0","0","0","0","0"
"9E","12/14/2023","4944","N335PQ","LGA","17:13","17:10","167","165","-3","17:24","14","0","0","0","0","0"
"9E","12/15/2021","4640","N902XJ","LGA","11:25","11:20","154","153","-5","11:34","14","0","0","0","0","0"
"9E","12/15/2021","5050","N919XJ","LGA","06:00","05:55","162","154","-5","06:05","10","0","0","0","0","0"
"9E","12/15/2021","5309","N146PQ","LGA","17:00","16:55","155","156","-5","17:18","23","0","0","0","0","0"
"9E","12/15/2022","4766","N490PX","LGA","12:05","11:54","159","152","-11","12:08","14","0","0","0","0","0"
"9E","12/15/2022","5132","N902XJ","LGA","06:00","06:05","159","147","5","06:16","11","0","0","0","0","0"
