Detailed Statistics Departures  
Origin Airport: Memphis, TN: Memphis International (MEM)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","1036","N7813P","MCO","08:00","07:56","120","105","-4","08:03","7","0","0","0","0","0"
"WN","12/01/2021","1689","N492WN","DAL","15:40","16:15","90","76","35","16:24","9","0","0","7","0","14"
"WN","12/01/2021","2487","N912WN","HOU","07:05","07:03","110","110","-2","07:09","6","0","0","0","0","0"
"WN","12/01/2021","4017","N8802Q","PHX","10:25","10:25","215","183","0","10:37","12","0","0","0","0","0"
"WN","12/01/2021","5420","N280WN","ATL","17:30","17:24","75","72","-6","17:37","13","0","0","0","0","0"
"WN","12/01/2021","5873","N407WN","ATL","07:50","07:42","85","60","-8","07:49","7","0","0","0","0","0"
"WN","12/01/2021","5900","N942WN","MDW","06:00","05:55","100","84","-5","06:01","6","0","0","0","0","0"
"WN","12/01/2022","0454","N8763L","MDW","11:00","11:00","100","84","0","11:09","9","0","0","0","0","0"
"WN","12/01/2022","0969","N949WN","DAL","11:15","11:29","95","88","14","11:39","10","0","0","0","0","0"
"WN","12/01/2022","1860","N410WN","DEN","09:55","09:53","160","148","-2","10:03","10","0","0","0","0","0"
"WN","12/01/2022","1878","N8650F","MDW","16:15","16:15","100","91","0","16:30","15","0","0","0","0","0"
"WN","12/01/2022","2115","N8565Z","ATL","07:20","07:17","75","62","-3","07:25","8","0","0","0","0","0"
"WN","12/01/2022","2358","N938WN","ATL","18:25","18:38","75","67","13","18:47","9","0","0","0","0","0"
"WN","12/01/2022","3836","N289CT","HOU","06:00","05:56","105","99","-4","06:03","7","0","0","0","0","0"
"WN","12/01/2023","0329","N8862Q","MDW","06:05","06:06","95","94","1","06:19","13","0","0","0","0","0"
"WN","12/01/2023","0663","N261WN","DAL","15:20","16:56","90","89","96","17:06","10","0","0","0","0","95"
