Detailed Statistics Departures  
Origin Airport: Memphis, TN: Memphis International (MEM)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1802","N76523","IAH","07:00","07:06","107","112","6","07:35","29","0","0","0","0","0"
"UA","12/01/2021","1819","N69813","IAH","17:00","16:54","107","94","-6","17:08","14","0","0","0","0","0"
"UA","12/01/2022","0421","N851UA","ORD","06:02","05:59","115","105","-3","06:13","14","0","0","0","0","0"
"UA","12/01/2022","1575","N496UA","EWR","15:27","16:20","153","174","53","16:36","16","53","0","21","0","0"
"UA","12/01/2022","1754","N73406","IAH","06:45","06:42","105","108","-3","07:00","18","0","0","0","0","0"
"UA","12/01/2022","2360","N834UA","EWR","06:28","06:26","154","160","-2","06:38","12","0","0","0","0","0"
"UA","12/01/2023","1759","N38403","IAH","07:00","06:52","110","107","-8","07:09","17","0","0","0","0","0"
"UA","12/01/2023","1778","N21723","ORD","08:00","08:01","111","100","1","08:13","12","0","0","0","0","0"
"UA","12/01/2023","1890","N884UA","DEN","07:40","07:43","163","149","3","07:56","13","0","0","0","0","0"
"UA","12/01/2023","2275","N419UA","DEN","14:40","14:33","165","177","-7","15:11","38","0","0","0","0","0"
"UA","12/02/2021","1802","N37273","IAH","07:00","07:08","107","96","8","07:25","17","0","0","0","0","0"
"UA","12/02/2021","1819","N27734","IAH","17:00","16:53","107","87","-7","17:07","14","0","0","0","0","0"
"UA","12/02/2022","0421","N817UA","ORD","06:02","06:04","115","126","2","06:16","12","0","0","0","0","0"
"UA","12/02/2022","1575","N482UA","EWR","15:27","15:41","153","220","14","16:00","19","14","0","67","0","0"
"UA","12/02/2022","1631","N484UA","DEN","08:33","08:31","166","169","-2","08:48","17","0","0","0","0","0"
"UA","12/02/2022","1754","N32404","IAH","06:45","06:45","105","113","0","07:11","26","0","0","0","0","0"
"UA","12/02/2022","2360","N825UA","EWR","06:28","06:25","154","155","-3","06:36","11","0","0","0","0","0"
"UA","12/02/2023","1759","N79402","IAH","07:00","06:52","108","128","-8","07:20","28","0","0","0","0","0"
"UA","12/02/2023","1778","N17285","ORD","06:00","05:51","111","105","-9","06:05","14","0","0","0","0","0"
"UA","12/02/2023","1890","N833UA","DEN","08:30","08:25","163","160","-5","08:37","12","0","0","0","0","0"
"UA","12/02/2023","2275","N845UA","DEN","14:40","14:31","165","155","-9","14:42","11","0","0","0","0","0"
"UA","12/03/2021","1802","N17229","IAH","07:00","06:55","107","94","-5","07:07","12","0","0","0","0","0"
"UA","12/03/2021","1819","N15712","IAH","17:00","16:57","107","100","-3","17:11","14","0","0","0","0","0"
"UA","12/03/2022","0421","N411UA","ORD","06:02","05:52","115","113","-10","06:05","13","0","0","0","0","0"
"UA","12/03/2022","1631","N433UA","DEN","08:33","08:21","166","166","-12","08:38","17","0","0","0","0","0"
"UA","12/03/2022","1754","N71411","IAH","06:45","07:25","105","94","40","07:38","13","29","0","0","0","0"
"UA","12/03/2022","2360","N895UA","EWR","06:28","06:23","154","152","-5","06:38","15","0","0","0","0","0"
"UA","12/03/2023","1759","N62892","IAH","07:00","07:00","110","104","0","07:15","15","0","0","0","0","0"
"UA","12/03/2023","1778","N17333","ORD","06:00","05:59","111","100","-1","06:12","13","0","0","0","0","0"
