Detailed Statistics Departures  
Origin Airport: Miami, FL: Miami International (MIA)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0615","N369FR","DEN","21:48","21:48","277","265","0","22:10","22","0","0","0","0","0"
"F9","12/01/2021","1278","N228FR","MCO","07:30","07:25","72","93","-5","07:38","13","0","0","16","0","0"
"F9","12/01/2021","1515","N213FR","ATL","06:00","05:59","127","128","-1","06:27","28","0","0","0","0","0"
"F9","12/01/2021","2159","N318FR","LAS","21:40","21:47","351","316","7","22:09","22","0","0","0","0","0"
"F9","12/01/2021","2290","N312FR","PHL","21:46","22:13","172","167","27","22:42","29","22","0","0","0","0"
"F9","12/01/2021","2679","N312FR","STL","13:35","13:28","183","188","-7","13:51","23","0","0","0","0","0"
"F9","12/01/2021","2683","N318FR","MEM","14:55","14:45","165","159","-10","15:01","16","0","0","0","0","0"
"F9","12/01/2021","2686","N330FR","PWM","07:05","06:56","209","201","-9","07:17","21","0","0","0","0","0"
"F9","12/01/2021","2758","N379FR","PVD","15:17","15:15","189","187","-2","15:44","29","0","0","0","0","0"
"F9","12/01/2021","2767","N318FR","DFW","06:00","05:59","202","196","-1","06:17","18","0","0","0","0","0"
"F9","12/01/2021","2950","N330FR","DTW","16:37","16:27","188","191","-10","16:44","17","0","0","0","0","0"
"F9","12/01/2021","2958","N383FR","EWR","08:24","09:34","192","170","70","09:51","17","48","0","0","0","0"
"F9","12/01/2021","2970","N369FR","ISP","06:00","06:17","186","167","17","06:36","19","0","0","0","0","0"
"F9","12/01/2021","2982","N383FR","BWI","16:41","17:49","158","144","68","18:03","14","7","0","0","0","47"
"F9","12/01/2022","0118","N354FR","SJU","07:39","07:29","160","148","-10","07:46","17","0","0","0","0","0"
"F9","12/01/2022","0615","N348FR","DEN","22:38","22:37","274","294","-1","22:55","18","0","0","19","0","0"
"F9","12/01/2022","1515","N709FR","ATL","10:37","10:32","124","166","-5","11:32","60","0","0","37","0","0"
"F9","12/01/2022","1770","N348FR","CVG","15:16","15:23","168","157","7","15:36","13","0","0","0","0","0"
"F9","12/01/2022","2159","N390FR","LAS","20:04","20:29","346","354","25","20:58","29","18","0","8","0","7"
"F9","12/01/2022","2326","N323FR","PHL","10:19","10:26","171","185","7","11:08","42","7","0","14","0","0"
"F9","12/01/2022","2650","N394FR","MDW","08:49","08:39","192","190","-10","08:51","12","0","0","0","0","0"
"F9","12/01/2022","2878","N394FR","LGA","18:56","18:49","184","187","-7","19:20","31","0","0","0","0","0"
"F9","12/01/2022","2938","N348FR","BOS","06:35","06:30","215","199","-5","06:49","19","0","0","0","0","0"
"F9","12/01/2023","1279","N385FR","DEN","06:49","06:45","281","271","-4","07:05","20","0","0","0","0","0"
"F9","12/01/2023","1666","N626FR","BWI","06:00","05:55","173","167","-5","06:21","26","0","0","0","0","0"
"F9","12/01/2023","2284","N629FR","SJU","06:00","05:59","162","158","-1","06:29","30","0","0","0","0","0"
"F9","12/01/2023","2326","N626FR","PHL","13:50","14:00","184","163","10","14:18","18","0","0","0","0","0"
"F9","12/01/2023","2475","N603FR","CVG","13:20","13:15","181","158","-5","13:33","18","0","0","0","0","0"
