Detailed Statistics Departures  
Origin Airport: Miami, FL: Miami International (MIA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6319","N86334","IAD","08:45","09:27","172","144","42","09:39","12","0","0","0","0","0"
"YV","12/03/2021","6319","N87353","IAD","08:45","00:00","172","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2021","6314","N89349","IAH","08:00","07:55","202","213","-5","08:41","46","0","0","0","0","0"
"YV","12/05/2021","6314","N93305","IAH","08:00","07:53","202","171","-7","08:06","13","0","0","0","0","0"
"YV","12/06/2021","6319","N84307","IAD","08:45","00:00","172","0","0","00:00","0","0","0","0","0","0"
"YV","12/07/2021","6319","N89357","IAD","08:45","08:44","172","157","-1","09:14","30","0","0","0","0","0"
"YV","12/08/2021","6319","N85351","IAD","08:45","08:40","172","148","-5","08:57","17","0","0","0","0","0"
"YV","12/09/2021","6319","N83329","IAD","08:45","08:42","172","177","-3","09:22","40","0","0","0","0","0"
"YV","12/10/2021","6319","N85355","IAD","08:45","08:41","172","153","-4","09:01","20","0","0","0","0","0"
"YV","12/11/2021","6314","N85356","IAH","08:00","10:07","202","171","127","10:24","17","96","0","0","0","0"
"YV","12/12/2021","6314","N88330","IAH","08:00","07:58","202","178","-2","08:11","13","0","0","0","0","0"
"YV","12/13/2021","6319","N93305","IAD","08:45","09:35","172","153","50","09:51","16","31","0","0","0","0"
"YV","12/14/2021","6319","N93305","IAD","08:45","08:42","172","150","-3","08:58","16","0","0","0","0","0"
"YV","12/15/2021","6319","N86309","IAD","08:45","08:48","172","157","3","09:12","24","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
