Detailed Statistics Departures  
Origin Airport: Milwaukee, WI: General Mitchell International (MKE)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0367","N461AS","SEA","18:30","18:29","269","308","-1","18:58","29","0","0","38","0","0"
"AS","12/01/2022","0366","N290AK","SEA","18:35","18:27","274","0","-8","19:51","84","0","0","0","0","0"
"AS","12/01/2023","0323","N278AK","SEA","14:23","14:31","275","250","8","14:49","18","0","0","0","0","0"
"AS","12/02/2021","0367","N581AS","SEA","18:30","18:28","269","330","-2","18:52","24","0","0","59","0","0"
"AS","12/02/2022","0366","N494AS","SEA","18:35","19:13","274","304","38","19:55","42","0","38","30","0","0"
"AS","12/03/2021","0367","N525AS","SEA","18:30","18:20","269","313","-10","18:37","17","0","0","34","0","0"
"AS","12/03/2022","0366","N942AK","SEA","18:35","18:40","274","286","5","18:58","18","0","0","17","0","0"
"AS","12/03/2023","0323","N565AS","SEA","14:23","14:22","275","288","-1","14:54","32","0","0","0","0","0"
"AS","12/04/2021","0367","N263AK","SEA","18:30","18:16","269","313","-14","18:29","13","0","0","30","0","0"
"AS","12/04/2022","0366","N526AS","SEA","18:35","18:25","274","311","-10","18:46","21","0","0","27","0","0"
"AS","12/04/2023","0323","N323AS","SEA","14:23","14:12","275","264","-11","14:28","16","0","0","0","0","0"
"AS","12/05/2021","0367","N403AS","SEA","18:30","18:23","269","340","-7","18:46","23","0","0","64","0","0"
"AS","12/05/2022","0366","N294AK","SEA","18:35","18:34","274","305","-1","18:47","13","0","0","30","0","0"
"AS","12/06/2021","0367","N263AK","SEA","18:30","00:00","269","0","0","00:00","0","0","0","0","0","0"
"AS","12/06/2022","0366","N494AS","SEA","18:35","18:23","274","308","-12","18:37","14","0","0","22","0","0"
"AS","12/06/2023","0323","N277AK","SEA","14:23","14:07","275","262","-16","14:23","16","0","0","0","0","0"
"AS","12/07/2021","0367","N317AS","SEA","18:30","18:15","269","264","-15","18:28","13","0","0","0","0","0"
"AS","12/07/2022","0366","N267AK","SEA","18:35","18:26","274","260","-9","18:40","14","0","0","0","0","0"
"AS","12/07/2023","0323","N526AS","SEA","14:23","14:21","275","241","-2","14:29","8","0","0","0","0","0"
"AS","12/08/2021","0367","N549AS","SEA","18:30","18:17","269","261","-13","18:33","16","0","0","0","0","0"
"AS","12/08/2022","0366","N270AK","SEA","18:35","19:12","274","262","37","19:25","13","0","25","0","0","0"
"AS","12/08/2023","0323","N556AS","SEA","14:23","14:25","275","253","2","14:35","10","0","0","0","0","0"
"AS","12/09/2021","0367","N307AS","SEA","18:30","18:16","269","289","-14","18:29","13","0","0","0","0","0"
"AS","12/09/2022","0366","N294AK","SEA","18:35","18:26","274","335","-9","19:18","52","0","0","52","0","0"
"AS","12/10/2021","0367","N270AK","SEA","18:30","18:34","269","269","4","18:47","13","0","0","0","0","0"
"AS","12/10/2022","0366","N403AS","SEA","18:35","18:22","274","301","-13","19:07","45","0","0","0","0","0"
"AS","12/10/2023","0323","N492AS","SEA","14:23","14:09","275","254","-14","14:23","14","0","0","0","0","0"
"AS","12/11/2021","0367","N275AK","SEA","18:30","18:21","269","305","-9","18:42","21","0","0","27","0","0"
"AS","12/11/2022","0366","N264AK","SEA","18:35","18:27","274","263","-8","18:38","11","0","0","0","0","0"
"AS","12/11/2023","0323","N491AS","SEA","14:23","14:03","275","263","-20","14:14","11","0","0","0","0","0"
"AS","12/12/2021","0367","N270AK","SEA","18:30","18:15","269","317","-15","18:27","12","0","0","33","0","0"
"AS","12/12/2022","0366","N979AK","SEA","18:35","18:40","274","272","5","18:58","18","0","0","0","0","0"
"AS","12/13/2021","0367","N407AS","SEA","18:30","18:44","269","286","14","18:59","15","0","0","17","0","14"
"AS","12/13/2022","0366","N975AK","SEA","18:35","18:38","274","235","3","18:56","18","0","0","0","0","0"
"AS","12/13/2023","0323","N528AS","SEA","14:23","14:44","275","242","21","14:58","14","0","0","0","0","0"
"AS","12/14/2021","0367","N318AS","SEA","18:30","18:19","269","262","-11","18:33","14","0","0","0","0","0"
"AS","12/14/2022","0366","N464AS","SEA","18:35","18:20","274","248","-15","18:38","18","0","0","0","0","0"
"AS","12/14/2023","0323","N520AS","SEA","14:26","14:38","272","252","12","14:46","8","0","0","0","0","0"
"AS","12/15/2021","0367","N265AK","SEA","18:30","18:22","269","251","-8","18:35","13","0","0","0","0","0"
"AS","12/15/2022","0354","N284AK","SEA","17:45","18:30","278","248","45","18:58","28","0","0","0","0","15"
"AS","12/15/2023","0323","N956AK","SEA","14:22","14:06","272","258","-16","14:19","13","0","0","0","0","0"
"AS","12/16/2021","0367","N477AS","SEA","18:20","18:16","275","264","-4","18:29","13","0","0","0","0","0"
"AS","12/16/2022","0366","N551AS","SEA","17:45","17:45","278","284","0","18:11","26","0","0","0","0","0"
"AS","12/16/2023","0323","N423AS","SEA","14:26","14:16","272","264","-10","14:30","14","0","0","0","0","0"
"AS","12/17/2021","0367","N477AS","SEA","18:20","18:34","275","261","14","18:47","13","0","0","0","0","0"
"AS","12/17/2022","0366","N267AK","SEA","17:45","19:46","278","278","121","20:02","16","14","0","0","0","107"
"AS","12/17/2023","0323","N487AS","SEA","14:26","14:18","272","269","-8","14:31","13","0","0","0","0","0"
"AS","12/18/2021","0367","N318AS","SEA","18:20","18:56","275","290","36","19:15","19","13","0","15","0","23"
"AS","12/18/2022","0366","N320AS","SEA","17:45","00:00","278","0","0","00:00","0","0","0","0","0","0"
"AS","12/18/2023","0323","N960AK","SEA","14:26","14:14","272","276","-12","14:34","20","0","0","0","0","0"
"AS","12/19/2021","0367","N403AS","SEA","18:20","18:22","275","291","2","18:38","16","0","0","18","0","0"
"AS","12/19/2022","0366","N487AS","SEA","17:45","18:04","278","285","19","18:21","17","0","0","12","0","14"
"AS","12/19/2023","0323","N570AS","SEA","14:26","14:18","272","259","-8","14:29","11","0","0","0","0","0"
"AS","12/20/2021","0367","N319AS","SEA","18:20","18:31","275","283","11","18:41","10","11","0","8","0","0"
"AS","12/20/2022","0366","N469AS","SEA","17:45","00:00","278","0","0","00:00","0","0","0","0","0","0"
"AS","12/20/2023","0323","N317AS","SEA","14:26","14:50","272","252","24","14:59","9","0","0","0","0","0"
"AS","12/21/2021","0367","N472AS","SEA","18:20","18:42","275","299","22","19:03","21","5","0","24","0","17"
"AS","12/21/2022","0366","N483AS","SEA","17:45","19:10","278","284","85","19:34","24","0","85","6","0","0"
"AS","12/21/2023","0323","N297AK","SEA","14:26","14:27","272","251","1","14:39","12","0","0","0","0","0"
"AS","12/22/2021","0367","N307AS","SEA","18:20","18:36","275","315","16","19:02","26","0","0","56","0","0"
"AS","12/22/2022","0366","N459AS","SEA","17:45","00:00","278","0","0","00:00","0","0","0","0","0","0"
