Detailed Statistics Departures  
Origin Airport: Milwaukee, WI: General Mitchell International (MKE)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3969","N274NN","MIA","06:45","06:42","199","180","-3","06:54","12","0","0","0","0","0"
"MQ","12/01/2022","3309","N908AE","ORD","11:19","11:10","56","49","-9","11:22","12","0","0","0","0","0"
"MQ","12/02/2021","3969","N219NN","MIA","06:45","06:46","199","172","1","06:56","10","0","0","0","0","0"
"MQ","12/02/2021","4283","N939AE","ORD","10:40","10:35","63","52","-5","10:48","13","0","0","0","0","0"
"MQ","12/02/2022","3309","N902BC","ORD","11:19","11:19","56","61","0","11:38","19","0","0","0","0","0"
"MQ","12/03/2021","3969","N264NN","MIA","06:45","06:41","199","189","-4","06:55","14","0","0","0","0","0"
"MQ","12/03/2021","4283","N939AE","ORD","10:40","10:36","63","61","-4","10:51","15","0","0","0","0","0"
"MQ","12/03/2022","3309","N902BC","ORD","11:19","11:08","56","50","-11","11:19","11","0","0","0","0","0"
"MQ","12/04/2021","3969","N248NN","MIA","06:45","06:51","199","229","6","07:24","33","6","0","30","0","0"
"MQ","12/04/2021","4283","N677AE","ORD","10:40","10:30","63","45","-10","10:40","10","0","0","0","0","0"
"MQ","12/04/2022","3309","N902BC","ORD","11:19","11:07","56","44","-12","11:18","11","0","0","0","0","0"
"MQ","12/05/2021","3969","N240NN","MIA","06:45","06:44","199","182","-1","06:55","11","0","0","0","0","0"
"MQ","12/05/2021","4283","N678AE","ORD","10:40","10:40","63","85","0","11:19","39","0","0","22","0","0"
"MQ","12/05/2022","3309","N670AE","ORD","11:19","11:18","56","46","-1","11:28","10","0","0","0","0","0"
"MQ","12/06/2021","3969","N240NN","MIA","06:45","06:35","199","266","-10","07:23","48","0","0","57","0","0"
"MQ","12/06/2021","4283","N605KS","ORD","10:40","10:34","63","78","-6","11:13","39","0","0","0","0","0"
"MQ","12/06/2022","3309","N661JA","ORD","11:19","11:17","56","51","-2","11:27","10","0","0","0","0","0"
"MQ","12/07/2021","3969","N252NN","MIA","06:45","06:46","199","186","1","06:59","13","0","0","0","0","0"
"MQ","12/07/2021","4283","N941LT","ORD","10:40","10:50","63","48","10","11:01","11","0","0","0","0","0"
"MQ","12/07/2022","3309","N900AE","ORD","11:19","11:16","56","55","-3","11:26","10","0","0","0","0","0"
"MQ","12/08/2021","3969","N299JJ","MIA","06:45","06:43","199","239","-2","07:22","39","0","0","38","0","0"
"MQ","12/08/2022","3309","N679AE","ORD","11:19","11:07","56","51","-12","11:17","10","0","0","0","0","0"
"MQ","12/09/2021","3969","N283NN","MIA","06:45","06:43","199","184","-2","06:55","12","0","0","0","0","0"
"MQ","12/09/2021","4283","N698CB","ORD","10:40","10:36","63","57","-4","10:49","13","0","0","0","0","0"
"MQ","12/09/2022","3309","N670AE","ORD","11:19","00:00","56","0","0","00:00","0","0","0","0","0","0"
"MQ","12/10/2021","3969","N274NN","MIA","06:45","06:41","199","193","-4","06:58","17","0","0","0","0","0"
"MQ","12/10/2021","4283","N675AE","ORD","10:40","10:32","63","56","-8","10:42","10","0","0","0","0","0"
