Detailed Statistics Departures  
Origin Airport: Milwaukee, WI: General Mitchell International (MKE)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4666","N606LR","LGA","17:55","17:45","135","114","-10","17:55","10","0","0","0","0","0"
"9E","12/01/2021","4771","N915XJ","LGA","10:50","10:43","123","115","-7","10:55","12","0","0","0","0","0"
"9E","12/01/2021","5130","N336PQ","LGA","06:45","06:38","132","119","-7","06:49","11","0","0","0","0","0"
"9E","12/01/2021","5195","N329PQ","DTW","17:55","17:49","73","69","-6","18:05","16","0","0","0","0","0"
"9E","12/01/2021","5353","N907XJ","BOS","11:14","11:11","146","119","-3","11:20","9","0","0","0","0","0"
"9E","12/01/2021","5358","N295PQ","LGA","15:20","15:10","133","108","-10","15:15","5","0","0","0","0","0"
"9E","12/01/2021","5360","N337PQ","BOS","17:35","17:29","147","132","-6","17:46","17","0","0","0","0","0"
"9E","12/01/2022","4780","N482PX","LGA","14:20","14:15","127","130","-5","14:27","12","0","0","0","0","0"
"9E","12/01/2022","4801","N326PQ","JFK","08:35","08:30","150","121","-5","08:43","13","0","0","0","0","0"
"9E","12/01/2022","5130","N918XJ","LGA","06:00","05:55","138","131","-5","06:17","22","0","0","0","0","0"
"9E","12/01/2023","4969","N478PX","LGA","10:51","10:45","128","113","-6","10:56","11","0","0","0","0","0"
"9E","12/02/2021","4666","N485PX","LGA","17:55","17:45","135","115","-10","17:54","9","0","0","0","0","0"
"9E","12/02/2021","4771","N922XJ","LGA","10:50","10:45","123","103","-5","10:53","8","0","0","0","0","0"
"9E","12/02/2021","4858","N924XJ","DTW","17:19","17:15","75","69","-4","17:33","18","0","0","0","0","0"
"9E","12/02/2021","5130","N695CA","LGA","06:45","06:44","132","121","-1","07:00","16","0","0","0","0","0"
"9E","12/02/2021","5353","N293PQ","BOS","11:14","11:09","146","114","-5","11:18","9","0","0","0","0","0"
"9E","12/02/2021","5358","N147PQ","LGA","15:20","15:15","133","122","-5","15:24","9","0","0","0","0","0"
"9E","12/02/2021","5360","N319PQ","BOS","17:35","17:30","147","115","-5","17:44","14","0","0","0","0","0"
"9E","12/02/2022","4780","N485PX","LGA","14:20","14:15","127","122","-5","14:27","12","0","0","0","0","0"
"9E","12/02/2022","4801","N279PQ","JFK","08:35","08:30","150","130","-5","08:46","16","0","0","0","0","0"
"9E","12/02/2022","5130","N491PX","LGA","06:00","05:55","138","123","-5","06:04","9","0","0","0","0","0"
"9E","12/02/2023","4969","N478PX","LGA","10:51","10:42","128","113","-9","10:58","16","0","0","0","0","0"
"9E","12/02/2023","4981","N300PQ","MSP","17:49","17:45","86","71","-4","17:56","11","0","0","0","0","0"
"9E","12/02/2023","5522","N302PQ","LGA","16:17","16:09","130","110","-8","16:21","12","0","0","0","0","0"
"9E","12/03/2021","4666","N490PX","LGA","17:55","17:54","135","105","-1","18:05","11","0","0","0","0","0"
"9E","12/03/2021","4771","N305PQ","LGA","10:50","10:45","123","109","-5","10:54","9","0","0","0","0","0"
"9E","12/03/2021","4858","N316PQ","DTW","17:19","17:15","75","63","-4","17:29","14","0","0","0","0","0"
"9E","12/03/2021","5130","N181GJ","LGA","06:45","07:34","132","112","49","07:44","10","29","0","0","0","0"
"9E","12/03/2021","5353","N324PQ","BOS","11:14","11:23","146","115","9","11:33","10","0","0","0","0","0"
"9E","12/03/2021","5358","N297PQ","LGA","15:20","15:15","133","110","-5","15:26","11","0","0","0","0","0"
"9E","12/03/2021","5360","N678CA","BOS","17:35","18:08","147","119","33","18:28","20","0","0","0","0","0"
"9E","12/03/2022","4801","N184GJ","JFK","08:35","09:03","150","125","28","09:13","10","0","0","0","0","0"
"9E","12/03/2022","5130","N916XJ","LGA","07:55","07:52","131","146","-3","08:29","37","0","0","0","0","0"
"9E","12/04/2021","5130","N319PQ","LGA","10:59","10:59","126","110","0","11:14","15","0","0","0","0","0"
"9E","12/04/2021","5173","N919XJ","LGA","13:00","12:50","130","107","-10","13:02","12","0","0","0","0","0"
"9E","12/04/2021","5353","N186PQ","BOS","13:30","14:59","139","123","89","15:21","22","73","0","0","0","0"
"9E","12/04/2022","4780","N906XJ","LGA","14:20","15:33","127","130","73","15:45","12","0","0","3","0","73"
"9E","12/04/2022","4801","N166PQ","JFK","08:35","08:29","150","123","-6","08:44","15","0","0","0","0","0"
"9E","12/04/2023","4969","N917XJ","LGA","10:51","10:51","128","124","0","11:05","14","0","0","0","0","0"
"9E","12/05/2021","4666","N480PX","LGA","17:50","17:59","138","124","9","18:11","12","0","0","0","0","0"
"9E","12/05/2021","4771","N480PX","LGA","10:39","12:23","121","131","104","12:49","26","104","0","10","0","0"
"9E","12/05/2021","5130","N325PQ","LGA","08:25","08:15","131","124","-10","08:32","17","0","0","0","0","0"
"9E","12/05/2021","5353","N303PQ","BOS","11:42","11:36","141","124","-6","11:55","19","0","0","0","0","0"
"9E","12/05/2021","5358","N272PQ","LGA","15:25","15:22","134","127","-3","15:35","13","0","0","0","0","0"
"9E","12/05/2021","5360","N138EV","BOS","17:40","17:45","149","115","5","17:55","10","0","0","0","0","0"
"9E","12/05/2022","4780","N904XJ","LGA","14:20","14:30","127","117","10","14:43","13","0","0","0","0","0"
"9E","12/05/2022","4801","N301PQ","JFK","08:35","08:56","150","138","21","09:13","17","0","0","0","0","0"
"9E","12/05/2022","5130","N915XJ","LGA","06:00","05:51","138","124","-9","06:01","10","0","0","0","0","0"
"9E","12/05/2023","4969","N931XJ","LGA","10:51","10:46","128","127","-5","10:58","12","0","0","0","0","0"
"9E","12/06/2021","4666","N924XJ","LGA","17:50","18:31","138","170","41","18:42","11","0","0","32","0","41"
