Detailed Statistics Departures  
Origin Airport: Milwaukee, WI: General Mitchell International (MKE)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2022","0435","N370FR","DEN","21:40","23:05","169","172","85","23:18","13","12","0","3","0","73"
"F9","12/01/2022","0931","N337FR","RSW","19:45","20:56","188","163","71","21:10","14","0","0","0","0","46"
"F9","12/01/2022","1127","N375FR","MCO","09:36","09:25","177","163","-11","09:40","15","0","0","0","0","0"
"F9","12/01/2022","2051","N704FR","LAS","22:57","00:39","252","250","102","00:52","13","2","0","0","0","98"
"F9","12/01/2023","1607","N332FR","DEN","19:57","19:55","169","156","-2","20:07","12","0","0","0","0","0"
"F9","12/01/2023","2130","N330FR","MCO","18:47","22:45","186","180","238","23:14","29","0","0","0","0","232"
"F9","12/01/2023","3218","N311FR","RSW","10:50","10:32","181","186","-18","10:51","19","0","0","0","0","0"
"F9","12/02/2021","0435","N366FR","DEN","21:19","21:08","169","150","-11","21:20","12","0","0","0","0","0"
"F9","12/02/2021","2051","N378FR","LAS","20:08","19:58","245","215","-10","20:07","9","0","0","0","0","0"
"F9","12/02/2022","0931","N380FR","RSW","19:45","19:39","188","167","-6","19:58","19","0","0","0","0","0"
"F9","12/02/2022","1127","N337FR","MCO","09:36","09:21","177","154","-15","09:33","12","0","0","0","0","0"
"F9","12/02/2023","2130","N312FR","MCO","19:36","19:24","179","182","-12","19:40","16","0","0","0","0","0"
"F9","12/02/2023","3218","N312FR","RSW","11:31","11:21","189","177","-10","11:34","13","0","0","0","0","0"
"F9","12/03/2021","0931","N352FR","RSW","10:09","10:05","191","172","-4","10:16","11","0","0","0","0","0"
"F9","12/03/2021","1127","N337FR","MCO","19:43","19:33","181","164","-10","19:45","12","0","0","0","0","0"
"F9","12/03/2022","0931","N311FR","RSW","19:45","19:41","188","156","-4","19:54","13","0","0","0","0","0"
"F9","12/03/2022","1127","N380FR","MCO","09:36","09:30","177","150","-6","09:45","15","0","0","0","0","0"
"F9","12/03/2023","2130","N356FR","MCO","19:20","19:09","179","191","-11","19:23","14","0","0","0","0","0"
"F9","12/03/2023","3218","N356FR","RSW","11:15","11:05","189","186","-10","11:16","11","0","0","0","0","0"
"F9","12/03/2023","4969","N614FR","LAS","18:02","18:11","257","222","9","18:26","15","0","0","0","0","0"
"F9","12/04/2021","0931","N332FR","RSW","09:54","09:41","188","179","-13","09:57","16","0","0","0","0","0"
"F9","12/04/2021","1127","N339FR","MCO","19:43","19:31","181","161","-12","19:44","13","0","0","0","0","0"
"F9","12/04/2021","2523","N230FR","TPA","11:00","10:48","174","159","-12","10:57","9","0","0","0","0","0"
"F9","12/04/2022","0435","N393FR","DEN","21:30","23:48","169","151","138","24:00","12","0","0","4","0","116"
"F9","12/04/2022","0931","N384FR","RSW","19:45","19:39","188","153","-6","19:50","11","0","0","0","0","0"
"F9","12/04/2022","1127","N311FR","MCO","09:36","09:28","177","200","-8","10:34","66","0","0","15","0","0"
"F9","12/04/2022","2051","N388FR","LAS","22:58","23:01","252","260","3","23:13","12","0","0","0","0","0"
"F9","12/04/2023","1142","N230FR","MCO","20:58","20:45","181","175","-13","20:58","13","0","0","0","0","0"
"F9","12/04/2023","1607","N374FR","DEN","18:24","18:17","172","159","-7","18:31","14","0","0","0","0","0"
"F9","12/04/2023","3218","N230FR","RSW","12:54","12:41","187","188","-13","12:54","13","0","0","0","0","0"
"F9","12/05/2021","0435","N375FR","DEN","21:39","21:16","169","161","-23","21:32","16","0","0","0","0","0"
"F9","12/05/2021","2051","N354FR","LAS","12:29","12:36","244","252","7","12:51","15","7","0","8","0","0"
"F9","12/05/2022","1127","N384FR","MCO","08:56","09:07","173","174","11","09:23","16","0","0","0","0","0"
"F9","12/05/2022","1129","N390FR","MCO","17:35","18:23","185","155","48","18:37","14","18","0","0","0","0"
"F9","12/05/2023","2130","N383FR","MCO","20:36","14:38","181","150","1082","14:52","14","1051","0","0","0","0"
"F9","12/05/2023","3218","N383FR","RSW","12:31","12:29","187","180","-2","12:43","14","0","0","0","0","0"
"F9","12/06/2021","0931","N310FR","RSW","10:14","10:19","191","182","5","10:40","21","0","0","0","0","0"
"F9","12/06/2021","1127","N336FR","MCO","19:30","19:21","182","163","-9","19:32","11","0","0","0","0","0"
"F9","12/06/2022","0435","N372FR","DEN","14:55","14:50","165","191","-5","15:08","18","0","0","21","0","0"
"F9","12/06/2022","1127","N381FR","MCO","17:25","17:14","185","176","-11","17:29","15","0","0","0","0","0"
"F9","12/06/2023","1142","N379FR","MCO","20:35","20:26","181","159","-9","20:37","11","0","0","0","0","0"
"F9","12/06/2023","3218","N379FR","RSW","12:10","12:52","187","153","42","13:03","11","0","0","0","0","0"
"F9","12/07/2022","1127","N332FR","MCO","17:35","17:30","185","160","-5","17:45","15","0","0","0","0","0"
"F9","12/07/2023","1142","N348FR","MCO","21:05","20:43","183","175","-22","21:00","17","0","0","0","0","0"
"F9","12/07/2023","3218","N348FR","RSW","12:59","13:16","187","167","17","13:26","10","0","0","0","0","0"
"F9","12/07/2023","4969","N611FR","LAS","14:23","14:56","254","236","33","15:15","19","0","0","12","0","3"
"F9","12/08/2022","0435","N374FR","DEN","21:31","21:29","169","160","-2","21:39","10","0","0","0","0","0"
"F9","12/08/2022","1127","N332FR","MCO","17:40","17:40","185","159","0","17:57","17","0","0","0","0","0"
"F9","12/08/2022","2051","N388FR","LAS","22:47","22:47","252","261","0","23:01","14","0","0","0","0","0"
"F9","12/08/2023","1607","N631FR","DEN","20:19","20:07","173","160","-12","20:21","14","0","0","0","0","0"
"F9","12/08/2023","2130","N366FR","MCO","18:47","20:05","186","175","78","20:31","26","67","0","0","0","0"
"F9","12/08/2023","3218","N366FR","RSW","10:50","10:39","181","182","-11","10:50","11","0","0","0","0","0"
"F9","12/09/2021","0435","N343FR","DEN","21:39","21:19","169","165","-20","21:29","10","0","0","0","0","0"
"F9","12/09/2021","2051","N718FR","LAS","19:52","19:42","245","262","-10","19:56","14","0","0","0","0","0"
"F9","12/09/2022","1127","N317FR","MCO","17:55","18:07","185","198","12","19:02","55","0","12","13","0","0"
"F9","12/09/2023","2130","N379FR","MCO","19:36","19:26","179","203","-10","19:59","33","0","0","0","0","0"
"F9","12/09/2023","3218","N379FR","RSW","11:31","11:15","189","177","-16","11:27","12","0","0","0","0","0"
"F9","12/10/2021","0931","N328FR","RSW","10:09","10:24","191","173","15","10:37","13","0","0","0","0","0"
"F9","12/10/2021","1127","N317FR","MCO","19:30","19:26","182","186","-4","19:40","14","0","0","0","0","0"
"F9","12/10/2022","1127","N238FR","MCO","18:03","18:19","183","165","16","18:31","12","0","0","0","0","0"
"F9","12/10/2023","2130","N376FR","MCO","19:20","22:09","179","193","169","22:44","35","78","0","14","0","91"
"F9","12/10/2023","3218","N376FR","RSW","11:15","12:42","189","210","87","13:09","27","0","0","108","0","0"
"F9","12/10/2023","4969","N606FR","LAS","18:02","18:19","257","249","17","18:55","36","0","0","0","0","0"
"F9","12/11/2021","0931","N386FR","RSW","09:54","09:42","188","227","-12","10:17","35","0","0","27","0","0"
"F9","12/11/2021","1127","N313FR","MCO","19:33","19:19","182","187","-14","19:29","10","0","0","0","0","0"
"F9","12/11/2021","2523","N236FR","TPA","10:59","12:40","173","169","101","12:59","19","81","0","16","0","0"
"F9","12/11/2022","0435","N232FR","DEN","21:24","21:09","169","155","-15","21:20","11","0","0","0","0","0"
"F9","12/11/2022","1129","N376FR","MCO","17:38","18:36","185","167","58","18:55","19","0","0","0","0","40"
"F9","12/11/2022","2051","N350FR","LAS","22:55","00:49","252","249","114","01:05","16","28","0","0","0","83"
"F9","12/11/2023","1142","N388FR","MCO","20:58","20:34","181","166","-24","20:46","12","0","0","0","0","0"
"F9","12/11/2023","1607","N714FR","DEN","19:22","19:36","169","170","14","19:48","12","0","0","1","0","14"
"F9","12/11/2023","3218","N388FR","RSW","12:54","12:40","187","176","-14","12:57","17","0","0","0","0","0"
"F9","12/12/2021","0435","N205FR","DEN","21:39","21:27","169","155","-12","21:37","10","0","0","0","0","0"
"F9","12/12/2021","2051","N373FR","LAS","12:29","12:38","244","238","9","12:52","14","0","0","0","0","0"
"F9","12/12/2022","1127","N386FR","MCO","17:35","17:33","185","159","-2","17:46","13","0","0","0","0","0"
"F9","12/12/2023","2130","N383FR","MCO","20:36","20:17","181","182","-19","20:31","14","0","0","0","0","0"
"F9","12/12/2023","3218","N383FR","RSW","12:31","12:38","187","169","7","12:49","11","0","0","0","0","0"
"F9","12/13/2021","0931","N309FR","RSW","10:14","10:58","191","164","44","11:09","11","0","0","0","0","17"
"F9","12/13/2021","1127","N230FR","MCO","19:30","19:27","182","170","-3","19:39","12","0","0","0","0","0"
"F9","12/13/2022","0435","N380FR","DEN","14:55","15:15","165","170","20","15:28","13","0","0","25","0","0"
"F9","12/13/2022","1127","N720FR","MCO","17:25","17:14","185","162","-11","17:27","13","0","0","0","0","0"
"F9","12/13/2023","1142","N354FR","MCO","20:35","20:26","181","166","-9","20:40","14","0","0","0","0","0"
"F9","12/13/2023","3218","N354FR","RSW","12:10","12:00","187","169","-10","12:11","11","0","0","0","0","0"
"F9","12/14/2022","1127","N334FR","MCO","17:37","17:36","185","185","-1","17:57","21","0","0","0","0","0"
"F9","12/14/2023","1142","N376FR","MCO","21:05","20:54","183","188","-11","21:05","11","0","0","0","0","0"
"F9","12/14/2023","3218","N376FR","RSW","12:59","12:52","187","166","-7","13:04","12","0","0","0","0","0"
"F9","12/14/2023","4969","N606FR","LAS","14:23","14:23","254","247","0","14:38","15","0","0","0","0","0"
"F9","12/15/2022","0435","N348FR","DEN","21:31","22:48","169","145","77","22:58","10","0","0","0","0","53"
"F9","12/15/2022","1127","N372FR","MCO","17:40","19:04","185","199","84","19:45","41","20","0","40","0","38"
"F9","12/15/2022","2051","N723FR","LAS","22:47","23:39","252","228","52","23:49","10","28","0","0","0","0"
"F9","12/15/2023","1607","N390FR","DEN","21:51","21:41","175","155","-10","21:56","15","0","0","0","0","0"
"F9","12/15/2023","2130","N630FR","MCO","20:41","20:16","181","184","-25","20:28","12","0","0","0","0","0"
"F9","12/15/2023","3218","N630FR","RSW","12:18","11:56","187","175","-22","12:06","10","0","0","0","0","0"
"F9","12/16/2021","0435","N705FR","DEN","12:31","12:16","162","162","-15","12:26","10","0","0","0","0","0"
"F9","12/16/2021","2051","N721FR","LAS","20:08","20:06","245","246","-2","20:16","10","0","0","0","0","0"
"F9","12/16/2022","1127","N322FR","MCO","17:55","18:00","185","212","5","19:03","63","0","5","27","0","0"
"F9","12/16/2023","1142","N381FR","MCO","19:28","19:18","179","225","-10","19:31","13","0","0","36","0","0"
"F9","12/16/2023","3218","N381FR","RSW","11:22","11:10","189","188","-12","11:22","12","0","0","0","0","0"
"F9","12/16/2023","3673","N723FR","DEN","22:28","22:17","173","140","-11","22:26","9","0","0","0","0","0"
"F9","12/17/2021","0931","N232FR","RSW","10:09","09:55","191","181","-14","10:09","14","0","0","0","0","0"
"F9","12/17/2021","1127","N384FR","MCO","19:43","19:36","181","177","-7","19:53","17","0","0","0","0","0"
"F9","12/17/2022","1127","N370FR","MCO","18:03","18:11","183","159","8","18:26","15","0","0","0","0","0"
"F9","12/17/2023","2130","N380FR","MCO","19:20","20:03","179","181","43","20:15","12","19","0","2","0","24"
"F9","12/17/2023","3218","N380FR","RSW","11:15","11:30","189","216","15","11:42","12","15","0","27","0","0"
"F9","12/17/2023","4969","N388FR","LAS","12:26","12:41","261","225","15","12:52","11","0","0","0","0","0"
"F9","12/18/2021","0931","N383FR","RSW","09:49","09:47","188","187","-2","10:06","19","0","0","0","0","0"
