Detailed Statistics Departures  
Origin Airport: Milwaukee, WI: General Mitchell International (MKE)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3066","N716EV","ORD","18:14","18:02","71","92","-12","18:44","42","0","0","0","0","0"
"OO","12/01/2021","3243","N756SK","ORD","10:41","10:36","62","56","-5","10:51","15","0","0","0","0","0"
"OO","12/01/2021","3500","N255SY","SLC","07:55","07:51","213","226","-4","08:31","40","0","0","0","0","0"
"OO","12/01/2021","4802","N203SY","DEN","15:45","17:18","173","165","93","17:41","23","0","0","0","0","85"
"OO","12/01/2021","5581","N795SK","ORD","17:08","16:58","62","47","-10","17:10","12","0","0","0","0","0"
"OO","12/01/2021","5599","N146SY","IAH","08:00","07:56","188","168","-4","08:11","15","0","0","0","0","0"
"OO","12/01/2021","5608","N622UX","IAH","14:15","14:11","180","143","-4","14:21","10","0","0","0","0","0"
"OO","12/01/2021","5715","N787SK","DEN","10:45","10:38","170","182","-7","11:29","51","0","0","0","0","0"
"OO","12/01/2021","5890","N619UX","DEN","08:45","08:58","170","145","13","09:06","8","0","0","0","0","0"
"OO","12/01/2022","3066","N741EV","ORD","14:58","14:51","61","49","-7","15:01","10","0","0","0","0","0"
"OO","12/01/2022","3261","N762SK","ORD","06:32","06:27","59","60","-5","06:37","10","0","0","0","0","0"
"OO","12/01/2022","3606","N255SY","BOS","16:40","16:55","127","139","15","17:15","20","27","0","0","0","0"
"OO","12/01/2022","3618","N307SY","BOS","08:30","08:29","131","119","-1","08:37","8","0","0","0","0","0"
"OO","12/01/2022","4446","N240SY","MSP","10:46","10:41","83","81","-5","10:54","13","0","0","0","0","0"
"OO","12/01/2022","4453","N548CA","DTW","10:00","10:18","65","56","18","10:31","13","0","0","0","0","0"
"OO","12/01/2022","4723","N609UX","DEN","08:40","10:25","175","152","105","10:34","9","82","0","0","0","0"
"OO","12/01/2022","5213","N161SY","DEN","15:40","15:37","175","172","-3","15:49","12","0","0","0","0","0"
"OO","12/01/2022","5328","N624UX","ORD","06:45","07:02","63","57","17","07:23","21","0","0","0","0","0"
"OO","12/01/2022","5331","N908SW","ORD","17:27","17:24","61","53","-3","17:35","11","0","0","0","0","0"
"OO","12/01/2022","5368","N206SY","IAH","14:06","14:03","186","177","-3","14:12","9","0","0","0","0","0"
"OO","12/01/2022","5435","N108SY","DEN","10:37","10:35","175","150","-2","10:43","8","0","0","0","0","0"
"OO","12/01/2022","5599","N743SK","IAH","08:00","07:58","180","178","-2","08:15","17","0","0","0","0","0"
"OO","12/01/2023","3637","N802SK","DTW","12:00","11:56","64","64","-4","12:12","16","0","0","0","0","0"
"OO","12/01/2023","3873","N256SY","JFK","10:09","10:00","137","157","-9","10:22","22","0","0","0","0","0"
"OO","12/01/2023","4013","N768SK","DTW","07:00","13:02","71","66","362","13:14","12","357","0","0","0","0"
"OO","12/01/2023","4015","N252SY","LGA","06:00","05:57","142","129","-3","06:15","18","0","0","0","0","0"
"OO","12/01/2023","4049","N305SY","BOS","10:55","10:51","140","130","-4","11:07","16","0","0","0","0","0"
"OO","12/01/2023","4657","N602UX","DEN","10:25","10:39","179","154","14","10:54","15","0","0","0","0","0"
"OO","12/01/2023","4740","N913EV","ORD","12:10","12:27","63","67","17","12:53","26","0","0","4","0","17"
"OO","12/01/2023","4803","N908SW","ORD","07:00","06:55","63","62","-5","07:08","13","0","0","0","0","0"
"OO","12/01/2023","5402","N925EV","ORD","08:29","08:34","63","71","5","09:04","30","0","0","0","0","0"
"OO","12/01/2023","5485","N118SY","IAH","15:40","15:40","189","196","0","15:55","15","0","0","0","0","0"
"OO","12/01/2023","5499","N608UX","DEN","08:30","08:22","179","176","-8","08:36","14","0","0","0","0","0"
"OO","12/01/2023","5502","N218PS","ORD","15:53","15:56","63","61","3","16:12","16","0","0","0","0","0"
"OO","12/01/2023","5648","N881AS","ORD","17:23","18:35","63","73","72","18:51","16","0","0","10","0","72"
"OO","12/01/2023","5671","N912EV","ORD","10:45","10:45","63","60","0","11:05","20","0","0","0","0","0"
"OO","12/02/2021","3066","N774SK","ORD","18:19","18:13","71","68","-6","18:26","13","0","0","0","0","0"
"OO","12/02/2021","3180","N756SK","ORD","08:00","07:48","70","45","-12","08:02","14","0","0","0","0","0"
"OO","12/02/2021","3500","N613CZ","SLC","07:55","07:52","213","207","-3","08:04","12","0","0","0","0","0"
"OO","12/02/2021","4802","N209SY","DEN","15:45","15:45","173","151","0","15:55","10","0","0","0","0","0"
"OO","12/02/2021","5581","N955SW","ORD","17:08","16:59","62","72","-9","17:07","8","0","0","0","0","0"
"OO","12/02/2021","5599","N211SY","IAH","08:00","08:05","188","150","5","08:16","11","0","0","0","0","0"
"OO","12/02/2021","5608","N624UX","IAH","14:15","14:11","180","161","-4","14:31","20","0","0","0","0","0"
"OO","12/02/2021","5715","N790SK","DEN","10:45","10:38","170","151","-7","10:51","13","0","0","0","0","0"
"OO","12/02/2021","5890","N614UX","DEN","08:45","08:39","170","182","-6","09:02","23","0","0","0","0","0"
"OO","12/02/2022","3066","N630SK","ORD","14:58","14:46","61","54","-12","14:58","12","0","0","0","0","0"
"OO","12/02/2022","3261","N750SK","ORD","06:32","06:31","59","54","-1","06:42","11","0","0","0","0","0"
"OO","12/02/2022","3606","N259SY","BOS","16:40","16:37","127","145","-3","16:49","12","15","0","0","0","0"
"OO","12/02/2022","3618","N319SY","BOS","08:30","08:25","131","128","-5","08:42","17","0","0","0","0","0"
"OO","12/02/2022","4446","N294SY","MSP","10:46","10:38","83","67","-8","10:49","11","0","0","0","0","0"
"OO","12/02/2022","4453","N804SK","DTW","10:00","09:43","65","60","-17","09:56","13","0","0","0","0","0"
"OO","12/02/2022","4723","N209SY","DEN","08:40","08:36","175","181","-4","08:48","12","0","0","0","0","0"
"OO","12/02/2022","5213","N200SY","DEN","15:40","15:32","175","196","-8","15:47","15","0","0","0","0","0"
"OO","12/02/2022","5328","N608UX","ORD","06:45","06:38","63","51","-7","06:53","15","0","0","0","0","0"
"OO","12/02/2022","5331","N221PS","ORD","17:27","17:20","61","60","-7","17:29","9","0","0","0","0","0"
"OO","12/02/2022","5368","N161SY","IAH","14:06","13:58","186","184","-8","14:13","15","0","0","0","0","0"
"OO","12/02/2022","5435","N206SY","DEN","10:37","10:32","175","168","-5","10:42","10","0","0","0","0","0"
"OO","12/02/2022","5599","N796SK","IAH","08:00","08:00","180","183","0","08:20","20","0","0","0","0","0"
"OO","12/02/2023","3637","N824SK","DTW","12:00","11:57","64","62","-3","12:09","12","0","0","0","0","0"
"OO","12/02/2023","3873","N307SY","JFK","10:09","10:04","137","123","-5","10:14","10","0","0","0","0","0"
"OO","12/02/2023","4013","N825SK","DTW","07:00","06:59","71","66","-1","07:13","14","0","0","0","0","0"
"OO","12/02/2023","4049","N319SY","BOS","10:55","10:45","140","117","-10","11:00","15","0","0","0","0","0"
"OO","12/02/2023","4152","N311SY","MSP","13:23","13:17","76","74","-6","13:28","11","0","0","0","0","0"
"OO","12/02/2023","4657","N165SY","DEN","10:25","10:20","179","163","-5","10:34","14","0","0","0","0","0"
"OO","12/02/2023","4740","N615UX","ORD","12:07","11:59","61","69","-8","12:25","26","0","0","0","0","0"
"OO","12/02/2023","4803","N970SW","ORD","07:00","06:50","63","56","-10","07:06","16","0","0","0","0","0"
"OO","12/02/2023","5402","N961SW","ORD","08:29","08:31","63","65","2","08:53","22","0","0","0","0","0"
"OO","12/02/2023","5485","N204SY","IAH","15:40","15:34","189","194","-6","15:45","11","0","0","0","0","0"
"OO","12/02/2023","5499","N623UX","DEN","08:30","08:26","179","174","-4","08:43","17","0","0","0","0","0"
"OO","12/02/2023","5648","N965SW","ORD","17:23","17:13","63","54","-10","17:26","13","0","0","0","0","0"
"OO","12/02/2023","5671","N945SW","ORD","10:45","10:35","63","71","-10","11:05","30","0","0","0","0","0"
"OO","12/03/2021","3066","N720EV","ORD","18:19","18:20","71","73","1","18:46","26","0","0","0","0","0"
"OO","12/03/2021","3180","N756SK","ORD","08:00","07:51","70","60","-9","08:09","18","0","0","0","0","0"
"OO","12/03/2021","3500","N604CZ","SLC","07:55","07:51","213","206","-4","08:02","11","0","0","0","0","0"
"OO","12/03/2021","4802","N154SY","DEN","15:45","15:45","173","174","0","16:01","16","0","0","0","0","0"
"OO","12/03/2021","5581","N980SW","ORD","17:08","17:03","62","58","-5","17:18","15","0","0","0","0","0"
"OO","12/03/2021","5599","N211SY","IAH","08:00","09:01","188","153","61","09:12","11","26","0","0","0","0"
"OO","12/03/2021","5608","N611UX","IAH","14:15","14:06","180","170","-9","14:23","17","0","0","0","0","0"
"OO","12/03/2021","5715","N793SK","DEN","10:45","10:45","170","162","0","11:06","21","0","0","0","0","0"
"OO","12/03/2021","5890","N615UX","DEN","08:45","08:41","170","172","-4","09:02","21","0","0","0","0","0"
"OO","12/03/2022","3066","N771SK","ORD","14:58","14:48","61","50","-10","14:59","11","0","0","0","0","0"
"OO","12/03/2022","3261","N710SK","ORD","06:32","06:28","59","54","-4","06:45","17","0","0","0","0","0"
"OO","12/03/2022","3563","N604CZ","MSP","15:25","15:58","88","84","33","16:13","15","29","0","0","0","0"
"OO","12/03/2022","3618","N306SY","BOS","13:00","12:57","126","122","-3","13:08","11","0","0","0","0","0"
"OO","12/03/2022","4453","N822SK","DTW","10:00","09:53","65","59","-7","10:04","11","0","0","0","0","0"
"OO","12/03/2022","4723","N619UX","DEN","08:40","08:38","175","207","-2","09:09","31","30","0","0","0","0"
"OO","12/03/2022","5213","N204SY","DEN","15:40","16:25","175","206","45","16:43","18","76","0","0","0","0"
"OO","12/03/2022","5328","N603UX","ORD","06:45","06:50","63","51","5","07:07","17","0","0","0","0","0"
"OO","12/03/2022","5331","N868AS","ORD","17:27","17:16","61","53","-11","17:27","11","0","0","0","0","0"
"OO","12/03/2022","5368","N206SY","IAH","14:06","14:02","186","184","-4","14:12","10","0","0","0","0","0"
"OO","12/03/2022","5435","N203SY","DEN","10:37","10:57","175","188","20","11:12","15","0","0","0","0","33"
"OO","12/03/2022","5599","N743SK","IAH","08:00","07:59","180","179","-1","08:18","19","0","0","0","0","0"
"OO","12/03/2023","3637","N840SK","DTW","12:00","13:11","64","72","71","13:28","17","71","0","8","0","0"
"OO","12/03/2023","3873","N250SY","JFK","10:09","10:06","137","120","-3","10:17","11","0","0","0","0","0"
"OO","12/03/2023","4013","N187PQ","DTW","07:00","06:51","71","0","-9","07:04","13","0","0","0","0","0"
"OO","12/03/2023","4015","N297SY","LGA","06:00","05:50","142","130","-10","06:08","18","0","0","0","0","0"
"OO","12/03/2023","4049","N322SY","BOS","10:55","10:45","140","156","-10","10:59","14","0","0","0","0","0"
"OO","12/03/2023","4657","N168SY","DEN","10:25","10:23","179","155","-2","10:36","13","0","0","0","0","0"
"OO","12/03/2023","4740","N603UX","ORD","12:07","11:57","61","57","-10","12:12","15","0","0","0","0","0"
"OO","12/03/2023","4803","N856AS","ORD","07:00","06:51","63","71","-9","07:12","21","0","0","0","0","0"
"OO","12/03/2023","5402","N929SW","ORD","08:29","08:23","63","103","-6","09:27","64","0","0","34","0","0"
"OO","12/03/2023","5485","N131SY","IAH","15:40","15:32","189","188","-8","15:48","16","0","0","0","0","0"
"OO","12/03/2023","5499","N625UX","DEN","08:30","08:23","179","169","-7","08:38","15","0","0","0","0","0"
"OO","12/03/2023","5502","N856AS","ORD","15:53","16:57","63","58","64","17:12","15","0","59","0","0","0"
"OO","12/03/2023","5648","N965SW","ORD","17:23","17:18","63","65","-5","17:31","13","0","0","0","0","0"
"OO","12/03/2023","5671","N471CA","ORD","10:45","11:29","63","68","44","11:53","24","44","0","5","0","0"
"OO","12/04/2021","3180","N712SK","ORD","08:00","07:52","70","52","-8","08:07","15","0","0","0","0","0"
"OO","12/04/2021","3500","N276SY","SLC","07:55","08:34","213","221","39","08:56","22","47","0","0","0","0"
"OO","12/04/2021","3961","N802SK","DTW","09:35","09:31","70","58","-4","09:42","11","0","0","0","0","0"
"OO","12/04/2021","4150","N803SK","DTW","17:19","17:13","75","55","-6","17:22","9","0","0","0","0","0"
"OO","12/04/2021","4168","N803SK","DTW","13:13","13:26","67","54","13","13:35","9","0","0","0","0","0"
"OO","12/04/2021","5280","N160SY","DEN","15:15","15:28","173","153","13","15:38","10","0","0","0","0","0"
"OO","12/04/2021","5376","N468CA","ORD","17:08","17:01","62","57","-7","17:11","10","0","0","0","0","0"
"OO","12/04/2021","5431","N122SY","ORD","10:37","10:30","62","57","-7","10:42","12","0","0","0","0","0"
"OO","12/04/2021","5599","N150SY","IAH","08:00","08:23","188","169","23","08:37","14","0","0","0","0","0"
"OO","12/04/2021","5608","N625UX","IAH","14:15","14:11","180","154","-4","14:19","8","0","0","0","0","0"
"OO","12/04/2021","5715","N743SK","DEN","10:45","10:40","170","156","-5","10:55","15","0","0","0","0","0"
"OO","12/04/2021","5890","N609UX","DEN","08:45","08:50","170","168","5","09:02","12","0","0","0","0","0"
"OO","12/04/2022","3066","N760SK","ORD","14:58","14:50","61","57","-8","15:05","15","0","0","0","0","0"
"OO","12/04/2022","3261","N872DC","ORD","06:32","06:25","59","59","-7","06:40","15","0","0","0","0","0"
"OO","12/04/2022","3606","N320SY","BOS","16:40","16:37","127","127","-3","16:48","11","0","0","0","0","0"
"OO","12/04/2022","3618","N297SY","BOS","08:30","08:29","131","130","-1","08:47","18","0","0","0","0","0"
"OO","12/04/2022","4446","N307SY","MSP","09:45","09:34","84","73","-11","09:48","14","0","0","0","0","0"
"OO","12/04/2022","4453","N805SK","DTW","10:00","09:52","65","60","-8","10:05","13","0","0","0","0","0"
"OO","12/04/2022","4723","N617UX","DEN","08:40","08:32","175","176","-8","08:50","18","0","0","0","0","0"
"OO","12/04/2022","5213","N156SY","DEN","15:40","15:36","175","167","-4","15:47","11","0","0","0","0","0"
"OO","12/04/2022","5328","N609UX","ORD","06:45","06:38","63","52","-7","06:54","16","0","0","0","0","0"
"OO","12/04/2022","5331","N930EV","ORD","17:27","17:20","61","57","-7","17:36","16","0","0","0","0","0"
"OO","12/04/2022","5368","N107SY","IAH","14:06","14:04","186","179","-2","14:23","19","0","0","0","0","0"
"OO","12/04/2022","5435","N139SY","DEN","10:37","10:34","175","163","-3","10:45","11","0","0","0","0","0"
"OO","12/04/2022","5599","N796SK","IAH","08:00","07:56","180","176","-4","08:22","26","0","0","0","0","0"
"OO","12/04/2023","3637","N689CA","DTW","12:00","12:22","64","58","22","12:32","10","16","0","0","0","0"
"OO","12/04/2023","3873","N324SY","JFK","10:09","09:57","137","149","-12","10:19","22","0","0","0","0","0"
"OO","12/04/2023","4013","N170PQ","DTW","07:00","06:59","71","80","-1","07:32","33","0","0","0","0","0"
"OO","12/04/2023","4015","N317SY","LGA","06:00","05:55","142","138","-5","06:06","11","0","0","0","0","0"
"OO","12/04/2023","4049","N250SY","BOS","10:55","11:26","140","144","31","11:47","21","31","0","4","0","0"
"OO","12/04/2023","4657","N141SY","DEN","10:25","10:22","179","166","-3","10:37","15","0","0","0","0","0"
"OO","12/04/2023","4740","N605UX","ORD","12:07","12:04","61","62","-3","12:18","14","0","0","0","0","0"
"OO","12/04/2023","4803","N925EV","ORD","07:00","06:56","63","71","-4","07:23","27","0","0","0","0","0"
"OO","12/04/2023","5402","N978SW","ORD","08:29","08:20","63","73","-9","08:37","17","0","0","0","0","0"
"OO","12/04/2023","5485","N107SY","IAH","15:40","15:30","189","171","-10","15:46","16","0","0","0","0","0"
"OO","12/04/2023","5499","N610UX","DEN","08:30","08:25","179","172","-5","08:41","16","0","0","0","0","0"
"OO","12/04/2023","5502","N933EV","ORD","15:53","15:48","63","60","-5","16:06","18","0","0","0","0","0"
"OO","12/04/2023","5648","N961SW","ORD","17:23","17:13","63","53","-10","17:22","9","0","0","0","0","0"
"OO","12/04/2023","5671","N908SW","ORD","10:45","11:47","63","60","62","12:01","14","59","0","0","0","0"
"OO","12/05/2021","3066","N658CA","ORD","18:19","18:18","71","70","-1","18:35","17","0","0","0","0","0"
"OO","12/05/2021","3180","N705SK","ORD","08:00","07:59","70","55","-1","08:12","13","0","0","0","0","0"
"OO","12/05/2021","3500","N247SY","SLC","07:35","07:29","231","242","-6","07:43","14","0","0","0","0","0"
"OO","12/05/2021","3991","N679CA","DTW","17:19","18:35","72","74","76","18:49","14","78","0","0","0","0"
