Detailed Statistics Departures  
Origin Airport: Minneapolis, MN: Minneapolis-St Paul International (MSP)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","1337","N288AK","SEA","14:42","14:37","239","246","-5","15:01","24","0","0","0","0","0"
"AS","12/01/2022","0929","N941AK","SEA","07:00","06:50","252","253","-10","07:20","30","0","0","0","0","0"
"AS","12/01/2022","1204","N260AK","SEA","17:55","17:54","240","265","-1","18:34","40","0","0","24","0","0"
"AS","12/01/2023","0385","N564AS","SEA","14:22","14:22","252","218","0","14:36","14","0","0","0","0","0"
"AS","12/01/2023","0387","N448AS","SEA","07:00","06:41","254","266","-19","07:43","62","0","0","0","0","0"
"AS","12/02/2021","1337","N457AS","SEA","14:42","14:42","239","251","0","14:58","16","0","0","0","0","0"
"AS","12/02/2022","0929","N307AS","SEA","07:00","06:50","252","0","-10","07:07","17","0","0","0","0","0"
"AS","12/02/2022","1204","N487AS","SEA","17:55","18:20","240","277","25","19:23","63","0","0","37","0","25"
"AS","12/02/2023","0387","N467AS","SEA","07:00","07:01","254","260","1","07:55","54","0","0","0","0","0"
"AS","12/03/2021","1337","N487AS","SEA","14:42","14:34","239","248","-8","14:50","16","0","0","0","0","0"
"AS","12/03/2022","0929","N934AK","SEA","07:00","06:51","252","279","-9","07:13","22","0","0","18","0","0"
"AS","12/03/2023","0385","N941AK","SEA","14:22","14:30","252","235","8","14:47","17","0","0","0","0","0"
"AS","12/03/2023","0387","N569AS","SEA","07:00","07:00","254","240","0","07:25","25","0","0","0","0","0"
"AS","12/04/2021","1337","N495AS","SEA","14:42","14:43","239","267","1","15:04","21","0","0","29","0","0"
"AS","12/04/2022","0929","N264AK","SEA","07:00","06:54","252","269","-6","07:36","42","0","0","0","0","0"
"AS","12/04/2022","1204","N290AK","SEA","17:55","17:50","240","233","-5","18:10","20","0","0","0","0","0"
"AS","12/04/2023","0385","N553AS","SEA","14:22","14:16","252","234","-6","14:40","24","0","0","0","0","0"
"AS","12/04/2023","0387","N526AS","SEA","07:00","06:43","254","259","-17","07:25","42","0","0","0","0","0"
"AS","12/05/2021","1337","N292AK","SEA","14:42","14:37","239","260","-5","14:59","22","0","0","16","0","0"
"AS","12/05/2022","0929","N298AK","SEA","07:00","06:50","252","228","-10","07:03","13","0","0","0","0","0"
"AS","12/05/2022","1204","N468AS","SEA","17:55","18:04","240","253","9","18:45","41","4","0","13","0","5"
"AS","12/05/2023","0387","N318AS","SEA","07:00","07:14","254","266","14","08:10","56","14","0","12","0","0"
"AS","12/06/2021","1337","N266AK","SEA","14:42","14:38","239","241","-4","14:57","19","0","0","0","0","0"
"AS","12/06/2022","0929","N512AS","SEA","07:00","07:03","252","271","3","07:44","41","0","0","22","0","0"
"AS","12/06/2023","0387","N570AS","SEA","07:00","06:50","254","280","-10","07:39","49","0","0","16","0","0"
"AS","12/07/2021","1337","N494AS","SEA","14:42","14:41","239","256","-1","15:26","45","0","0","16","0","0"
"AS","12/07/2022","0929","N932AK","SEA","07:00","06:50","252","246","-10","07:20","30","0","0","0","0","0"
"AS","12/07/2023","0385","N323AS","SEA","14:22","14:20","252","215","-2","14:36","16","0","0","0","0","0"
"AS","12/07/2023","0387","N434AS","SEA","07:00","06:51","254","211","-9","07:06","15","0","0","0","0","0"
"AS","12/08/2021","1337","N562AS","SEA","14:42","14:29","239","222","-13","14:46","17","0","0","0","0","0"
"AS","12/08/2022","0929","N478AS","SEA","07:00","06:55","252","243","-5","07:32","37","0","0","0","0","0"
"AS","12/08/2022","1204","N974AK","SEA","17:55","18:28","240","251","33","19:15","47","10","0","11","0","23"
"AS","12/08/2023","0385","N570AS","SEA","14:22","14:33","252","218","11","14:53","20","0","0","0","0","0"
"AS","12/08/2023","0387","N564AS","SEA","07:00","06:50","254","213","-10","07:04","14","0","0","0","0","0"
"AS","12/09/2021","1337","N292AK","SEA","14:42","14:43","239","233","1","14:55","12","0","0","0","0","0"
"AS","12/09/2022","0929","N943AK","SEA","07:00","07:03","252","232","3","07:26","23","0","0","0","0","0"
"AS","12/09/2022","1204","N253AK","SEA","17:55","17:52","240","243","-3","18:25","33","0","0","0","0","0"
"AS","12/09/2023","0387","N707AL","SEA","07:00","06:51","254","232","-9","07:17","26","0","0","0","0","0"
"AS","12/10/2021","1337","N275AK","SEA","14:42","14:44","239","269","2","15:45","61","0","0","32","0","0"
"AS","12/10/2022","0929","N264AK","SEA","07:00","06:52","252","264","-8","07:40","48","0","0","0","0","0"
"AS","12/10/2023","0385","N290AK","SEA","14:22","14:17","252","220","-5","14:32","15","0","0","0","0","0"
"AS","12/10/2023","0387","N570AS","SEA","07:00","06:58","254","267","-2","07:52","54","0","0","0","0","0"
"AS","12/11/2021","1337","N493AS","SEA","14:42","14:41","239","261","-1","15:01","20","0","0","21","0","0"
"AS","12/11/2022","0929","N215AK","SEA","07:00","06:59","252","249","-1","07:40","41","0","0","0","0","0"
"AS","12/11/2022","1204","N251AK","SEA","17:55","17:49","240","215","-6","18:05","16","0","0","0","0","0"
"AS","12/11/2023","0385","N280AK","SEA","14:22","14:18","252","236","-4","14:39","21","0","0","0","0","0"
"AS","12/11/2023","0387","N467AS","SEA","07:00","06:45","254","251","-15","07:25","40","0","0","0","0","0"
"AS","12/12/2021","1337","N408AS","SEA","14:42","14:41","239","260","-1","15:00","19","0","0","20","0","0"
"AS","12/12/2022","0929","N583AS","SEA","07:00","06:50","252","238","-10","07:25","35","0","0","0","0","0"
"AS","12/12/2022","1204","N525AS","SEA","17:55","18:13","240","211","18","18:29","16","0","0","0","0","0"
"AS","12/12/2023","0387","N467AS","SEA","07:00","07:18","254","242","18","07:44","26","0","0","0","0","0"
"AS","12/13/2021","1337","N492AS","SEA","14:42","14:39","239","241","-3","14:54","15","0","0","0","0","0"
"AS","12/13/2022","0929","N453AS","SEA","07:00","06:51","252","217","-9","07:14","23","0","0","0","0","0"
"AS","12/13/2023","0387","N267AK","SEA","07:00","06:58","254","214","-2","07:24","26","0","0","0","0","0"
