Detailed Statistics Departures  
Origin Airport: Minneapolis, MN: Minneapolis-St Paul International (MSP)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0936","N328JB","BOS","08:00","08:00","167","158","0","08:19","19","0","0","0","0","0"
"B6","12/01/2022","0118","N348JB","JFK","10:37","12:09","172","142","92","12:20","11","8","0","0","0","54"
"B6","12/01/2022","0618","N216JB","JFK","05:45","05:35","166","194","-10","06:06","31","0","0","18","0","0"
"B6","12/01/2022","0836","N3104J","BOS","18:55","19:51","168","153","56","20:08","17","32","0","0","0","9"
"B6","12/01/2023","0836","N3102J","BOS","19:52","22:29","168","146","157","22:40","11","0","0","0","0","135"
"B6","12/02/2021","0936","N197JB","BOS","08:00","08:02","167","148","2","08:16","14","0","0","0","0","0"
"B6","12/02/2022","0118","N274JB","JFK","11:11","11:00","168","145","-11","11:11","11","0","0","0","0","0"
"B6","12/02/2022","0618","N249JB","JFK","05:45","05:41","166","155","-4","05:54","13","0","0","0","0","0"
"B6","12/02/2022","0836","N3112J","BOS","18:55","18:57","168","222","2","20:20","83","2","0","54","0","0"
"B6","12/02/2023","0836","N216JB","BOS","18:50","19:39","168","141","49","19:50","11","3","0","0","0","19"
"B6","12/03/2021","0618","N355JB","JFK","09:15","09:12","151","138","-3","09:26","14","0","0","0","0","0"
"B6","12/03/2021","0936","N373JB","BOS","08:00","07:54","167","146","-6","08:13","19","0","0","0","0","0"
