Detailed Statistics Departures  
Origin Airport: Mission/McAllen/Edinburg, TX: McAllen International (MFE)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5830","N955LR","DFW","12:03","12:02","93","94","-1","12:17","15","0","0","0","0","0"
"YV","12/01/2021","5848","N911FJ","DFW","17:50","17:49","96","101","-1","18:07","18","0","0","0","0","0"
"YV","12/01/2021","5879","N920FJ","DFW","19:48","20:49","96","87","61","21:01","12","0","0","0","0","52"
"YV","12/01/2022","5744","N934FJ","DFW","09:30","09:19","98","96","-11","09:35","16","0","0","0","0","0"
"YV","12/01/2022","6116","N88331","IAH","14:15","14:07","85","63","-8","14:16","9","0","0","0","0","0"
"YV","12/01/2022","6168","N86344","IAH","17:22","17:15","83","70","-7","17:30","15","0","0","0","0","0"
"YV","12/01/2023","6089","N88310","IAH","17:05","17:00","85","111","-5","17:13","13","0","0","21","0","0"
"YV","12/01/2023","6162","N930LR","IAH","05:15","05:11","84","71","-4","05:25","14","0","0","0","0","0"
"YV","12/01/2023","6163","N88330","IAH","19:27","21:12","83","63","105","21:20","8","0","0","0","0","85"
"YV","12/01/2023","6328","N241LR","IAH","09:50","09:41","84","72","-9","09:50","9","0","0","0","0","0"
"YV","12/02/2021","5830","N910FJ","DFW","12:03","12:00","93","103","-3","12:15","15","0","0","0","0","0"
"YV","12/02/2021","5848","N913FJ","DFW","17:55","18:07","96","98","12","18:24","17","0","0","0","0","0"
"YV","12/02/2021","5852","N910FJ","DFW","06:00","05:57","95","95","-3","06:11","14","0","0","0","0","0"
"YV","12/02/2021","5879","N911FJ","DFW","19:48","19:39","96","99","-9","19:48","9","0","0","0","0","0"
"YV","12/02/2022","5744","N934FJ","DFW","09:30","09:23","98","99","-7","09:36","13","0","0","0","0","0"
"YV","12/02/2022","6116","N85354","IAH","14:15","14:05","85","67","-10","14:12","7","0","0","0","0","0"
"YV","12/02/2022","6168","N88327","IAH","17:22","18:31","83","71","69","18:45","14","0","0","0","0","57"
"YV","12/02/2023","6089","N87345","IAH","17:05","17:02","85","85","-3","17:14","12","0","0","0","0","0"
"YV","12/02/2023","6100","N914FJ","IAH","12:09","12:02","84","70","-7","12:17","15","0","0","0","0","0"
"YV","12/02/2023","6162","N87345","IAH","05:15","05:12","85","72","-3","05:23","11","0","0","0","0","0"
"YV","12/02/2023","6163","N88325","IAH","19:27","19:14","83","69","-13","19:24","10","0","0","0","0","0"
"YV","12/02/2023","6328","N927LR","IAH","09:50","09:50","84","65","0","10:05","15","0","0","0","0","0"
"YV","12/03/2021","5830","N934FJ","DFW","12:03","11:57","93","98","-6","12:11","14","0","0","0","0","0"
"YV","12/03/2021","5848","N247LR","DFW","17:55","17:46","96","98","-9","18:00","14","0","0","0","0","0"
"YV","12/03/2021","5852","N245LR","DFW","06:00","05:59","95","105","-1","06:18","19","0","0","0","0","0"
"YV","12/03/2021","5879","N904FJ","DFW","19:48","20:03","96","92","15","20:17","14","0","0","0","0","0"
"YV","12/03/2022","5744","N943LR","DFW","09:30","09:20","98","94","-10","09:33","13","0","0","0","0","0"
"YV","12/03/2022","6116","N87306","IAH","14:15","14:07","85","72","-8","14:18","11","0","0","0","0","0"
"YV","12/03/2022","6168","N85352","IAH","17:22","17:34","83","75","12","17:45","11","0","0","0","0","0"
"YV","12/03/2023","6100","N920FJ","IAH","12:09","12:07","84","70","-2","12:18","11","0","0","0","0","0"
"YV","12/03/2023","6162","N86344","IAH","05:15","05:08","85","66","-7","05:15","7","0","0","0","0","0"
