Detailed Statistics Departures  
Origin Airport: Mobile, AL: Mobile Regional (MOB)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4710","N306PQ","ATL","06:05","05:56","83","60","-9","06:04","8","0","0","0","0","0"
"9E","12/01/2021","5256","N8943A","ATL","18:55","18:50","77","63","-5","18:58","8","0","0","0","0","0"
"9E","12/01/2021","5451","N330PQ","ATL","15:02","14:55","78","65","-7","15:05","10","0","0","0","0","0"
"9E","12/01/2023","5132","N923XJ","ATL","10:50","10:41","86","73","-9","11:06","25","0","0","0","0","0"
"9E","12/01/2023","5135","N325PQ","ATL","14:36","14:27","89","71","-9","14:40","13","0","0","0","0","0"
"9E","12/02/2021","4710","N331PQ","ATL","06:05","06:01","83","80","-4","06:20","19","0","0","0","0","0"
"9E","12/02/2021","5213","N8837B","ATL","18:55","18:50","77","73","-5","19:07","17","0","0","0","0","0"
"9E","12/02/2021","5451","N195PQ","ATL","15:02","14:56","78","57","-6","15:03","7","0","0","0","0","0"
"9E","12/02/2023","5132","N228PQ","ATL","10:50","10:46","86","72","-4","11:00","14","0","0","0","0","0"
"9E","12/02/2023","5135","N299PQ","ATL","14:36","14:31","89","61","-5","14:41","10","0","0","0","0","0"
"9E","12/03/2021","4710","N349PQ","ATL","06:05","06:03","83","79","-2","06:23","20","0","0","0","0","0"
"9E","12/03/2021","5213","N800AY","ATL","18:55","18:50","77","70","-5","19:04","14","0","0","0","0","0"
