Detailed Statistics Departures  
Origin Airport: Mobile, AL: Mobile Regional (MOB)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5909","N924FJ","DFW","07:19","07:17","120","100","-2","07:24","7","0","0","0","0","0"
"YV","12/01/2021","5998","N242LR","DFW","19:47","20:44","118","105","57","20:54","10","0","0","0","0","44"
"YV","12/02/2021","5909","N915FJ","DFW","07:19","07:13","120","99","-6","07:22","9","0","0","0","0","0"
"YV","12/02/2021","5998","N928LR","DFW","19:47","19:45","118","125","-2","20:08","23","0","0","0","0","0"
"YV","12/03/2021","5909","N934FJ","DFW","07:19","07:13","120","114","-6","07:26","13","0","0","0","0","0"
"YV","12/03/2021","5998","N938LR","DFW","19:47","20:13","118","107","26","20:21","8","1","0","0","0","14"
"YV","12/04/2021","5909","N914FJ","DFW","07:19","07:20","120","130","1","07:42","22","0","0","0","0","0"
"YV","12/05/2021","5797","N955LR","DFW","09:31","09:31","119","123","0","09:45","14","0","0","0","0","0"
"YV","12/05/2021","5909","N952LR","DFW","07:19","07:25","120","119","6","07:39","14","0","0","0","0","0"
"YV","12/05/2021","5998","N939LR","DFW","19:47","19:52","118","117","5","20:07","15","0","0","0","0","0"
"YV","12/06/2021","5909","N931LR","DFW","07:19","07:21","120","122","2","07:33","12","0","0","0","0","0"
"YV","12/07/2021","5797","N939LR","DFW","09:31","09:27","119","118","-4","09:37","10","0","0","0","0","0"
"YV","12/07/2021","5909","N329MS","DFW","07:19","07:13","120","119","-6","07:23","10","0","0","0","0","0"
"YV","12/08/2021","5797","N948LR","DFW","09:31","09:25","119","137","-6","09:53","28","0","0","0","0","0"
"YV","12/08/2021","5909","N925FJ","DFW","07:19","07:26","120","116","7","07:34","8","0","0","0","0","0"
"YV","12/08/2021","5998","N924FJ","DFW","19:47","19:34","118","120","-13","19:38","4","0","0","0","0","0"
"YV","12/09/2021","5909","N952LR","DFW","07:19","07:23","120","122","4","07:35","12","0","0","0","0","0"
"YV","12/09/2021","5998","N916FJ","DFW","19:47","19:46","118","117","-1","19:57","11","0","0","0","0","0"
"YV","12/10/2021","5909","N244LR","DFW","07:19","07:12","120","123","-7","07:22","10","0","0","0","0","0"
"YV","12/10/2021","5998","N909FJ","DFW","19:47","21:22","118","103","95","21:30","8","0","0","0","0","80"
"YV","12/11/2021","5909","N912FJ","DFW","07:19","07:26","120","129","7","07:39","13","2","5","9","0","0"
"YV","12/12/2021","5797","N918FJ","DFW","09:31","09:32","119","112","1","09:43","11","0","0","0","0","0"
"YV","12/12/2021","5909","N935LR","DFW","07:19","07:23","120","122","4","07:35","12","0","0","0","0","0"
"YV","12/12/2021","5998","N934FJ","DFW","19:47","21:25","118","95","98","21:35","10","15","0","0","0","60"
"YV","12/13/2021","5909","N248LR","DFW","07:19","07:29","120","120","10","07:45","16","0","0","0","0","0"
"YV","12/14/2021","5797","N925FJ","DFW","09:31","10:11","119","111","40","10:22","11","32","0","0","0","0"
"YV","12/14/2021","5909","N950LR","DFW","07:19","07:13","120","111","-6","07:22","9","0","0","0","0","0"
"YV","12/15/2021","5797","N247LR","DFW","09:31","09:24","119","122","-7","09:38","14","0","0","0","0","0"
"YV","12/15/2021","5909","N954LR","DFW","07:19","07:13","120","125","-6","07:27","14","0","0","0","0","0"
"YV","12/15/2022","5807","N943LR","DFW","13:35","13:42","119","101","7","13:49","7","0","0","0","0","0"
"YV","12/16/2021","5909","N943LR","DFW","05:44","05:44","122","104","0","05:54","10","0","0","0","0","0"
"YV","12/16/2021","5998","N908FJ","DFW","19:45","20:31","119","100","46","20:43","12","11","0","0","0","16"
"YV","12/16/2022","5807","N902FJ","DFW","13:35","13:38","119","105","3","13:47","9","0","0","0","0","0"
"YV","12/17/2021","5909","N904FJ","DFW","05:44","06:08","122","106","24","06:23","15","0","0","0","0","0"
"YV","12/17/2021","5998","N910FJ","DFW","19:45","22:03","119","110","138","22:12","9","24","0","0","0","105"
"YV","12/17/2022","5807","N904FJ","DFW","12:20","12:24","119","123","4","12:50","26","0","0","0","0","0"
"YV","12/18/2021","5909","N942LR","DFW","05:44","05:46","122","140","2","06:03","17","2","0","18","0","0"
"YV","12/18/2021","5998","N939LR","DFW","19:45","20:16","119","102","31","20:27","11","0","0","0","0","0"
"YV","12/18/2022","5807","N934FJ","DFW","13:35","13:34","119","117","-1","13:46","12","0","0","0","0","0"
"YV","12/19/2021","5909","N928LR","DFW","05:44","05:51","122","111","7","06:04","13","0","0","0","0","0"
"YV","12/19/2021","5998","N244LR","DFW","19:45","00:00","119","0","0","00:00","0","0","0","0","0","0"
"YV","12/19/2022","5807","N904FJ","DFW","13:35","14:15","119","111","40","14:22","7","0","14","0","0","18"
"YV","12/20/2021","5909","N919FJ","DFW","05:44","05:59","122","109","15","06:13","14","0","0","0","0","0"
"YV","12/20/2021","5998","N935LR","DFW","19:45","20:21","119","97","36","20:29","8","0","0","0","0","0"
"YV","12/20/2022","5807","N922FJ","DFW","13:35","14:05","119","111","30","14:18","13","11","0","0","0","11"
"YV","12/21/2021","5909","N919FJ","DFW","05:44","05:51","122","108","7","05:58","7","0","0","0","0","0"
"YV","12/21/2021","5998","","DFW","19:45","00:00","119","0","0","00:00","0","0","0","0","0","0"
"YV","12/21/2022","5807","N247LR","DFW","13:35","13:50","119","119","15","14:05","15","12","0","0","0","3"
"YV","12/22/2022","5807","N247LR","DFW","13:35","14:34","119","113","59","14:43","9","0","0","0","0","53"
"YV","12/23/2021","5909","N908FJ","DFW","05:44","05:44","122","110","0","05:54","10","0","0","0","0","0"
"YV","12/23/2021","5998","N921FJ","DFW","19:45","19:47","119","111","2","19:57","10","0","0","0","0","0"
"YV","12/23/2022","5807","N241LR","DFW","13:35","14:14","119","109","39","14:23","9","6","0","0","0","23"
"YV","12/24/2021","5909","N246LR","DFW","05:44","05:50","122","115","6","06:03","13","0","0","0","0","0"
"YV","12/24/2022","5807","N326MS","DFW","12:20","12:30","119","115","10","12:52","22","0","0","0","0","0"
"YV","12/25/2021","5909","N942LR","DFW","07:00","07:00","122","101","0","07:10","10","0","0","0","0","0"
"YV","12/25/2021","5998","N952LR","DFW","19:45","19:51","119","106","6","20:01","10","0","0","0","0","0"
"YV","12/26/2021","5909","N909FJ","DFW","05:44","05:49","122","116","5","06:05","16","0","0","0","0","0"
"YV","12/26/2022","5807","N326MS","DFW","13:35","13:49","119","118","14","14:00","11","0","0","0","0","0"
"YV","12/27/2021","5909","N947LR","DFW","05:44","05:48","122","112","4","05:58","10","0","0","0","0","0"
"YV","12/27/2021","5998","N945LR","DFW","19:45","19:50","119","110","5","19:59","9","0","0","0","0","0"
"YV","12/27/2022","5788","N927LR","DFW","19:40","20:02","119","126","22","20:15","13","0","0","7","0","22"
"YV","12/27/2022","5807","N928LR","DFW","13:35","13:30","119","114","-5","13:42","12","0","0","0","0","0"
"YV","12/28/2021","5909","N910FJ","DFW","05:44","05:41","122","115","-3","05:53","12","0","0","0","0","0"
"YV","12/28/2021","5998","N917FJ","DFW","19:45","19:45","119","107","0","19:52","7","0","0","0","0","0"
"YV","12/28/2022","5807","N922FJ","DFW","13:35","13:42","119","111","7","13:56","14","0","0","0","0","0"
"YV","12/29/2021","5909","N944LR","DFW","05:44","05:38","122","118","-6","05:49","11","0","0","0","0","0"
"YV","12/29/2021","5998","N957LR","DFW","19:45","20:06","119","122","21","20:21","15","13","0","3","0","8"
"YV","12/29/2022","5807","N905J","DFW","13:35","13:44","119","101","9","13:56","12","0","0","0","0","0"
"YV","12/30/2021","5909","N925FJ","DFW","05:44","05:59","122","108","15","06:10","11","0","0","0","0","0"
"YV","12/30/2021","5998","N955LR","DFW","19:45","19:40","119","115","-5","19:49","9","0","0","0","0","0"
"YV","12/30/2022","5807","N955LR","DFW","13:35","14:53","119","101","78","15:03","10","0","1","0","0","59"
"YV","12/31/2021","5909","","DFW","05:44","00:00","122","0","0","00:00","0","0","0","0","0","0"
"YV","12/31/2022","5807","N904FJ","DFW","12:20","12:17","119","102","-3","12:24","7","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
