Detailed Statistics Departures  
Origin Airport: Mobile, AL: Mobile Regional (MOB)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2022","5015","N591NN","CLT","07:40","07:31","106","99","-9","07:43","12","0","0","0","0","0"
"OH","12/01/2022","5045","N539EA","CLT","14:54","14:44","105","99","-10","14:55","11","0","0","0","0","0"
"OH","12/01/2022","5327","N584NN","CLT","16:25","16:20","106","99","-5","16:32","12","0","0","0","0","0"
"OH","12/02/2022","5015","N572NN","CLT","07:40","07:29","106","114","-11","07:48","19","0","0","0","0","0"
"OH","12/02/2022","5045","N540EG","CLT","14:54","14:53","105","105","-1","15:05","12","0","0","0","0","0"
"OH","12/02/2022","5327","N579NN","CLT","16:25","16:25","106","108","0","16:39","14","0","0","0","0","0"
"OH","12/03/2022","5015","N590NN","CLT","07:29","07:22","106","114","-7","07:38","16","0","0","0","0","0"
"OH","12/03/2022","5327","N583NN","CLT","16:25","16:15","106","105","-10","16:26","11","0","0","0","0","0"
"OH","12/04/2022","5015","N580NN","CLT","07:40","07:31","106","94","-9","07:40","9","0","0","0","0","0"
"OH","12/04/2022","5045","N502AE","CLT","14:54","14:43","105","99","-11","14:58","15","0","0","0","0","0"
"OH","12/04/2022","5327","N595NN","CLT","16:25","16:30","106","102","5","16:39","9","0","0","0","0","0"
"OH","12/05/2022","5015","N567NN","CLT","07:40","13:13","106","96","333","13:27","14","0","0","0","0","323"
"OH","12/05/2022","5045","N539EA","CLT","14:54","14:43","105","104","-11","14:58","15","0","0","0","0","0"
"OH","12/05/2022","5327","N502AE","CLT","16:25","18:46","106","104","141","18:58","12","0","139","0","0","0"
"OH","12/06/2022","5015","N608NN","CLT","07:40","07:37","106","96","-3","07:49","12","0","0","0","0","0"
"OH","12/06/2022","5045","N502AE","CLT","14:54","14:41","105","109","-13","14:56","15","0","0","0","0","0"
"OH","12/06/2022","5327","N598NN","CLT","16:25","16:07","106","113","-18","16:22","15","0","0","0","0","0"
"OH","12/07/2022","5015","N609NN","CLT","07:40","07:34","106","102","-6","07:44","10","0","0","0","0","0"
"OH","12/07/2022","5045","N608NN","CLT","14:54","15:26","105","99","32","15:38","12","19","0","0","0","7"
"OH","12/07/2022","5327","N527EA","CLT","16:25","16:37","106","122","12","17:00","23","0","0","16","0","12"
"OH","12/08/2022","5015","N580NN","CLT","07:40","00:00","106","0","0","00:00","0","0","0","0","0","0"
"OH","12/08/2022","5045","N526EA","CLT","14:54","17:04","105","99","130","17:16","12","0","0","0","0","124"
"OH","12/08/2022","5327","N595NN","CLT","16:25","16:31","106","100","6","16:41","10","0","0","0","0","0"
"OH","12/09/2022","5015","","CLT","07:40","00:00","106","0","0","00:00","0","0","0","0","0","0"
"OH","12/09/2022","5045","N513AE","CLT","14:54","15:05","105","94","11","15:16","11","0","0","0","0","0"
"OH","12/09/2022","5327","N612NN","CLT","16:25","16:30","106","95","5","16:38","8","0","0","0","0","0"
"OH","12/10/2022","5015","N560NN","CLT","07:29","08:49","106","89","80","09:00","11","0","63","0","0","0"
"OH","12/10/2022","5327","N565NN","CLT","16:25","16:22","106","93","-3","16:30","8","0","0","0","0","0"
"OH","12/11/2022","5015","N593NN","CLT","07:40","09:04","106","92","84","09:12","8","0","70","0","0","0"
"OH","12/11/2022","5045","N720PS","CLT","14:54","14:46","105","93","-8","14:56","10","0","0","0","0","0"
"OH","12/11/2022","5327","N605NN","CLT","16:25","16:15","106","105","-10","16:24","9","0","0","0","0","0"
"OH","12/12/2022","5015","N547NN","CLT","07:40","07:36","106","100","-4","07:48","12","0","0","0","0","0"
"OH","12/12/2022","5045","N532EA","CLT","14:54","14:43","105","101","-11","14:52","9","0","0","0","0","0"
"OH","12/12/2022","5327","N553NN","CLT","16:25","16:41","106","110","16","16:54","13","16","0","4","0","0"
"OH","12/13/2022","5015","N564NN","CLT","07:40","07:29","106","115","-11","07:43","14","0","0","0","0","0"
"OH","12/13/2022","5045","N525AE","CLT","14:54","14:46","105","98","-8","14:57","11","0","0","0","0","0"
"OH","12/13/2022","5327","N590NN","CLT","16:25","16:25","106","97","0","16:38","13","0","0","0","0","0"
"OH","12/14/2022","5015","N554NN","CLT","07:40","07:32","106","97","-8","07:44","12","0","0","0","0","0"
"OH","12/14/2022","5045","N532EA","CLT","14:54","14:44","105","100","-10","14:58","14","0","0","0","0","0"
"OH","12/14/2022","5327","N607NN","CLT","16:25","16:17","106","96","-8","16:27","10","0","0","0","0","0"
"OH","12/15/2022","5075","N586NN","CLT","07:35","07:22","106","104","-13","07:33","11","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
