Detailed Statistics Departures  
Origin Airport: Moline, IL: Quad Cities International (MLI)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3712","N698CB","ORD","10:40","10:36","66","70","-4","10:51","15","0","0","0","0","0"
"MQ","12/01/2022","3635","N613AE","ORD","06:00","06:00","76","90","0","06:40","40","0","0","0","0","0"
"MQ","12/01/2022","3712","N689EC","ORD","14:39","14:26","63","66","-13","14:46","20","0","0","0","0","0"
"MQ","12/01/2022","3879","N277NN","DFW","07:08","07:05","143","156","-3","07:34","29","0","0","0","0","0"
"MQ","12/01/2022","4249","N252NN","DFW","15:22","15:27","143","118","5","15:38","11","0","0","0","0","0"
"MQ","12/01/2023","3534","N252NN","DFW","06:30","06:28","159","154","-2","06:41","13","0","0","0","0","0"
"MQ","12/01/2023","3644","N251NN","DFW","15:26","15:19","156","155","-7","15:28","9","0","0","0","0","0"
"MQ","12/02/2021","3712","N685AE","ORD","10:40","10:30","66","55","-10","10:40","10","0","0","0","0","0"
"MQ","12/02/2021","4401","N909AE","ORD","06:00","05:52","81","55","-8","06:03","11","0","0","0","0","0"
"MQ","12/02/2022","3635","N668HH","ORD","06:00","05:52","76","50","-8","06:02","10","0","0","0","0","0"
"MQ","12/02/2022","3712","N922AE","ORD","14:39","14:31","63","58","-8","14:44","13","0","0","0","0","0"
